GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001MA,B19101H_001EA,B19101H_002EA,B19101H_002MA,B19101H_003MA,B19101H_003EA,B19101H_004MA,B19101H_004EA,B19101H_005EA,B19101H_005MA,B19101H_006MA,B19101H_006EA,B19101H_007EA,B19101H_007MA,B19101H_008MA,B19101H_008EA,B19101H_009EA,B19101H_009MA,B19101H_010EA,B19101H_010MA,B19101H_011EA,B19101H_011MA,B19101H_012MA,B19101H_012EA,B19101H_013EA,B19101H_013MA,B19101H_014MA,B19101H_014EA,B19101H_015EA,B19101H_015MA,B19101H_016MA,B19101H_016EA,B19101H_017MA,B19101H_017EA,state
0400000US01,878546,9385,39992,3440,27968,2737,37188,2968,42267,3414,43464,2774,46514,3517,48592,3424,45952,4079,40621,2952,80910,4213,104073,5373,123495,5398,80693,3792,42377,3256,43189,2974,31251,2705,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,121855,3723,2346,860,1709,623,1915,632,2753,850,3659,974,3749,912,3580,908,4096,1034,4052,885,8065,1326,14313,2149,19572,2071,17459,1985,12724,1729,12192,1871,9671,1258,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1002970,9499,35247,3932,26437,2858,29569,2879,40908,3852,41070,2965,46420,3173,50369,4379,51688,3617,45047,3725,93430,5558,121091,5092,149663,6706,102901,5037,62057,3651,55298,3270,51775,3086,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,597637,7430,28118,2845,21153,2532,29606,2893,35566,2888,34017,3030,40248,3174,34205,2674,32693,2850,30942,2774,54309,3493,74232,3602,77836,3787,44520,2901,24076,2184,20481,2214,15635,1887,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3879321,21523,113940,6039,70743,4508,99829,5109,118323,6106,117420,5835,126080,5884,134354,6240,145470,6125,135056,5135,265452,8732,382517,8644,566380,10580,473875,11725,318559,7713,378948,7865,432375,10203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,938629,10055,26807,2620,16440,2124,22765,2272,28530,2513,27040,2659,37419,3400,36818,3023,39858,2914,36557,3074,76159,4212,108149,4886,154396,5225,116153,4913,72263,3739,72340,4112,66935,3461,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,669611,8221,10883,2002,8906,1585,10697,1847,13280,1640,16360,1978,18405,1809,21761,2013,24030,2387,19374,2217,45023,2964,67358,3539,111118,4680,88696,4228,63303,3701,67090,3342,83327,4196,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,152822,3778,2918,861,2671,890,3446,1162,3950,819,4306,1121,6960,1278,6284,1101,7308,1178,6876,1124,12645,1607,18700,1959,26391,2185,18716,1955,12163,1356,10510,1177,8978,1116,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31930,1605,378,261,57,92,48,79,403,359,175,162,405,235,259,194,115,136,394,274,1000,433,1480,524,1985,583,2019,580,3741,865,6018,1140,13453,1277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2855004,20835,111338,5573,71222,5711,95279,4940,120871,5989,134489,7456,148120,5307,148753,5614,149035,5986,138477,4651,275163,8157,334547,9470,419139,9790,269704,9325,147293,5356,141468,6064,150106,6548,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
