GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001MA,B12002H_001EA,B12002H_002EA,B12002H_002MA,B12002H_003MA,B12002H_003EA,B12002H_004EA,B12002H_004MA,B12002H_005MA,B12002H_005EA,B12002H_006MA,B12002H_006EA,B12002H_007EA,B12002H_007MA,B12002H_008EA,B12002H_008MA,B12002H_009MA,B12002H_009EA,B12002H_010EA,B12002H_010MA,B12002H_011MA,B12002H_011EA,B12002H_012EA,B12002H_012MA,B12002H_013EA,B12002H_013MA,state
0400000US01,2653423,1129,1286478,1139,335902,6695,740695,9582,20465,2917,38760,3069,150656,6337,1366945,981,255555,5641,730336,10109,31389,3452,163003,4638,186662,7589,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,376411,804,200022,794,59101,3129,110042,3980,3065,943,3841,905,23973,2600,176389,590,38997,2439,99534,3338,3095,1012,9693,1424,25070,2862,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3144741,1653,1545121,1439,441039,7687,851451,9848,17317,2372,47717,3745,187597,6657,1599620,1367,350459,6326,818154,10600,26265,2602,162936,4951,241806,8425,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1791668,1664,870767,1607,217428,5940,500204,7750,14964,2196,29157,2622,109014,4536,920901,1469,168675,5867,492067,8219,21903,2234,111607,3939,126649,6135,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12899619,5433,6391822,3392,2130432,18197,3306094,20008,99908,4742,178969,7361,676419,13365,6507797,3143,1671167,14112,3108581,18485,117511,6315,681897,9837,928641,13450,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2939060,2456,1456810,1932,456258,6908,798584,9503,16256,2254,30798,2634,154914,6786,1482250,1873,357242,7515,786029,10428,20587,2735,110089,3980,208303,6684,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2143303,3062,1030374,1541,325893,6176,560641,7339,9734,1631,32596,2031,101510,4516,1112929,1708,277752,6314,561600,8247,10958,1665,119179,3606,143440,5412,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,499440,244,239485,183,72512,2804,128813,3877,3726,985,8576,1391,25858,2744,259955,199,65484,2593,127620,4778,3678,1208,29505,1990,33668,3095,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,194370,333,95851,282,56154,1797,32385,1896,1149,469,793,330,5370,944,98519,173,56403,2197,30958,2070,1381,898,3279,720,6498,981,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9402776,7707,4577617,3927,1283598,14388,2451244,17696,71338,4662,180580,6250,590857,14181,4825159,4590,996568,12083,2380859,18678,94281,5829,622580,9739,730871,13164,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4452075,2215,2167520,2216,594663,8466,1262871,12116,26316,2556,52624,3518,231046,7517,2284555,2267,484482,9428,1238597,11529,45454,4207,225236,5602,290786,8391,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,275035,848,149987,574,48746,2460,75910,3453,1757,796,3648,945,19926,2434,125048,631,29048,1966,63475,2683,2212,868,10549,1297,19764,2397,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1044347,398,516787,705,135347,3782,303084,5517,6753,1357,13416,1729,58187,3676,527560,718,109297,3854,299651,5943,6595,1240,42092,2176,69925,3732,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
