GEO_ID,B01001D_001E,B01001D_001M,B01001D_002E,B01001D_002M,B01001D_003E,B01001D_003M,B01001D_004E,B01001D_004M,B01001D_005E,B01001D_005M,B01001D_006E,B01001D_006M,B01001D_007E,B01001D_007M,B01001D_008E,B01001D_008M,B01001D_009E,B01001D_009M,B01001D_010E,B01001D_010M,B01001D_011E,B01001D_011M,B01001D_012E,B01001D_012M,B01001D_013E,B01001D_013M,B01001D_014E,B01001D_014M,B01001D_015E,B01001D_015M,B01001D_016E,B01001D_016M,B01001D_017E,B01001D_017M,B01001D_018E,B01001D_018M,B01001D_019E,B01001D_019M,B01001D_020E,B01001D_020M,B01001D_021E,B01001D_021M,B01001D_022E,B01001D_022M,B01001D_023E,B01001D_023M,B01001D_024E,B01001D_024M,B01001D_025E,B01001D_025M,B01001D_026E,B01001D_026M,B01001D_027E,B01001D_027M,B01001D_028E,B01001D_028M,B01001D_029E,B01001D_029M,B01001D_030E,B01001D_030M,B01001D_031E,B01001D_031M,NAME,B01001D_001MA,B01001D_001EA,B01001D_002MA,B01001D_002EA,B01001D_003MA,B01001D_003EA,B01001D_004EA,B01001D_004MA,B01001D_005MA,B01001D_005EA,B01001D_006MA,B01001D_006EA,B01001D_007EA,B01001D_007MA,B01001D_008MA,B01001D_008EA,B01001D_009MA,B01001D_009EA,B01001D_010MA,B01001D_010EA,B01001D_011MA,B01001D_011EA,B01001D_012MA,B01001D_012EA,B01001D_013MA,B01001D_013EA,B01001D_014EA,B01001D_014MA,B01001D_015EA,B01001D_015MA,B01001D_016MA,B01001D_016EA,B01001D_017EA,B01001D_017MA,B01001D_018MA,B01001D_018EA,B01001D_019EA,B01001D_019MA,B01001D_020EA,B01001D_020MA,B01001D_021EA,B01001D_021MA,B01001D_022EA,B01001D_022MA,B01001D_023MA,B01001D_023EA,B01001D_024MA,B01001D_024EA,B01001D_025EA,B01001D_025MA,B01001D_026EA,B01001D_026MA,B01001D_027MA,B01001D_027EA,B01001D_028EA,B01001D_028MA,B01001D_029MA,B01001D_029EA,B01001D_030MA,B01001D_030EA,B01001D_031MA,B01001D_031EA,state
0400000US01,52789,2754,25112,1868,2928,897,1647,634,1842,845,791,434,978,550,1695,716,2360,813,3430,1050,3778,1059,2787,885,1709,460,937,390,179,171,51,74,27677,1720,1886,573,1631,418,1075,563,1215,697,671,526,2471,831,3403,1007,2739,689,3875,834,3821,792,2715,633,1405,559,691,319,79,130,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39118,3257,18296,1912,1547,465,1386,488,1226,618,787,230,460,352,1348,532,1099,484,1072,296,2940,569,2737,496,2704,503,706,421,183,177,101,139,20822,1672,1345,357,1200,536,1686,456,1134,159,482,343,1293,503,1349,344,901,468,3098,538,3095,437,3274,556,1050,268,640,178,275,249,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174039,4937,82076,3355,5092,1072,6181,1326,4518,1089,2744,646,2997,723,6487,883,7579,990,7326,929,14248,954,11525,1121,7443,853,4254,604,1472,352,210,225,91963,2741,4172,1015,6113,1045,4630,921,2849,535,2243,549,5487,793,8318,739,8626,787,17384,1038,12764,962,10501,851,5577,818,2669,625,630,391,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33240,2165,15161,1510,184,209,1782,755,1020,613,1002,516,1025,591,1390,794,1362,614,1115,621,2336,630,2266,630,1174,479,495,373,0,273,10,20,18079,1613,503,353,1410,772,1705,669,599,380,585,379,1420,611,1535,571,2060,613,2849,603,2734,611,1873,612,553,428,253,237,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4900963,16077,2318556,9783,132829,3329,142919,4345,146574,5088,95070,2606,72598,2303,174222,3882,178296,2670,176615,2428,365620,3132,334047,2821,257169,2181,142366,1571,74931,2808,25300,2677,2582407,10331,131022,3247,140527,5076,132591,4465,87934,2414,66335,3220,170090,3298,193227,3059,203363,2261,422261,3005,393162,2827,313987,2271,175626,1828,110174,2798,42108,2672,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133796,4212,59831,2967,3684,845,4485,941,3886,959,2300,1041,1325,682,4722,1233,5214,866,6191,818,11156,1447,7833,1161,5252,763,2321,604,1122,551,340,231,73965,2401,4257,766,5206,948,4711,918,2185,681,2624,795,4823,950,5258,1044,5613,842,14660,1195,10410,955,7961,798,3256,824,2568,744,433,291,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134338,2644,64786,1771,5040,526,4837,933,4676,1053,1651,523,2040,832,4496,910,5872,678,7025,841,12316,769,8440,380,4744,485,2682,601,704,363,263,317,69552,1599,5564,624,4780,1032,4534,1030,2374,618,1632,591,4556,1073,6865,651,7670,715,13198,786,8606,692,5539,432,2783,598,1135,413,316,225,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27482,1348,13348,956,1253,274,881,377,635,240,417,198,114,189,1209,223,1027,453,1577,188,2738,446,1395,384,1146,221,740,223,149,124,67,81,14134,802,935,208,923,248,548,251,471,188,698,294,714,267,1579,214,1430,191,2265,249,1972,420,1312,234,758,287,347,239,182,229,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21552,966,9016,656,244,235,109,184,242,239,195,240,264,216,674,475,2579,535,1337,196,1596,418,763,337,560,223,289,196,48,80,116,179,12536,755,206,204,292,194,316,259,212,192,691,314,2059,427,2371,274,1841,226,2363,450,595,330,686,359,589,366,85,142,230,183,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,452580,7409,210152,4855,13611,1406,13890,2053,12585,1782,8979,1481,5544,1392,20493,2283,15935,1304,15181,1527,35905,2075,29779,1567,20346,1110,12876,1150,4198,964,830,488,242428,4372,11863,1311,15061,1628,13251,1746,7579,1191,6855,1298,15990,1739,18912,1555,19402,1483,42890,2400,37117,1589,29207,1479,16930,1573,6155,1014,1216,485,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
