GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001MA,B19001I_001EA,B19001I_002MA,B19001I_002EA,B19001I_003MA,B19001I_003EA,B19001I_004EA,B19001I_004MA,B19001I_005MA,B19001I_005EA,B19001I_006EA,B19001I_006MA,B19001I_007MA,B19001I_007EA,B19001I_008MA,B19001I_008EA,B19001I_009EA,B19001I_009MA,B19001I_010MA,B19001I_010EA,B19001I_011MA,B19001I_011EA,B19001I_012EA,B19001I_012MA,B19001I_013MA,B19001I_013EA,B19001I_014EA,B19001I_014MA,B19001I_015EA,B19001I_015MA,B19001I_016MA,B19001I_016EA,B19001I_017EA,B19001I_017MA,state
0400000US01,40933,2846,4189,1217,3384,937,3167,1099,4114,1206,3493,1257,3377,843,2541,932,2849,733,1469,676,4032,978,2483,718,3036,963,1573,718,564,248,311,243,351,264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10518,1018,302,210,354,225,409,312,536,312,288,251,711,467,332,295,797,440,399,338,1175,528,1101,469,1929,780,899,434,446,278,342,242,498,378,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,493461,7081,50550,3919,34872,3471,31782,2626,40053,3385,39773,3596,37826,3616,32146,3244,27513,2724,23601,2778,38346,3489,50938,3881,43846,3383,20883,2503,11324,2204,5678,1146,4330,998,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45099,2447,3012,790,3595,1220,5645,1479,3433,985,3828,1049,4121,1373,3265,971,2251,955,3246,1203,3528,822,3274,1011,3195,1057,1085,523,660,451,391,305,570,358,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3380491,17845,208551,6755,205444,8521,217061,6886,237095,7615,212904,7701,215729,8261,198036,7420,188426,7494,171624,8080,303328,8953,363449,10553,374876,10992,223295,8034,111098,5555,95890,4909,53685,3465,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,293642,5516,28784,2477,22196,2591,20899,2152,21816,2213,21672,2472,18919,2943,19629,2487,16972,2564,14362,1860,20716,2073,28949,3309,27275,2780,14966,1855,7068,1404,5688,1210,3731,1018,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,138116,4010,18058,2411,10961,1964,9652,1656,8895,2060,9517,2038,8102,1638,7801,1617,7400,1538,4631,1270,11645,1819,10919,1595,13544,2066,6248,1301,3726,960,4153,1071,2864,768,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17236,1413,1200,509,425,361,1277,766,1895,811,755,513,586,334,1493,716,1301,582,898,568,2211,948,1714,658,1205,533,946,564,619,416,565,423,146,143,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17109,1534,1194,544,662,497,760,436,1212,729,491,380,1016,620,370,341,616,394,805,488,1349,619,1322,595,2027,706,1718,726,530,342,1417,663,1620,619,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1258735,13404,126685,5225,98580,5491,89695,5052,91859,5363,86731,5671,84516,4395,71252,4384,68844,4991,64401,4806,104827,6305,117881,6217,105078,5357,63528,3784,31313,2826,27718,2647,25827,2473,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
