GEO_ID,B17009_001E,B17009_001M,B17009_002E,B17009_002M,B17009_003E,B17009_003M,B17009_004E,B17009_004M,B17009_005E,B17009_005M,B17009_006E,B17009_006M,B17009_007E,B17009_007M,B17009_008E,B17009_008M,B17009_009E,B17009_009M,B17009_010E,B17009_010M,B17009_011E,B17009_011M,B17009_012E,B17009_012M,B17009_013E,B17009_013M,B17009_014E,B17009_014M,B17009_015E,B17009_015M,B17009_016E,B17009_016M,B17009_017E,B17009_017M,B17009_018E,B17009_018M,B17009_019E,B17009_019M,B17009_020E,B17009_020M,B17009_021E,B17009_021M,NAME,B17009_001EA,B17009_001MA,B17009_002MA,B17009_002EA,B17009_003EA,B17009_003MA,B17009_004MA,B17009_004EA,B17009_005MA,B17009_005EA,B17009_006EA,B17009_006MA,B17009_007MA,B17009_007EA,B17009_008MA,B17009_008EA,B17009_009EA,B17009_009MA,B17009_010MA,B17009_010EA,B17009_011EA,B17009_011MA,B17009_012EA,B17009_012MA,B17009_013MA,B17009_013EA,B17009_014MA,B17009_014EA,B17009_015MA,B17009_015EA,B17009_016EA,B17009_016MA,B17009_017EA,B17009_017MA,B17009_018EA,B17009_018MA,B17009_019MA,B17009_019EA,B17009_020MA,B17009_020EA,B17009_021EA,B17009_021MA,state
0400000US01,783029,15528,238516,8212,12145,2266,6420,1386,5725,1638,79154,5241,41060,3374,38094,3633,147217,6730,99453,5369,47764,3551,544513,12460,270738,9641,207237,6956,63501,5297,101509,5596,72222,4241,29287,3311,172266,6109,160876,5713,11390,2439,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,143259,6751,26994,2843,1402,617,581,397,821,434,14494,2074,4115,885,10379,1796,11098,1751,4740,1068,6358,1226,116265,6335,59799,5122,37557,3329,22242,2748,36988,2743,20081,1820,16907,1952,19478,2346,16677,2019,2801,879,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1187456,17540,322097,11713,13110,2344,5682,1260,7428,1807,117621,5864,52328,3834,65293,4582,191366,8482,90881,5393,100485,5968,865359,13728,464146,11779,314729,7829,149417,8482,173509,7100,119226,5814,54283,4448,227704,6355,202776,5693,24928,3573,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,486409,12063,154745,7380,8196,1689,4152,1054,4044,1209,54840,4751,25346,2517,29494,3586,91709,5519,59282,4256,32427,3692,331664,9021,163604,6617,121723,5706,41881,4517,62857,4905,45584,3610,17273,2335,105203,4609,97454,4270,7749,1505,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6523257,45984,1724263,24708,69586,4640,26260,2744,43326,3872,603528,17591,209041,8431,394487,13502,1051149,18357,473495,11787,577654,15888,4798994,35231,2511134,25860,1552847,19632,958287,16191,1123303,19922,668743,13465,454560,13589,1164557,15989,968233,13590,196324,11369,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1010930,17156,245402,9413,13046,2171,7736,1493,5310,1486,123632,8381,54430,4178,69202,6120,108724,6017,65340,4103,43384,4226,765528,14842,424478,12284,304997,8562,119481,6675,188049,6452,127016,5449,61033,4434,153001,5644,142181,4572,10820,2689,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,657160,13122,139329,7113,6305,1441,3217,981,3088,1045,50387,4644,20725,2582,29662,3759,82637,4964,47737,3369,34900,3736,517831,12068,269656,9986,193620,7164,76036,5269,107223,5566,74542,3864,32681,3291,140952,4716,128198,4333,12754,2224,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,157745,8114,36625,3311,1316,673,823,502,493,296,12325,2033,5147,1164,7178,1652,22984,2606,12370,1797,10614,1845,121120,6918,66443,4810,45599,3334,20844,3052,20246,2762,13423,1668,6823,1932,34431,2243,30170,2111,4261,955,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,228518,6667,50218,3549,1943,765,592,409,1351,588,18360,2248,8023,1416,10337,1737,29915,2807,16255,2067,13660,2064,178300,5953,118387,5208,81379,4406,37008,3312,33439,3395,21060,2106,12379,2343,26474,2248,23560,2079,2914,1001,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3685906,32314,1010666,18802,61111,6944,28383,2924,32728,6351,323371,10608,133787,5651,189584,8824,626184,14823,337964,9521,288220,11809,2675240,26745,1346288,23559,909794,16762,436494,14734,514173,12928,339349,9666,174824,8609,814779,10878,728861,10082,85918,6358,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
