GEO_ID,C25015_001E,C25015_001M,C25015_002E,C25015_002M,C25015_003E,C25015_003M,C25015_004E,C25015_004M,C25015_005E,C25015_005M,C25015_006E,C25015_006M,C25015_007E,C25015_007M,C25015_008E,C25015_008M,C25015_009E,C25015_009M,C25015_010E,C25015_010M,C25015_011E,C25015_011M,C25015_012E,C25015_012M,C25015_013E,C25015_013M,C25015_014E,C25015_014M,C25015_015E,C25015_015M,C25015_016E,C25015_016M,C25015_017E,C25015_017M,C25015_018E,C25015_018M,C25015_019E,C25015_019M,C25015_020E,C25015_020M,C25015_021E,C25015_021M,NAME,C25015_001EA,C25015_001MA,C25015_002MA,C25015_002EA,C25015_003EA,C25015_003MA,C25015_004MA,C25015_004EA,C25015_005EA,C25015_005MA,C25015_006EA,C25015_006MA,C25015_007EA,C25015_007MA,C25015_008MA,C25015_008EA,C25015_009MA,C25015_009EA,C25015_010EA,C25015_010MA,C25015_011EA,C25015_011MA,C25015_012MA,C25015_012EA,C25015_013MA,C25015_013EA,C25015_014MA,C25015_014EA,C25015_015MA,C25015_015EA,C25015_016EA,C25015_016MA,C25015_017EA,C25015_017MA,C25015_018EA,C25015_018MA,C25015_019MA,C25015_019EA,C25015_020MA,C25015_020EA,C25015_021EA,C25015_021MA,state
0400000US01,1815152,10938,1272846,12811,145784,5536,142620,5530,3164,1049,772708,9750,762615,9570,10093,1630,354354,5986,352428,5789,1926,733,542306,10228,204733,7223,194499,7236,10234,1702,270294,7397,262475,7282,7819,1576,67279,3573,66855,3603,424,289,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,162785,3878,20285,2104,18371,2122,1914,542,116604,2854,109805,2849,6799,991,25896,1328,25514,1316,382,147,91825,3849,38762,2379,35387,2335,3375,945,46704,3041,43558,2955,3146,700,6359,1162,6280,1152,79,124,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,1522938,13309,175609,5743,165996,5522,9613,1770,903485,12376,877099,12064,26386,2355,443844,5979,439181,5788,4663,1179,811112,13574,316612,8434,284864,8156,31748,3144,404262,10018,374191,10203,30071,2971,90238,4676,89736,4648,502,301,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,751568,9191,89759,4305,87715,4332,2044,769,445017,6568,437271,6627,7746,1431,216792,4334,215907,4403,885,347,363334,8761,137181,5913,126570,5413,10611,1900,179256,7275,171791,7674,7465,1667,46897,2949,46677,2949,220,156,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,6903175,27402,599575,11020,559203,10129,40372,3208,4491298,24068,4256053,22416,235245,7738,1812302,15011,1788997,15018,23305,2099,5503300,25377,1873696,17178,1571522,15633,302174,8992,2980937,23857,2531792,22838,449145,10527,648667,9267,626302,8978,22365,2557,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,1292792,11248,166203,5697,160745,5525,5458,1147,849414,9444,837945,9560,11469,1756,277175,4290,276680,4254,495,335,667793,12023,289062,8138,270077,7639,18985,2521,309369,8341,293128,7633,16241,2420,69362,3479,68951,3504,411,269,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,923617,8286,77373,3881,75788,3894,1585,667,609630,6559,604628,6546,5002,1065,236614,4079,236187,4093,427,253,435192,8295,143716,5363,134148,5207,9568,1813,217753,6565,208231,6523,9522,1810,73723,3877,72964,3817,759,358,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,239884,4113,23562,1883,23115,1844,447,388,150727,3746,148124,3814,2603,894,65595,2259,65441,2252,154,136,88881,3899,35459,2971,33043,2866,2416,931,41320,3167,39675,3238,1645,849,12102,1268,12102,1268,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,107193,3924,13913,1860,13615,1847,298,275,64436,3332,63740,3330,696,311,28844,1684,28574,1708,270,246,145195,4932,59507,3297,57295,3349,2212,774,66407,3576,63123,3672,3284,883,19281,1654,18970,1587,311,280,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,4794130,25332,373968,10383,361255,10459,12713,1820,2790937,22019,2735758,21860,55179,3582,1629225,14245,1622607,14321,6618,1453,2240938,20709,757587,13525,709282,13465,48305,4063,1171163,17658,1111547,17234,59616,4048,312188,6836,308127,6488,4061,1259,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
