GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001MA,B05003I_001EA,B05003I_002EA,B05003I_002MA,B05003I_003EA,B05003I_003MA,B05003I_004EA,B05003I_004MA,B05003I_005EA,B05003I_005MA,B05003I_006EA,B05003I_006MA,B05003I_007MA,B05003I_007EA,B05003I_008MA,B05003I_008EA,B05003I_009EA,B05003I_009MA,B05003I_010EA,B05003I_010MA,B05003I_011EA,B05003I_011MA,B05003I_012MA,B05003I_012EA,B05003I_013MA,B05003I_013EA,B05003I_014MA,B05003I_014EA,B05003I_015EA,B05003I_015MA,B05003I_016MA,B05003I_016EA,B05003I_017MA,B05003I_017EA,B05003I_018EA,B05003I_018MA,B05003I_019MA,B05003I_019EA,B05003I_020MA,B05003I_020EA,B05003I_021EA,B05003I_021MA,B05003I_022MA,B05003I_022EA,B05003I_023EA,B05003I_023MA,state
0400000US01,182795,2389,98816,3262,33094,2595,27569,2465,5525,1819,915,885,4610,1464,65722,1744,18500,2344,47222,2706,5363,1531,41859,2896,83979,3457,34121,2804,29280,2817,4841,1560,501,437,4340,1484,49858,1533,16093,2237,33765,2017,5906,1291,27859,2137,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40705,1527,21763,1656,7587,700,7487,692,100,139,0,246,100,139,14176,1561,8554,1228,5622,1540,1773,875,3849,1471,18942,866,7345,637,7301,630,44,64,8,15,36,62,11597,467,8810,820,2787,802,1297,405,1490,650,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1908914,-555555555,958177,1355,360566,1278,338541,2966,22025,2774,1242,648,20783,2679,597611,392,338499,7105,259112,7102,71135,5275,187977,8122,950737,1354,347995,1280,325172,3693,22823,3418,1902,722,20921,3314,602742,387,342878,7481,259864,7494,78220,4614,181644,6963,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182674,1776,97770,2638,38161,1932,32678,1791,5483,1293,496,281,4987,1262,59609,2087,18523,2742,41086,3162,7998,1690,33088,3776,84904,2680,34782,1986,30824,2193,3958,1015,1102,583,2856,846,50122,1898,16590,2208,33532,1801,6955,1267,26577,1913,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14089411,-555555555,7120073,1924,2439899,1576,2272302,8554,167597,8229,15598,2617,151999,7677,4680174,1284,2093928,21525,2586246,21770,754375,14511,1831871,23358,6969338,1925,2337711,1578,2174865,7661,162846,7658,14132,1956,148714,7622,4631627,1285,2164591,21705,2467036,21651,867256,16414,1599780,22177,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1047700,-555555555,534464,2201,194910,2003,182795,2668,12115,1959,897,575,11218,1876,339554,1441,204238,5979,135316,5815,27256,2862,108060,5566,513236,2204,182585,1981,171899,2584,10686,1888,1574,915,9112,1647,330651,1384,220360,4816,110291,5039,27783,2788,82508,4645,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481901,-555555555,239045,932,81052,655,76079,1293,4973,1159,867,471,4106,1172,157993,713,93051,4703,64942,4674,16534,2261,48408,4483,242856,932,79966,655,75464,1171,4502,926,1170,447,3332,889,162890,714,108046,4134,54844,4108,19533,2443,35311,3406,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,73842,-555555555,38170,799,14190,775,12571,1075,1619,820,136,131,1483,793,23980,324,10084,1433,13896,1455,2593,952,11303,1478,35672,799,13170,775,11380,998,1790,624,257,260,1533,594,22502,325,10710,1145,11792,1223,3784,940,8008,1149,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55256,-555555555,28823,477,6535,477,5258,828,1277,667,375,359,902,591,22288,-555555555,7629,1343,14659,1342,3984,1161,10675,1487,26433,477,5723,477,5380,551,343,349,43,78,300,337,20710,-555555555,8376,1599,12334,1599,3429,985,8905,1535,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,4253197,-555555555,2103194,4246,569715,3095,496789,6103,72926,5186,10593,1666,62333,4788,1533479,4443,585204,11280,948275,11808,398225,8753,550050,12348,2150003,4244,540099,3610,477515,5644,62584,4798,10283,2073,52301,4557,1609904,1631,614059,10970,995845,11097,497400,10332,498445,12296,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
