GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001MA,B11010_001EA,B11010_002MA,B11010_002EA,B11010_003EA,B11010_003MA,B11010_004EA,B11010_004MA,B11010_005MA,B11010_005EA,B11010_006EA,B11010_006MA,B11010_007MA,B11010_007EA,B11010_008MA,B11010_008EA,B11010_009EA,B11010_009MA,B11010_010MA,B11010_010EA,B11010_011MA,B11010_011EA,B11010_012MA,B11010_012EA,B11010_013MA,B11010_013EA,B11010_014EA,B11010_014MA,B11010_015EA,B11010_015MA,state
0400000US01,587268,11440,263336,6270,219758,6357,170152,5506,49606,2822,43578,3478,40796,3362,2782,768,323932,8310,291950,7702,159066,6647,132884,4564,31982,2733,29010,2664,2972,731,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83751,4087,46440,2658,34955,2579,29907,2513,5048,884,11485,1675,10825,1706,660,330,37311,2647,28743,2294,19930,2094,8813,1225,8568,1597,7815,1439,753,537,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,785622,11512,383385,8833,292322,9126,226522,7875,65800,3329,91063,4993,84732,4975,6331,1215,402237,8440,328969,8474,185290,7023,143679,4867,73268,4429,65478,3984,7790,1271,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,353541,8369,164939,4975,134941,4450,104565,4296,30376,2500,29998,3001,28524,3018,1474,480,188602,6154,167186,5651,85607,4807,81579,3581,21416,2283,19481,2194,1935,640,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3898619,22565,1829876,18353,1333972,17390,1027471,16385,306501,9165,495904,11506,452214,11349,43690,3373,2068743,17284,1667335,17265,946245,15125,721090,11068,401408,9252,355160,9219,46248,2946,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,701700,12583,342477,9140,263728,8727,215801,7742,47927,2837,78749,4938,75445,4792,3304,841,359223,8306,291352,7414,183354,6652,107998,3356,67871,3750,64131,3686,3740,785,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,468039,8409,206669,6453,162649,5987,122457,5926,40192,2622,44020,3454,40012,3438,4008,928,261370,6464,221733,5672,117269,5288,104464,3306,39637,3347,34647,3205,4990,1021,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,107532,4730,46461,3154,35356,2667,27174,2534,8182,1028,11105,1599,9610,1571,1495,676,61071,3361,51634,3132,26786,2409,24848,1887,9437,1430,8085,1357,1352,486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,150869,4823,66097,3299,50802,3170,42080,3234,8722,1234,15295,1887,14225,1820,1070,554,84772,3843,70234,3441,50776,3124,19458,1680,14538,1829,13960,1836,578,349,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2478138,24583,1132947,15293,871439,15763,628846,13459,242593,6634,261508,8061,226515,8020,34993,2519,1345191,18270,1141589,17808,577071,14331,564518,10416,203602,6756,174933,5911,28669,2457,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1096451,15818,499947,11438,398623,10669,326983,9893,71640,4152,101324,5833,95417,5713,5907,1130,596504,11109,522382,10476,332086,9300,190296,5719,74122,4108,68379,4138,5743,1097,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,142737,5203,68553,3746,50504,3401,37664,2867,12840,1606,18049,2122,16265,2135,1784,518,74184,3841,58368,3591,32914,2830,25454,2349,15816,1949,13994,1765,1822,622,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,174903,5643,85696,3770,66067,3553,52410,3268,13657,1701,19629,2242,17750,2125,1879,719,89207,3894,73842,3773,39587,2947,34255,1934,15365,1707,13958,1681,1407,493,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1619044,15034,747891,10946,593792,10676,469113,9374,124679,5199,154099,6229,143187,6146,10912,1381,871153,11761,746602,11343,413584,9095,333018,6444,124551,5824,114177,5410,10374,1508,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,814519,11103,382245,9083,304811,8419,240153,7439,64658,3264,77434,4271,72811,4318,4623,925,432274,6740,373649,6272,201782,5663,171867,3834,58625,3591,53982,3605,4643,821,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
