GEO_ID,C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,NAME,C27013_001MA,C27013_001EA,C27013_002MA,C27013_002EA,C27013_003EA,C27013_003MA,C27013_004MA,C27013_004EA,C27013_005MA,C27013_005EA,C27013_006MA,C27013_006EA,C27013_007MA,C27013_007EA,C27013_008EA,C27013_008MA,C27013_009EA,C27013_009MA,C27013_010MA,C27013_010EA,C27013_011MA,C27013_011EA,C27013_012MA,C27013_012EA,C27013_013EA,C27013_013MA,C27013_014MA,C27013_014EA,C27013_015MA,C27013_015EA,C27013_016MA,C27013_016EA,C27013_017MA,C27013_017EA,C27013_018EA,C27013_018MA,C27013_019MA,C27013_019EA,C27013_020EA,C27013_020MA,C27013_021EA,C27013_021MA,C27013_022MA,C27013_022EA,state
0400000US01,3569131,2998,1392166,14404,1349031,13409,1165011,13503,184020,8378,43135,2972,35357,2749,7778,1572,842163,13986,782223,13527,478603,10107,303620,11255,59940,3073,42376,2638,17564,2102,1334802,15293,800282,13799,360024,9740,440258,13419,534520,4559,351650,6189,182870,5522,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,501265,1968,212727,6203,207237,5931,169629,6355,37608,2823,5490,1127,4509,1069,981,394,174445,5034,165073,4951,91260,3794,73813,4214,9372,1241,5509,967,3863,919,114093,4102,77125,3799,37614,3156,39511,3136,36968,1592,21515,1739,15453,1756,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4680243,2323,1820532,19801,1768757,19334,1402273,17074,366484,13215,51775,3601,36205,2838,15570,2853,1164350,16174,1069574,16511,575503,13448,494071,13145,94776,4231,62078,3532,32698,2848,1695361,18190,966352,16970,397889,10267,568463,14866,729009,6233,459059,7937,269950,7185,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2158237,3062,870498,11861,843695,11868,685036,12123,158659,7838,26803,2541,20246,1993,6557,1268,520074,12293,471237,11926,244960,9644,226277,9051,48837,2867,32361,2265,16476,1983,767665,10663,438501,9821,165278,7397,273223,7532,329164,4864,205371,5168,123793,4619,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27526878,5929,10770580,43939,10448689,45612,8370084,45425,2078605,27887,321891,7934,243037,6840,78854,4211,7405105,39423,6939324,37618,3878362,30014,3060962,29792,465781,9151,302057,7163,163724,6251,9351193,42521,5961894,42575,2558298,28861,3403596,39519,3389299,13487,1822967,15834,1566332,15689,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3730665,3105,1654678,15385,1609699,15105,1365339,17369,244360,10359,44979,3017,34099,2825,10880,1620,1085280,14189,1008897,13739,623710,12365,385187,10786,76383,3651,52006,2946,24377,1977,990707,13370,575934,12076,302241,8754,273693,9385,414773,4997,286463,5374,128310,5389,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2704903,1035,1161537,12173,1119811,12017,998974,11431,120837,7157,41726,2667,35665,2747,6061,1331,756156,13082,688554,12733,472078,9458,216476,9142,67602,3358,50687,2797,16915,2047,787210,9097,411713,9046,215590,6263,196123,7710,375497,4129,256471,5244,119026,5242,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,679186,1049,288394,6908,279073,6906,242785,6635,36288,3755,9321,1402,8187,1340,1134,428,168574,5369,153702,5176,98381,4031,55321,4467,14872,1415,11832,1375,3040,698,222218,5860,120994,5758,63355,4054,57639,4033,101224,2063,72500,2729,28724,2520,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,493292,614,226540,4901,219031,4651,194418,4731,24613,3200,7509,1203,6666,1068,843,403,113959,5005,104646,4872,67871,4101,36775,3596,9313,1350,7149,1163,2164,701,152793,5529,102498,5409,50731,4212,51767,4466,50295,1497,33895,1833,16400,1774,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14543834,6379,5519810,29987,5314733,29536,4092666,31850,1222067,19818,205077,6345,143212,4925,61865,3815,3404056,31513,3063272,28722,1556725,21930,1506547,24480,340784,9522,209646,7254,131138,6002,5619968,28213,2957274,26011,1205614,19796,1751660,25057,2662694,11035,1573410,15409,1089284,15415,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
