GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001MA,B19001_001EA,B19001_002MA,B19001_002EA,B19001_003EA,B19001_003MA,B19001_004EA,B19001_004MA,B19001_005MA,B19001_005EA,B19001_006MA,B19001_006EA,B19001_007EA,B19001_007MA,B19001_008MA,B19001_008EA,B19001_009MA,B19001_009EA,B19001_010EA,B19001_010MA,B19001_011EA,B19001_011MA,B19001_012EA,B19001_012MA,B19001_013MA,B19001_013EA,B19001_014MA,B19001_014EA,B19001_015EA,B19001_015MA,B19001_016MA,B19001_016EA,B19001_017MA,B19001_017EA,state
0400000US01,1815152,10938,196253,8087,135182,5554,124664,5483,123515,6014,107464,5736,108534,5510,100549,4761,95455,5176,80804,4331,141837,5693,166139,7466,177709,7745,108049,4290,55859,3752,54325,3193,38814,3067,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,10654,1598,11818,1646,9425,1498,11304,1359,11373,1575,11395,1535,10074,1619,11366,1740,9740,1640,20540,2111,28076,2909,33925,3048,27201,2349,18645,2151,16204,2316,12870,1536,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,186322,7951,134213,5351,125123,5821,143156,7042,136633,6186,142205,5567,130639,6751,126780,5500,104492,5501,200211,7552,238255,7103,263927,8001,164407,6374,91640,4887,76200,4137,69847,3628,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,109620,5341,85729,4547,83738,4822,81681,4785,76179,4542,76599,4639,63549,3928,58572,3497,52651,3671,84402,4495,106704,4202,104649,4882,57711,3903,29498,2622,24066,2482,19554,2238,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,741864,13091,664711,12852,614842,13823,647956,11603,571891,12488,584917,15140,556070,12296,561523,13092,496565,12517,929799,15061,1238774,17124,1530962,20018,1104395,17439,665489,11750,752779,13095,743938,12310,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,133792,5498,99108,5112,94842,4459,107212,5419,95192,4560,102786,5688,94862,5169,94755,4845,84359,4539,154810,4944,206827,7128,248333,6000,167979,5847,98362,4290,93692,4619,83674,3713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,79205,4321,59768,4016,63731,4447,58340,4309,57744,3989,53393,3360,56659,3697,61380,4259,49958,3343,101448,4832,129504,4840,180261,6274,125413,5453,86772,4950,91520,3451,103713,4383,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,19765,1942,15596,2037,15972,2167,17189,2074,14531,2120,16919,1969,15130,1891,16548,1860,14039,1888,29257,2396,35215,2890,43486,3078,29036,2635,18109,1833,16198,1504,11775,1269,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,26272,2481,13898,1955,9739,1616,10728,1556,8771,1521,10644,1581,9593,1472,8078,1322,8791,1395,17862,2341,21820,2105,29131,2689,19446,2003,13603,1601,17910,1867,26102,1878,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,587347,10869,442863,11083,435000,10439,454272,12346,427242,10934,432168,10956,398276,10304,375721,11216,333504,9830,594332,13505,690596,14358,750571,14327,446574,12549,231442,6081,215741,7313,219419,7308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
