GEO_ID,B12501_001E,B12501_001M,B12501_002E,B12501_002M,B12501_003E,B12501_003M,B12501_004E,B12501_004M,B12501_005E,B12501_005M,B12501_006E,B12501_006M,B12501_007E,B12501_007M,B12501_008E,B12501_008M,B12501_009E,B12501_009M,B12501_010E,B12501_010M,B12501_011E,B12501_011M,NAME,B12501_001EA,B12501_001MA,B12501_002EA,B12501_002MA,B12501_003MA,B12501_003EA,B12501_004EA,B12501_004MA,B12501_005MA,B12501_005EA,B12501_006MA,B12501_006EA,B12501_007EA,B12501_007MA,B12501_008MA,B12501_008EA,B12501_009MA,B12501_009EA,B12501_010EA,B12501_010MA,B12501_011MA,B12501_011EA,state
0400000US01,3849111,3291,1844661,3620,598916,9648,1245745,9182,37747,3337,1207998,8859,2004450,3278,523685,9742,1480765,9456,37587,3189,1443178,8975,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558161,1252,290598,1332,103256,4599,187342,4445,6761,1302,180581,4107,267563,1192,73175,3321,194388,3222,6654,1339,187734,3156,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5051999,1686,2492590,2424,879512,10546,1613078,10369,44832,3715,1568246,10720,2559409,2314,717857,11136,1841552,10484,43804,3778,1797748,11256,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2329778,3252,1128804,3575,332606,7748,796198,7226,25073,2557,771125,7327,1200974,3412,281988,7140,918986,6219,26131,2702,892855,6200,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29705525,3415,14662335,4581,5830573,28157,8831762,27189,244441,7805,8587321,26165,15043190,4579,4864486,24224,10178704,24891,237878,7643,9940826,23106,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4021728,2195,2004303,3064,690093,9543,1314210,9328,47412,3332,1266798,8943,2017425,2781,543041,9931,1474384,10195,47266,3309,1427118,9758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2911821,1051,1399329,1340,507552,7494,891777,7161,19897,2296,871880,7005,1512492,1554,452491,7327,1060001,7529,21526,2080,1038475,7711,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,730643,811,350025,1332,123659,4151,226366,3756,7778,1483,218588,3663,380618,1147,117400,3433,263218,3426,6697,1374,256521,3439,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,520355,383,243152,725,143315,3853,99837,3754,6049,1310,93788,3666,277203,726,154605,3577,122598,3641,5507,1054,117091,3478,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15555825,4678,7534535,6305,2554092,19232,4980443,17979,119719,6295,4860724,18253,8021290,4588,2136659,18984,5884631,19469,117360,6453,5767271,18603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
