GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001MA,C27003_001EA,C27003_002MA,C27003_002EA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005EA,C27003_005MA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010EA,C27003_010MA,C27003_011MA,C27003_011EA,C27003_012EA,C27003_012MA,C27003_013MA,C27003_013EA,C27003_014EA,C27003_014MA,C27003_015EA,C27003_015MA,C27003_016EA,C27003_016MA,C27003_017EA,C27003_017MA,C27003_018MA,C27003_018EA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021EA,C27003_021MA,state
0400000US01,4702769,1669,2264282,5426,580409,4165,241493,7446,338916,7741,1411696,4278,203370,7348,1208326,7495,272177,2147,267813,2156,4364,1008,2438487,5571,553229,3838,222358,7467,330871,7370,1519840,3855,233694,9938,1286146,10837,365418,2200,359394,2316,6024,1336,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689249,1872,351120,2257,98067,1769,30986,2256,67081,2728,228051,1873,27352,2318,200699,2915,25002,744,22993,820,2009,698,338129,1869,89917,1576,27338,2475,62579,2538,221384,1182,28304,2654,193080,2824,26828,631,25982,693,846,450,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6310174,2001,3105385,4053,835349,2384,304916,10197,530433,10471,1869504,3564,337017,10924,1532487,11733,400532,1319,388293,2498,12239,1981,3204789,3753,794582,2245,294206,8294,500376,8418,1935179,2604,373021,10374,1562158,10084,475028,1801,460715,2549,14313,2101,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2867611,1672,1395533,6537,360067,3837,177172,6163,182895,5833,855780,5332,133370,5284,722410,6466,179686,1735,177495,1915,2191,692,1472078,6426,349307,3824,177742,6580,171565,6200,897653,5403,143279,5299,754374,6621,225118,1959,222258,2094,2860,944,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36815569,4634,18152479,9393,4749200,4391,1834543,23144,2914657,23337,11577968,9176,1395949,21844,10182019,23782,1825311,3391,1723178,6284,102133,5395,18663090,7973,4539491,3888,1757920,23423,2781571,23260,11771939,6474,1750104,22036,10021835,22598,2351660,4990,2238862,6522,112798,4995,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4956873,2211,2462240,6565,629839,3148,175132,8276,454707,8383,1592801,5038,154154,6055,1438647,7844,239600,1431,232437,1886,7163,1219,2494633,6292,596369,3090,160847,6903,435522,7343,1601729,4414,169582,6940,1432147,7447,296535,1791,287386,2138,9149,1423,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3519913,989,1704117,2239,416145,1288,120092,6723,296053,6621,1080650,1981,125336,6845,955314,7359,207322,1165,197852,2051,9470,1721,1815796,2076,398865,1282,116616,4648,282249,4782,1139428,1712,170616,6132,968812,6486,277503,1289,267665,1852,9838,1381,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,885232,820,426205,1636,105483,1063,38445,3152,67038,3177,265250,1178,41880,3763,223370,3916,55472,575,54136,898,1336,724,459027,1568,100563,969,34898,3188,65665,3178,288519,1142,55293,4280,233226,4364,69945,566,68463,806,1482,701,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594282,401,278370,1152,51219,734,26508,2138,24711,2202,200415,1083,38397,3271,162018,3301,26736,414,24335,740,2401,571,315912,1126,49771,582,27110,2252,22661,2260,225760,797,53917,3026,171843,3147,40381,1099,37248,1194,3133,964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18534081,4456,8979510,7602,2040425,4878,759073,14395,1281352,13685,5503186,7114,678657,15181,4824529,14327,1435899,3228,1382073,5598,53826,4119,9554571,6409,1949822,4738,713460,15851,1236362,16005,5832093,4854,729926,14567,5102167,15426,1772656,3805,1710479,5013,62177,3927,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
