B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028EA,B14005_028MA,B14005_029EA,B14005_029MA,NAME,B14005_001MA,B14005_001EA,B14005_002MA,B14005_002EA,B14005_003MA,B14005_003EA,B14005_004EA,B14005_004MA,B14005_005EA,B14005_005MA,B14005_006EA,B14005_006MA,B14005_007EA,B14005_007MA,B14005_008EA,B14005_008MA,B14005_009MA,B14005_009EA,B14005_010EA,B14005_010MA,B14005_011EA,B14005_011MA,B14005_012MA,B14005_012EA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015EA,B14005_015MA,B14005_016EA,B14005_016MA,B14005_017EA,B14005_017MA,B14005_018EA,B14005_018MA,B14005_019EA,B14005_019MA,B14005_020MA,B14005_020EA,B14005_021EA,B14005_021MA,B14005_022EA,B14005_022MA,B14005_023MA,B14005_023EA,B14005_024MA,B14005_024EA,B14005_025EA,B14005_025MA,state
8591,1804,1307,753,2099,953,5185,1455,0400000US01,284521,6543,146337,4326,117981,4713,21172,2773,11012,2187,85797,4342,28356,2583,15580,1759,8007,1381,4131,884,3442,1064,12776,1979,3747,1075,3518,1113,5511,1435,138184,4409,117121,4487,27218,2743,11636,1915,78267,4562,21063,2550,12472,1674,6054,1073,1998,740,4420,1058,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1169,510,330,290,159,162,680,368,0400000US02,40430,2042,20449,1643,15724,1546,4042,813,1565,696,10117,1438,4725,825,3342,637,1864,518,822,384,656,334,1383,534,431,271,612,500,340,160,19981,1400,16502,1485,5379,1083,1909,692,9214,1220,3479,882,2310,686,978,492,417,284,915,471,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
12678,2144,2513,968,1569,713,8596,1858,0400000US04,371927,5407,193640,4266,154993,4461,32883,2838,16079,2472,106031,4992,38647,3566,21718,2936,10747,2152,4624,1242,6347,1552,16929,2790,5164,1426,2010,778,9755,2032,178287,3729,145139,4463,35783,3510,14312,2121,95044,4333,33148,3558,20470,2596,8553,1733,4990,1476,6927,1530,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
7124,1593,2074,835,1128,553,3922,1243,0400000US05,171325,6013,86766,4120,68700,3944,15028,1912,7013,1433,46659,3449,18066,2342,11552,2027,5278,1380,3310,1072,2964,982,6514,1462,2536,968,1538,761,2440,815,84559,3766,67362,3835,17019,2419,5901,1546,44442,3634,17197,2203,10073,1753,4775,1188,2016,755,3282,1033,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
40034,3581,8958,1786,7873,1705,23203,2408,0400000US06,2279692,13485,1180333,9391,986204,11426,143357,6295,96114,5238,746733,11068,194129,7480,120414,5752,55494,4151,29162,3289,35758,3482,73715,4964,26919,3104,14964,2430,31832,3307,1099359,9206,968588,10872,172705,7855,86776,4969,709107,12540,130771,5671,90737,5259,41929,3869,18482,2380,30326,3527,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
4774,1184,1218,661,1640,631,1916,757,0400000US08,277442,5135,143146,4042,117671,3972,31222,3009,14050,2410,72399,3575,25475,2672,15208,2108,9650,1773,2973,945,2585,751,10267,1661,4287,1293,1854,641,4126,1211,134296,3278,117382,3549,34872,2403,10541,1655,71969,3134,16914,2383,12140,1960,7421,1452,2219,839,2500,834,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2614,925,496,380,507,394,1611,734,0400000US09,200450,3100,101599,2360,89012,2610,24143,2258,8861,1347,56008,2397,12587,1594,7632,1211,3533,825,1873,788,2226,723,4955,1219,1571,646,1086,486,2298,881,98851,2601,91590,2733,28420,2453,7619,1339,55551,2665,7261,1435,4647,1264,3240,1073,553,359,854,493,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1604,747,432,407,376,361,796,457,0400000US10,53863,2047,26369,1754,22190,1711,4844,1143,1072,424,16274,1954,4179,971,2797,854,1457,619,580,440,760,437,1382,506,43,73,271,215,1068,494,27494,1693,24057,1853,6095,1333,2024,887,15938,1783,3437,1002,1833,758,802,444,353,288,678,479,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
779,559,0,292,253,313,526,387,0400000US11,37767,2400,18182,1735,15874,1770,1298,667,634,460,13942,1795,2308,870,1170,561,723,434,222,212,225,220,1138,558,0,292,236,196,902,486,19585,1527,17330,1567,1827,595,1083,536,14420,1674,2255,771,1476,525,585,366,253,246,638,385,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
22141,3136,6121,1682,5233,1594,10787,1919,0400000US12,1003074,10065,512393,7427,421122,7247,71452,4717,41402,3360,308268,7313,91271,5691,55445,4482,25756,3391,11924,2397,17765,2402,35826,4044,8062,1679,7740,1850,20024,2837,490681,7688,416634,8834,89186,5507,39310,3879,288138,8606,74047,5615,51906,4567,22643,2933,11256,2054,18007,2993,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
13874,1975,2357,857,2752,918,8765,1562,0400000US13,579471,10421,295456,6668,230668,6771,36551,3024,22296,2737,171821,6008,64788,4266,35712,3578,16925,2566,10715,1707,8072,1579,29076,3294,5721,1683,7815,1825,15540,2533,284015,6844,244929,6786,48169,3866,25188,3170,171572,6241,39086,3692,25212,3041,9133,1776,7763,1616,8316,1743,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
1123,669,21,41,163,268,939,627,0400000US15,68631,2413,37133,1789,28521,2057,4494,1093,1707,612,22320,2080,8612,1162,6806,927,3772,965,1859,643,1175,604,1806,812,191,176,207,172,1408,748,31498,1768,25165,1788,6213,1166,1226,492,17726,1758,6333,1241,5210,1046,2655,709,838,608,1717,704,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
