C24040_011E,C24040_011M,C24040_012E,C24040_012M,C24040_013E,C24040_013M,C24040_014E,C24040_014M,C24040_015E,C24040_015M,C24040_016E,C24040_016M,C24040_017E,C24040_017M,C24040_018E,C24040_018M,C24040_019E,C24040_019M,C24040_020E,C24040_020M,C24040_021E,C24040_021M,C24040_022E,C24040_022M,C24040_023E,C24040_023M,C24040_024E,C24040_024M,C24040_025E,C24040_025M,C24040_026E,C24040_026M,C24040_027E,C24040_027M,C24040_028E,C24040_028M,C24040_029E,C24040_029M,C24040_030E,C24040_030M,C24040_031E,C24040_031M,C24040_032E,C24040_032M,C24040_033E,C24040_033M,C24040_034E,C24040_034M,C24040_035E,C24040_035M,C24040_036E,C24040_036M,C24040_037E,C24040_037M,C24040_038E,C24040_038M,C24040_039E,C24040_039M,C24040_040E,C24040_040M,C24040_041E,C24040_041M,C24040_042E,C24040_042M,C24040_043E,C24040_043M,C24040_044E,C24040_044M,C24040_045E,C24040_045M,C24040_046E,C24040_046M,C24040_047E,C24040_047M,C24040_048E,C24040_048M,C24040_049E,C24040_049M,C24040_050E,C24040_050M,C24040_051E,C24040_051M,C24040_052E,C24040_052M,C24040_053E,C24040_053M,C24040_054E,C24040_054M,C24040_055E,C24040_055M,GEO_ID,C24040_001E,C24040_001M,C24040_002E,C24040_002M,C24040_003E,C24040_003M,C24040_004E,C24040_004M,C24040_005E,C24040_005M,C24040_006E,C24040_006M,C24040_007E,C24040_007M,C24040_008E,C24040_008M,C24040_009E,C24040_009M,C24040_010E,C24040_010M,C24040_011MA,C24040_011EA,C24040_012MA,C24040_012EA,C24040_013MA,C24040_013EA,C24040_014MA,C24040_014EA,C24040_015MA,C24040_015EA,C24040_016EA,C24040_016MA,C24040_017MA,C24040_017EA,C24040_018MA,C24040_018EA,C24040_019MA,C24040_019EA,C24040_020MA,C24040_020EA,C24040_021EA,C24040_021MA,C24040_022MA,C24040_022EA,C24040_023MA,C24040_023EA,C24040_024MA,C24040_024EA,C24040_025MA,C24040_025EA,C24040_026EA,C24040_026MA,C24040_027MA,C24040_027EA,C24040_028MA,C24040_028EA,C24040_029EA,C24040_029MA,C24040_030EA,C24040_030MA,C24040_031MA,C24040_031EA,C24040_032EA,C24040_032MA,C24040_033MA,C24040_033EA,C24040_034MA,C24040_034EA,C24040_035EA,C24040_035MA,C24040_036MA,C24040_036EA,C24040_037EA,C24040_037MA,C24040_038MA,C24040_038EA,C24040_039MA,C24040_039EA,C24040_040EA,C24040_040MA,C24040_041EA,C24040_041MA,C24040_042MA,C24040_042EA,C24040_043EA,C24040_043MA,C24040_044MA,C24040_044EA,C24040_045MA,C24040_045EA,C24040_046EA,C24040_046MA,C24040_047MA,C24040_047EA,C24040_048EA,C24040_048MA,C24040_049EA,C24040_049MA,C24040_050MA,C24040_050EA,C24040_051MA,C24040_051EA,C24040_052MA,C24040_052EA,C24040_053EA,C24040_053MA,C24040_054EA,C24040_054MA,C24040_055MA,C24040_055EA,NAME,C24040_001MA,C24040_001EA,C24040_002MA,C24040_002EA,C24040_003MA,C24040_003EA,C24040_004EA,C24040_004MA,C24040_005MA,C24040_005EA,C24040_006MA,C24040_006EA,C24040_007MA,C24040_007EA,C24040_008MA,C24040_008EA,C24040_009EA,C24040_009MA,C24040_010EA,C24040_010MA,state
44139,3435,19589,2524,14164,1714,35704,2896,25850,2581,9854,1480,78085,5349,47604,4006,403,348,30078,3462,73621,4335,35791,3098,37830,3093,33584,3854,7780,1383,25804,3377,37573,3368,58071,3951,607580,8589,3129,981,2568,911,561,353,8019,1669,62013,4330,11582,1581,63829,3899,15881,1791,10354,1423,5527,1069,11712,1788,57576,3831,46713,3520,10863,1847,51259,3585,33886,2540,282,196,17091,2475,220297,6885,79548,4948,140749,5365,34242,3470,3612,924,30630,3189,24431,2502,43610,3393,0400000US01,1382634,14540,775054,11255,24093,3081,15757,2254,8336,1881,85982,5180,158056,5253,33326,2921,79067,3568,63728,4522,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
12794,2153,1777,595,2581,797,4170,1246,1905,1043,2265,760,8561,1513,6374,1295,47,61,2140,550,12549,1544,6340,1064,6209,1280,8069,1747,1731,628,6338,1600,4489,1149,22605,2523,92037,4124,1883,593,871,398,1012,473,2167,709,2437,859,1221,583,10683,1600,3660,1012,2864,958,796,296,2469,852,6187,1314,4196,1139,1991,655,5859,1200,4769,1120,35,58,1055,420,31800,2621,9257,1491,22543,2380,5130,1058,889,370,4241,962,3903,1178,14638,2038,0400000US02,211404,6231,119367,4143,8901,1987,1523,505,7378,1910,11321,1844,5804,1071,3777,1238,11969,1839,14571,2176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
53201,4310,19648,2330,22004,2747,70651,4179,49755,3665,20896,2435,132342,5588,69738,4169,200,256,62404,4788,114919,4740,49967,3820,64952,3723,83769,5847,24659,3132,59110,4797,39753,3766,83294,4998,785005,13672,2446,728,1935,674,511,235,13614,2365,41029,3811,14668,2135,81969,5067,26785,3055,22511,2672,4274,1060,15084,2337,87963,5326,66315,4797,21648,2886,79206,4823,49712,3771,1026,519,28468,2979,274711,8181,90206,4976,184505,6748,57927,4854,14243,2377,43684,4050,33970,4411,55633,3909,0400000US04,1808287,19511,1023282,12916,22776,3380,13656,2944,9120,1609,98728,5830,123763,6393,37332,2944,121102,7157,72849,4586,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
33889,3213,10251,1335,9522,1534,17751,1770,12300,1576,5451,974,30394,2800,15216,1914,430,320,14748,2212,52602,3097,23216,2866,29386,2346,21165,2776,3666,886,17499,2595,23166,2640,28160,2361,384473,8030,4222,1045,3917,992,305,229,4346,1068,41789,3577,6387,1430,49180,3702,10719,1609,8111,1354,2608,775,6416,1207,25680,2510,19938,2076,5742,1218,25855,2818,15846,2183,946,529,9063,1686,149670,5798,55582,3900,94088,4209,21663,2799,2787,907,18876,2673,12927,1795,25619,2445,0400000US05,863790,12000,479317,7613,29627,3157,23018,2465,6609,1643,46602,3901,99507,4913,19959,2504,56722,4118,44140,3410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
357259,8979,87334,4883,209611,7943,386104,9030,237699,7371,148405,5829,895200,18046,554986,14258,3793,1010,336421,11409,642128,14646,272685,8718,369443,10521,454961,14821,128770,8053,326191,12947,276361,10179,379145,11096,4486524,31022,37867,3814,35617,3648,2250,680,57657,4051,400462,12353,128984,5447,441891,12480,139617,6922,110472,5844,29145,3305,124526,6808,413151,10279,300518,8927,112633,5266,512018,11521,362292,9414,4064,1215,145662,6957,1410752,18518,432127,10980,978625,15500,303713,10542,74785,4675,228928,8906,216014,7103,299872,8291,0400000US06,10696984,45223,6210460,30182,176155,8583,159433,8456,16722,2234,511078,13556,932589,17212,291441,10964,611094,13575,444593,9606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
50102,3939,16246,2135,33667,2731,67191,3945,42910,3108,24281,2290,131793,4535,94966,4030,1043,500,35784,3487,89811,5455,43348,3629,46463,3918,65712,4965,19770,2729,45942,3713,40375,3233,61824,3519,697302,10606,7511,1371,3539,929,3972,931,10766,1432,39142,3535,14091,1707,71378,3929,19464,1940,14371,1628,5093,1090,24655,2670,73054,3821,53028,3211,20026,2231,84056,4517,60337,4164,585,285,23134,2492,226237,6749,81275,4764,144962,5283,52897,4159,14074,2141,38823,3798,29140,2536,44911,3724,0400000US08,1643249,15641,945947,10050,33794,3359,17572,2109,16222,2166,107935,5863,113471,5724,37811,2822,96215,5854,66348,4620,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
27070,2634,9779,1541,20502,2342,65940,3170,55557,3118,10383,1536,85765,4612,56002,3578,961,376,28802,3097,80382,4823,39738,3373,40644,3222,40705,4527,14103,2182,26602,3723,25412,2751,36808,3175,503810,7916,1197,557,1109,549,88,117,4069,1064,44119,3559,10451,1627,39618,3345,10420,1675,6919,1466,3501,956,13175,1637,64777,3966,56526,3962,8251,1558,48852,3578,36576,3047,1544,578,10732,1634,192652,6839,66016,3969,126636,5559,29887,3278,9921,1682,19966,3100,22906,2424,21687,2606,0400000US09,1154616,12170,650806,9291,3052,792,2593,716,459,309,54610,3972,117760,5506,24247,2220,58774,4300,36849,2886,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
8263,1413,2777,741,3254,801,15666,1910,12357,1676,3309,996,17425,2144,11128,1677,45,74,6252,1457,17124,2231,7861,1405,9263,1628,8576,1773,3425,1194,5151,1259,5708,1218,11273,1710,134983,4821,1005,558,1005,558,0,265,1431,582,9899,1785,1750,683,14650,2326,3494,1133,2844,1036,650,367,1779,828,22912,2667,20954,2548,1958,637,9413,1234,5817,920,429,403,3167,988,46382,3256,15977,1902,30405,2717,7012,1426,2588,750,4424,1045,4928,1162,10328,1600,0400000US10,286298,6785,151315,4461,2537,810,2388,808,149,147,17006,2244,20273,2414,5524,1228,15909,1972,11040,1608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
4307,1046,1047,613,4610,1272,8489,1570,4327,1354,4162,1047,28325,2216,23657,2359,0,292,4668,1036,12021,1680,6897,1232,5124,1250,8470,1596,1811,703,6659,1407,7702,1492,22206,2855,112009,3779,0,292,0,292,0,292,672,439,1345,595,257,262,3357,992,2741,942,2223,744,518,489,5406,1200,4530,1019,3519,858,1011,524,21194,2300,17522,2055,66,109,3606,1017,26483,2152,11346,1363,15137,1732,8288,1815,2502,878,5786,1636,12015,1793,25721,2572,0400000US11,224082,4940,112073,3565,57,89,0,292,57,89,6251,1398,1345,593,2012,822,5231,1414,5354,1286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
196658,7335,45773,3636,72778,4915,219856,7590,128901,6251,90955,4934,412851,12665,216444,8095,2130,819,194277,8299,304022,7961,130605,5929,173417,7493,264842,11736,77267,5375,187575,10503,142532,6259,199429,7170,2500568,20555,12771,2178,12160,2190,611,369,35716,3103,104100,5442,55081,4187,290842,11166,76443,5573,62316,4812,14127,2134,50179,3996,260421,9305,194966,8827,65455,4025,270074,8052,162613,6443,2154,748,105307,5956,864651,14911,275041,8047,589610,12455,209700,9432,46811,4266,162889,7877,119100,6741,151490,7247,0400000US12,5480279,30143,2979711,23180,49990,6043,43834,5753,6156,1256,309850,11226,258684,8510,134724,6725,367722,12962,242431,8115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
