GEO_ID,C08501_001E,C08501_001M,C08501_002E,C08501_002M,C08501_003E,C08501_003M,C08501_004E,C08501_004M,C08501_005E,C08501_005M,C08501_006E,C08501_006M,C08501_007E,C08501_007M,C08501_008E,C08501_008M,C08501_009E,C08501_009M,C08501_010E,C08501_010M,C08501_011E,C08501_011M,C08501_012E,C08501_012M,C08501_013E,C08501_013M,C08501_014E,C08501_014M,C08501_015E,C08501_015M,C08501_016E,C08501_016M,C08501_017E,C08501_017M,C08501_018E,C08501_018M,C08501_019E,C08501_019M,C08501_020E,C08501_020M,C08501_021E,C08501_021M,C08501_022E,C08501_022M,C08501_023E,C08501_023M,C08501_024E,C08501_024M,C08501_025E,C08501_025M,C08501_026E,C08501_026M,C08501_027E,C08501_027M,C08501_028E,C08501_028M,C08501_029E,C08501_029M,C08501_030E,C08501_030M,C08501_031E,C08501_031M,C08501_032E,C08501_032M,C08501_033E,C08501_033M,C08501_034E,C08501_034M,C08501_035E,C08501_035M,C08501_036E,C08501_036M,C08501_037E,C08501_037M,C08501_038E,C08501_038M,C08501_039E,C08501_039M,C08501_040E,C08501_040M,C08501_041E,C08501_041M,C08501_042E,C08501_042M,NAME,C08501_001EA,C08501_001MA,C08501_002EA,C08501_002MA,C08501_003MA,C08501_003EA,C08501_004EA,C08501_004MA,C08501_005EA,C08501_005MA,C08501_006MA,C08501_006EA,C08501_007MA,C08501_007EA,C08501_008EA,C08501_008MA,C08501_009EA,C08501_009MA,C08501_010EA,C08501_010MA,C08501_011EA,C08501_011MA,C08501_012MA,C08501_012EA,C08501_013MA,C08501_013EA,C08501_014MA,C08501_014EA,C08501_015MA,C08501_015EA,C08501_016MA,C08501_016EA,C08501_017EA,C08501_017MA,C08501_018MA,C08501_018EA,C08501_019MA,C08501_019EA,C08501_020EA,C08501_020MA,C08501_021EA,C08501_021MA,C08501_022MA,C08501_022EA,C08501_023MA,C08501_023EA,C08501_024EA,C08501_024MA,C08501_025MA,C08501_025EA,C08501_026EA,C08501_026MA,C08501_027EA,C08501_027MA,C08501_028MA,C08501_028EA,C08501_029MA,C08501_029EA,C08501_030EA,C08501_030MA,C08501_031MA,C08501_031EA,C08501_032MA,C08501_032EA,C08501_033MA,C08501_033EA,C08501_034EA,C08501_034MA,C08501_035EA,C08501_035MA,C08501_036MA,C08501_036EA,C08501_037EA,C08501_037MA,C08501_038EA,C08501_038MA,C08501_039MA,C08501_039EA,C08501_040EA,C08501_040MA,C08501_041EA,C08501_041MA,C08501_042MA,C08501_042EA,state
0400000US01,1916877,16226,65558,4608,188174,6783,829195,9779,449719,8794,180178,6153,204053,6644,1618851,17986,50283,4067,149688,5553,700367,10350,388526,8624,155330,6112,174657,6268,192542,9035,8543,1733,28416,3171,90063,6821,38229,2951,12923,1638,14368,1842,7463,1907,602,432,522,365,3276,990,1522,711,564,283,977,543,42239,3521,4575,1500,7035,1583,15918,2286,8310,1508,2518,698,3883,945,55782,4508,1555,605,2513,771,19571,2476,13132,2300,8843,1676,10168,1412,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,352044,6246,12606,1311,37996,1950,148281,4374,86245,2711,34190,2603,32726,2459,232190,5902,7394,1186,22111,1890,99215,4232,59501,2647,22726,2057,21243,2199,46425,4348,2973,985,6385,1703,21152,2556,9916,1535,3162,890,2837,944,4244,1067,257,172,802,518,1326,562,1282,618,278,249,299,263,50380,3443,1491,452,6846,1532,21067,2458,11266,1398,5130,981,4580,915,18805,3141,491,335,1852,1045,5521,1740,4280,991,2894,904,3767,988,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2600823,20960,92691,5910,262204,7636,1165087,11891,581562,9264,233764,7332,265515,7516,1990105,19952,64612,4806,190161,7754,899187,13035,452642,9615,180754,6850,202749,7071,303210,11319,14608,2169,40164,3646,148476,7646,58704,4039,20554,2417,20704,2725,45794,4266,2289,848,8927,2282,20010,2651,8681,1616,3084,877,2803,816,110825,6695,9301,2011,17854,2701,42892,3673,22593,2884,8168,1361,10017,1788,150889,6705,1881,798,5098,1233,54522,3986,38942,3771,21204,2895,29242,3368,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1223069,12450,46180,3825,116222,5748,529050,7004,282709,5286,116522,4701,132386,4828,1003617,12336,33989,3362,88065,4993,431766,8416,237974,4443,100107,4268,111716,4499,138865,6039,8126,1561,15971,2110,70351,4216,25519,3050,9427,1755,9471,1579,5633,1628,226,204,840,596,2762,1188,1193,659,414,340,198,145,38695,4382,2721,988,7619,1418,14127,2621,7459,1369,2369,773,4400,936,36259,3465,1118,757,3727,1388,10044,1514,10564,1610,4205,962,6601,1292,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15926651,47686,439120,11678,1572660,13805,7355772,30515,3660026,19775,1375214,14608,1523859,16906,11656106,49778,258532,9289,1076880,15561,5418511,33239,2751226,22591,1031024,13124,1119933,15713,1832747,24538,80873,5261,216241,8216,875139,17208,389377,10715,137044,6642,134073,5972,818537,17719,31116,3130,107831,6332,391826,11697,161704,6329,59158,4012,66902,4056,794956,17129,53593,4483,132199,6699,357172,10860,140033,5901,49915,3286,62044,4708,824305,17515,15006,2784,39509,5318,313124,11872,217686,8034,98073,4542,140907,5582,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2417222,16499,85783,4255,234269,5950,1084109,9282,556448,6892,223983,6250,232630,7195,1827849,17445,56178,3741,169056,5053,815091,11461,430396,7494,178583,5653,178545,6178,242244,10488,12907,1993,28066,2895,119446,6916,51703,4503,14959,1855,15163,2047,70619,4737,3220,978,9455,2057,34276,3456,12870,1877,5333,1047,5465,864,121378,6627,10976,1672,23648,3342,50865,4191,19273,2093,7507,1146,9109,1348,155132,7501,2502,655,4044,1030,64431,5435,42206,3484,17601,1943,24348,2134,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1696736,11314,59886,3481,148473,4098,676836,7821,434221,5499,169767,4981,207553,5517,1366668,13478,34708,3111,104536,4664,548726,8707,364021,5839,142817,4622,171860,5255,137517,6829,8769,1361,17466,2485,59368,4418,29362,2838,10083,1503,12469,1743,59778,5478,3543,1007,8544,1773,27419,3499,11380,1829,4544,1116,4348,1137,65558,4703,10428,1380,14034,2494,21880,2779,10796,2063,3527,1177,4893,1149,67215,4129,2438,838,3893,1150,19443,2461,18662,2097,8796,1509,13983,1795,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,412806,8922,12907,1714,38539,2978,172512,5070,101880,4372,42442,3115,44526,2797,337223,8567,8815,1296,29521,2863,141529,5500,84761,4067,35092,2994,37505,2696,36609,3271,1817,734,4912,1426,17144,2206,7338,1189,3006,687,2392,598,10651,2004,450,402,988,583,5308,1372,2571,898,866,461,468,274,13561,2091,1620,682,2586,896,3856,1049,2166,745,1443,625,1890,784,14762,1986,205,176,532,361,4675,1068,5044,1207,2035,760,2271,572,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,784987,13175,7182,1562,54509,4462,386355,8877,183125,5896,71531,3792,82285,4900,348253,8747,1501,631,13811,2022,166745,7178,90925,4221,33642,3120,41629,3555,84560,5382,1226,681,4885,1396,39621,3984,22264,2569,7827,1471,8737,1336,282506,9040,2444,677,27401,3338,144385,7120,59118,2990,24732,2236,24426,2188,54798,4524,1416,710,7319,1516,30584,2914,7894,1532,3575,947,4010,1039,14870,2071,595,379,1093,642,5020,1124,2924,811,1755,724,3483,942,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7821529,28945,219043,7234,719806,13948,3329440,19076,1904449,12413,737410,12205,911381,13753,6259890,33694,150088,6083,543689,12256,2659566,22771,1560042,14209,609263,11865,737242,12402,754965,18840,35036,3139,90903,6885,355193,11197,160985,7523,51277,4181,61571,4190,158874,10822,7591,1934,26660,4636,67964,6185,30417,3251,13457,2257,12785,2095,284969,13441,18618,2637,39554,4902,120780,7788,53954,4135,22702,2308,29361,2663,362831,11267,7710,1929,19000,2761,125937,7499,99051,5940,40711,3516,70422,4293,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
