GEO_ID,C19001_001E,C19001_001M,C19001_002E,C19001_002M,C19001_003E,C19001_003M,C19001_004E,C19001_004M,C19001_005E,C19001_005M,C19001_006E,C19001_006M,C19001_007E,C19001_007M,C19001_008E,C19001_008M,C19001_009E,C19001_009M,C19001_010E,C19001_010M,C19001_011E,C19001_011M,NAME,C19001_001MA,C19001_001EA,C19001_002EA,C19001_002MA,C19001_003EA,C19001_003MA,C19001_004EA,C19001_004MA,C19001_005MA,C19001_005EA,C19001_006MA,C19001_006EA,C19001_007MA,C19001_007EA,C19001_008EA,C19001_008MA,C19001_009MA,C19001_009EA,C19001_010MA,C19001_010EA,C19001_011MA,C19001_011EA,state
0400000US01,1815152,10938,196253,8087,135182,5554,248179,7575,215998,7725,276808,8024,307976,9732,177709,7745,163908,5150,54325,3193,38814,3067,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,254610,2804,10654,1598,11818,1646,20729,2215,22768,1903,31180,2428,48616,3122,33925,3048,45846,3029,16204,2316,12870,1536,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2334050,12895,186322,7951,134213,5351,268279,8909,278838,8884,361911,9039,438466,10318,263927,8001,256047,7010,76200,4137,69847,3628,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1114902,8104,109620,5341,85729,4547,165419,6114,152778,6224,174772,5647,191106,6130,104649,4882,87209,4321,24066,2482,19554,2238,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12406475,16820,741864,13091,664711,12852,1262798,16971,1156808,18059,1614158,20435,2168573,22314,1530962,20018,1769884,20282,752779,13095,743938,12310,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1960585,9151,133792,5498,99108,5112,202054,7077,197978,7264,273976,8655,361637,8592,248333,6000,266341,7063,93692,4619,83674,3713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1358809,7109,79205,4321,59768,4016,122071,5603,111137,5451,167997,5604,230952,7345,180261,6274,212185,6781,91520,3451,103713,4383,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,328765,4178,19765,1942,15596,2037,33161,3227,31450,2731,45717,2965,64472,3134,43486,3078,47145,3184,16198,1504,11775,1269,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252388,3730,26272,2481,13898,1955,20467,2199,19415,2046,26462,2107,39682,3291,29131,2689,33049,2394,17910,1867,26102,1878,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7035068,25739,587347,10869,442863,11083,889272,15226,859410,15814,1107501,18231,1284928,20818,750571,14327,678016,14223,215741,7313,219419,7308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
