GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,NAME,C24010A_001MA,C24010A_001EA,C24010A_002MA,C24010A_002EA,C24010A_003MA,C24010A_003EA,C24010A_004MA,C24010A_004EA,C24010A_005EA,C24010A_005MA,C24010A_006MA,C24010A_006EA,C24010A_007MA,C24010A_007EA,C24010A_008MA,C24010A_008EA,C24010A_009EA,C24010A_009MA,C24010A_010MA,C24010A_010EA,C24010A_011EA,C24010A_011MA,C24010A_012MA,C24010A_012EA,C24010A_013MA,C24010A_013EA,state
0400000US01,1447905,13409,792576,9161,246483,6862,92492,5269,129448,5953,159534,6268,164619,7507,655329,9025,254401,7467,112177,5954,243630,7856,6238,1338,38883,3652,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,247992,5187,136319,3430,44539,3096,18505,2136,19268,2458,32432,2953,21575,2457,111673,3459,51138,3021,18587,2074,36985,2913,938,580,4025,1089,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2177654,18866,1161815,12267,395834,9930,191906,8934,231943,7976,185121,7910,157011,7570,1015839,11894,399846,9761,207301,8597,360822,9438,7249,1608,40621,4459,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1006904,10417,532200,7473,146312,5487,69987,4927,84893,5294,113055,5027,117953,6468,474704,6858,179491,5833,94524,5530,162150,6390,3972,1058,34567,3500,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10360967,50513,5639334,34683,2041083,22362,792264,17388,1037151,15845,965503,20484,803333,16876,4721633,28969,1931167,20544,927502,15893,1577010,20785,72386,5246,213568,8641,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2104152,16083,1113152,9816,441514,8116,140047,6193,207834,8353,185206,6931,138551,5834,991000,10685,440436,9360,185832,7364,318580,8692,9466,1617,36686,3023,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1404028,10830,727266,7608,291345,6799,100230,5630,130760,4676,108098,5096,96833,5005,676762,6908,313080,7773,118806,5014,216203,7129,4178,1051,24495,2402,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,303914,6033,154068,4006,53159,2898,23187,2501,27452,2969,30031,3049,20239,2322,149846,4205,64086,3599,27174,2461,50918,3202,1230,663,6438,1359,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,157262,3961,81470,2494,61547,2613,6370,1507,9193,1566,2870,899,1490,588,75792,2729,56173,2617,7469,1924,11643,1751,52,89,455,333,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6229809,25363,3263217,18428,1069345,18490,542571,11121,672862,17008,563750,15521,414689,11006,2966592,21832,1124473,15436,609750,14299,1089103,16631,28692,3579,114574,6349,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2664449,19003,1443239,12459,508778,10107,166904,7589,260559,8750,272937,10071,234061,7009,1221210,12047,524412,10030,199823,9004,422428,9901,10365,1770,64182,4967,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,166332,5485,92208,4089,39970,3116,14777,1848,14687,2184,16603,2377,6171,1187,74124,3097,33680,2731,13054,2068,24364,2567,693,502,2333,824,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,637109,8216,340663,5938,110525,4552,46477,3308,55630,3948,69380,3808,58651,4035,296446,5240,107915,4615,64505,3363,103248,4691,4397,906,16381,2006,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4540895,18243,2393167,15046,824179,10086,311328,10426,437561,10932,365608,9125,454491,11950,2147728,10869,884579,11383,396472,9398,732928,11910,12488,1877,121261,5760,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2548730,17360,1339261,11930,386596,7933,162006,6612,229053,6669,221330,6807,340276,8318,1209469,10733,450741,9051,249050,7814,394687,8432,9185,1543,105806,4967,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1436046,9107,741987,6049,225289,5603,80343,4510,124832,4746,133554,4527,177969,4655,694059,5743,263119,5635,148257,4475,230296,5812,6352,988,46035,3685,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1208103,9523,626262,7406,210717,5370,75354,3715,108186,4709,113939,5015,118066,5604,581841,6529,233809,5760,121789,5293,189345,5749,5662,1240,31236,2383,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1627484,13734,845356,10077,232605,7921,106622,5103,141062,5809,166222,5641,198845,7280,782128,8473,305047,7387,150728,6672,258220,6149,8141,1616,59992,3570,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1329334,11361,725947,8144,217688,7374,86456,3749,114040,4213,175912,6504,131851,5572,603387,7554,248952,6687,100370,4446,228760,6230,5846,1086,19459,2145,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,618854,6582,309088,4778,94119,4070,39157,2777,53201,2923,65476,3970,57135,3152,309766,3951,128041,4910,68492,3982,94646,3962,2879,650,15708,1664,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1755206,12037,918356,8717,419280,8558,106474,5818,148162,6049,149818,7570,94622,4955,836850,7650,420730,6442,129799,5481,256939,7373,4791,1343,24591,2344,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2688162,16356,1361706,10181,566145,9483,184670,6582,252575,6876,187261,7080,171055,6706,1326456,12862,635671,10817,237531,8048,400255,9924,6195,1341,46804,3330,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3464136,16207,1783562,11014,581935,10695,242084,8078,311962,7837,275873,7599,371708,9529,1680574,11845,622576,9224,370756,7184,567140,10141,13346,2487,106756,4447,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2411872,11035,1236673,7194,446622,7658,145028,5748,223725,6302,195009,5711,226289,6156,1175199,8841,499287,8873,235587,6701,367568,7677,9563,1212,63194,3264,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,761919,9510,416092,6073,124589,4977,48040,4386,67252,3642,90715,5206,85496,4890,345827,7740,150388,6424,52712,3348,122848,5408,2645,832,17234,2269,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2347908,12800,1201340,10370,376904,9599,156998,5763,219600,6372,214153,6674,233685,6480,1146568,7829,456691,9183,230019,7015,383904,8760,8726,1346,67228,4379,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,436148,5369,226258,3979,77083,3785,29603,2894,34749,2909,50834,3199,33989,2586,209890,3587,81144,3372,50942,3352,68022,3261,3859,971,5923,1063,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,853932,6856,442187,4572,148615,4642,51283,2987,75999,3416,81133,4410,85157,3818,411745,4455,158305,4640,86238,3861,139154,4226,3263,683,24785,2186,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
