GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001EA,B16005A_001MA,B16005A_002MA,B16005A_002EA,B16005A_003EA,B16005A_003MA,B16005A_004EA,B16005A_004MA,B16005A_005MA,B16005A_005EA,B16005A_006EA,B16005A_006MA,B16005A_007MA,B16005A_007EA,B16005A_008EA,B16005A_008MA,B16005A_009EA,B16005A_009MA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,state
0400000US01,3136887,5954,3053076,6146,2991277,7388,61799,5281,50134,4884,11665,1935,83811,6624,15315,2037,68496,6078,18231,2673,50265,5511,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,451244,2384,434045,3319,413759,4157,20286,2288,18186,2136,2100,696,17199,2910,5190,1297,12009,2472,6195,1676,5814,1753,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4767756,22404,4203771,18440,3671358,20215,532413,15701,448019,14674,84394,6361,563985,18908,92518,5773,471467,16333,171749,10355,299718,12485,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2152976,5847,2085549,5906,2033753,6190,51796,4334,42228,3933,9568,2062,67427,5390,13029,2362,54398,5375,17174,2635,37224,4569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21894680,64294,17436319,55648,14128788,52075,3307531,33794,2752969,31664,554562,15367,4458361,47118,526770,16025,3931591,46435,1316353,22444,2615238,41659,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3945707,15386,3672278,15843,3414820,16731,257458,9339,212402,8282,45056,3934,273429,10874,56469,4332,216960,10526,82955,5253,134005,8350,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2662160,9528,2419183,11516,2205480,12827,213703,7664,165755,6406,47948,3447,242977,10732,52194,3589,190783,9892,87113,4917,103670,7704,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,602803,4213,572927,3331,542022,3601,30905,3884,23695,3064,7210,1904,29876,3966,7333,1766,22543,3605,8364,1845,14179,3094,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,232565,3605,195028,3068,175985,2924,19043,1926,16926,2152,2117,771,37537,3683,18705,3521,18832,2529,13027,1910,5805,1594,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13706369,29930,11325621,33540,9855949,28112,1469672,25812,1210222,24890,259450,10731,2380748,27860,319167,12242,2061581,27126,803240,18952,1258341,20871,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
