GEO_ID,B23003_001E,B23003_001M,B23003_002E,B23003_002M,B23003_003E,B23003_003M,B23003_004E,B23003_004M,B23003_005E,B23003_005M,B23003_006E,B23003_006M,B23003_007E,B23003_007M,B23003_008E,B23003_008M,B23003_009E,B23003_009M,B23003_010E,B23003_010M,B23003_011E,B23003_011M,B23003_012E,B23003_012M,B23003_013E,B23003_013M,B23003_014E,B23003_014M,B23003_015E,B23003_015M,B23003_016E,B23003_016M,B23003_017E,B23003_017M,B23003_018E,B23003_018M,B23003_019E,B23003_019M,B23003_020E,B23003_020M,B23003_021E,B23003_021M,B23003_022E,B23003_022M,B23003_023E,B23003_023M,B23003_024E,B23003_024M,B23003_025E,B23003_025M,B23003_026E,B23003_026M,B23003_027E,B23003_027M,B23003_028E,B23003_028M,B23003_029E,B23003_029M,B23003_030E,B23003_030M,NAME,B23003_001EA,B23003_001MA,B23003_002MA,B23003_002EA,B23003_003EA,B23003_003MA,B23003_004EA,B23003_004MA,B23003_005MA,B23003_005EA,B23003_006MA,B23003_006EA,B23003_007EA,B23003_007MA,B23003_008EA,B23003_008MA,B23003_009EA,B23003_009MA,B23003_010EA,B23003_010MA,B23003_011EA,B23003_011MA,B23003_012MA,B23003_012EA,B23003_013EA,B23003_013MA,B23003_014EA,B23003_014MA,B23003_015EA,B23003_015MA,B23003_016EA,B23003_016MA,B23003_017EA,B23003_017MA,B23003_018EA,B23003_018MA,B23003_019MA,B23003_019EA,B23003_020MA,B23003_020EA,B23003_021EA,B23003_021MA,B23003_022MA,B23003_022EA,B23003_023MA,B23003_023EA,B23003_024MA,B23003_024EA,B23003_025MA,B23003_025EA,B23003_026EA,B23003_026MA,B23003_027EA,B23003_027MA,B23003_028EA,B23003_028MA,B23003_029MA,B23003_029EA,B23003_030MA,B23003_030EA,state
0400000US01,1435858,5301,531435,8522,128702,5587,89020,4677,241,181,88779,4667,76324,4300,12455,1647,39682,3362,95831,4105,64620,3792,98,139,64522,3778,53961,3538,10561,1682,31211,2742,306902,6687,230996,6307,384,222,230612,6310,206259,5725,24353,3043,75906,4413,904423,9498,590624,10099,935,477,589689,10016,530869,10719,58820,4585,313799,8457,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,210535,1236,83458,3074,22328,2393,14091,1696,209,279,13882,1656,12053,1576,1829,652,8237,1553,17017,1848,11072,1728,192,225,10880,1730,9747,1687,1133,444,5945,1083,44113,2300,34209,2350,295,296,33914,2359,32372,2315,1542,571,9904,1492,127077,3132,95680,3311,517,333,95163,3270,88021,3256,7142,1336,31397,2861,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1838356,3786,687466,11067,161509,7595,102605,5395,342,285,102263,5357,89547,5209,12716,1904,58904,4687,160471,6522,97749,5554,24,40,97725,5558,86302,5227,11423,2010,62722,4196,365486,8574,275697,7912,352,274,275345,7896,248959,8104,26386,2575,89789,5917,1150890,11266,804184,13085,1147,608,803037,12985,726045,12419,76992,4798,346706,9772,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,846416,6765,315959,7828,74282,4440,54760,3695,21,38,54739,3699,47896,3454,6843,1256,19522,2220,67937,4657,46338,4242,65,90,46273,4230,40126,3709,6147,1558,21599,2507,173740,6411,133434,6036,144,157,133290,6008,123138,5780,10152,1709,40306,2798,530457,5895,361658,6789,304,334,361354,6744,334603,6833,26751,2717,168799,6193,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11149669,9537,4211567,25286,964342,14414,627351,11485,1963,778,625388,11537,539403,11272,85985,5429,336991,9822,926746,12954,563305,13125,986,489,562319,13127,479073,11883,83246,5216,363441,9359,2320479,20659,1706421,20330,703,440,1705718,20407,1518445,18851,187273,7548,614058,12666,6938102,26036,5002957,29420,6373,1122,4996584,29193,4446395,29363,550189,11763,1935145,22809,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1529198,5140,569093,9709,145332,6097,101832,4983,846,528,100986,4981,89847,4940,11139,1890,43500,3839,120395,5312,77244,4338,38,64,77206,4341,69730,4161,7476,1668,43151,2852,303366,6622,237656,6158,593,389,237063,6164,219353,5702,17710,2116,65710,4542,960105,9800,741223,9681,1637,630,739586,9726,683806,11056,55780,3567,218882,6690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1076706,3046,409922,7395,94524,5159,68746,4468,0,281,68746,4468,61947,4122,6799,1484,25778,2561,72976,3955,49306,3382,0,281,49306,3382,43338,3372,5968,1582,23670,2254,242422,5850,200236,5444,152,190,200084,5410,182779,5127,17305,1879,42186,2974,666784,7611,528912,8887,152,151,528760,8864,479370,8944,49390,3852,137872,5191,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,270444,1966,98061,3872,20859,2437,17368,2381,144,228,17224,2333,15876,2293,1348,687,3491,933,19048,2311,13800,2156,0,265,13800,2156,12144,2026,1656,659,5248,1280,58154,3201,46438,3079,56,91,46382,3071,43538,3048,2844,954,11716,1981,172383,4079,126955,4645,188,258,126767,4601,116804,4633,9963,1625,45428,3029,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,204240,2287,44530,2731,16260,2038,12735,1968,88,102,12647,1958,10722,1786,1925,732,3525,891,7705,1382,5463,1145,51,83,5412,1155,3866,1036,1546,770,2242,748,20565,1979,16792,1866,0,292,16792,1866,14605,1746,2187,654,3773,894,159710,3395,126860,4143,213,186,126647,4161,114798,3897,11849,1966,32850,2993,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5557158,8081,1866201,17801,433026,12227,314536,10188,1250,658,313286,10224,265324,8649,47962,4021,118490,6506,340733,9249,229933,8071,265,237,229668,8109,195548,7685,34120,2910,110800,5619,1092442,13590,863348,13404,972,456,862376,13485,770792,14004,91584,4893,229094,9043,3690957,19026,2639193,20360,4080,1228,2635113,20267,2338460,20858,296653,10730,1051764,16916,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
