GEO_ID,C05003I_001E,C05003I_001M,C05003I_002E,C05003I_002M,C05003I_003E,C05003I_003M,C05003I_004E,C05003I_004M,C05003I_005E,C05003I_005M,C05003I_006E,C05003I_006M,C05003I_007E,C05003I_007M,C05003I_008E,C05003I_008M,C05003I_009E,C05003I_009M,C05003I_010E,C05003I_010M,C05003I_011E,C05003I_011M,C05003I_012E,C05003I_012M,C05003I_013E,C05003I_013M,C05003I_014E,C05003I_014M,C05003I_015E,C05003I_015M,NAME,C05003I_001MA,C05003I_001EA,C05003I_002EA,C05003I_002MA,C05003I_003EA,C05003I_003MA,C05003I_004EA,C05003I_004MA,C05003I_005MA,C05003I_005EA,C05003I_006EA,C05003I_006MA,C05003I_007MA,C05003I_007EA,C05003I_008EA,C05003I_008MA,C05003I_009EA,C05003I_009MA,C05003I_010EA,C05003I_010MA,C05003I_011MA,C05003I_011EA,C05003I_012MA,C05003I_012EA,C05003I_013EA,C05003I_013MA,C05003I_014EA,C05003I_014MA,C05003I_015EA,C05003I_015MA,state
0400000US01,182795,2389,98816,3262,33094,2595,27569,2465,5525,1819,65722,1744,18500,2344,47222,2706,83979,3457,34121,2804,29280,2817,4841,1560,49858,1533,16093,2237,33765,2017,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40705,1527,21763,1656,7587,700,7487,692,100,139,14176,1561,8554,1228,5622,1540,18942,866,7345,637,7301,630,44,64,11597,467,8810,820,2787,802,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1908914,-555555555,958177,1355,360566,1278,338541,2966,22025,2774,597611,392,338499,7105,259112,7102,950737,1354,347995,1280,325172,3693,22823,3418,602742,387,342878,7481,259864,7494,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182674,1776,97770,2638,38161,1932,32678,1791,5483,1293,59609,2087,18523,2742,41086,3162,84904,2680,34782,1986,30824,2193,3958,1015,50122,1898,16590,2208,33532,1801,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14089411,-555555555,7120073,1924,2439899,1576,2272302,8554,167597,8229,4680174,1284,2093928,21525,2586246,21770,6969338,1925,2337711,1578,2174865,7661,162846,7658,4631627,1285,2164591,21705,2467036,21651,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1047700,-555555555,534464,2201,194910,2003,182795,2668,12115,1959,339554,1441,204238,5979,135316,5815,513236,2204,182585,1981,171899,2584,10686,1888,330651,1384,220360,4816,110291,5039,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481901,-555555555,239045,932,81052,655,76079,1293,4973,1159,157993,713,93051,4703,64942,4674,242856,932,79966,655,75464,1171,4502,926,162890,714,108046,4134,54844,4108,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,73842,-555555555,38170,799,14190,775,12571,1075,1619,820,23980,324,10084,1433,13896,1455,35672,799,13170,775,11380,998,1790,624,22502,325,10710,1145,11792,1223,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55256,-555555555,28823,477,6535,477,5258,828,1277,667,22288,-555555555,7629,1343,14659,1342,26433,477,5723,477,5380,551,343,349,20710,-555555555,8376,1599,12334,1599,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,4253197,-555555555,2103194,4246,569715,3095,496789,6103,72926,5186,1533479,4443,585204,11280,948275,11808,2150003,4244,540099,3610,477515,5644,62584,4798,1609904,1631,614059,10970,995845,11097,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,856924,750,459242,4878,162140,3448,139292,3887,22848,2745,297102,3081,72537,4900,224565,5348,397682,4823,154624,3836,135773,4764,18851,2843,243058,2817,78203,4325,164855,4404,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,121001,-555555555,61039,655,23035,654,22766,771,269,321,38004,-555555555,31492,1509,6512,1508,59962,655,22117,655,21938,685,179,179,37845,-555555555,31512,1423,6333,1423,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,15
0400000US16,177326,-555555555,93655,1827,38371,1579,36005,1657,2366,816,55284,1052,28531,2370,26753,2385,83671,1827,35069,1462,32320,1655,2749,1055,48602,1137,26884,1947,21718,1963,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2037851,1698,1050982,2229,372093,1824,345858,4105,26235,3657,678889,1815,271120,9022,407769,8664,986869,2163,354434,1669,327321,3226,27113,3097,632435,1693,275585,6852,356850,6908,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,389550,1140,204824,2151,78304,1540,70652,2191,7652,1676,126520,1591,58136,3352,68384,3315,184726,2118,75284,1493,66738,2133,8546,1389,109442,1507,56665,2990,52777,2860,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,151736,1047,79320,1755,31773,1418,29371,1645,2402,908,47547,1417,17135,1959,30412,1641,72416,1808,30369,1474,26658,1794,3711,1105,42047,1093,20752,1611,21295,1500,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,301140,561,156805,2066,63091,2069,57993,2278,5098,1366,93714,1256,41900,3001,51814,2979,144335,1975,58948,1881,54908,2156,4040,1204,85387,1166,44739,2812,40648,2585,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,131063,2990,74817,3026,27599,2046,23948,2333,3651,1087,47218,2579,15826,2059,31392,2256,56246,3014,21738,1918,19523,1906,2215,753,34508,2075,14858,2110,19650,1549,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
