GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001EA,B25055_001MA,B25055_002MA,B25055_002EA,B25055_003EA,B25055_003MA,B25055_004MA,B25055_004EA,B25055_005MA,B25055_005EA,B25055_006EA,B25055_006MA,B25055_007EA,B25055_007MA,B25055_008EA,B25055_008MA,B25055_009MA,B25055_009EA,B25055_010MA,B25055_010EA,B25055_011MA,B25055_011EA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US01,481342,9568,373288,9155,1621,687,371667,9150,55701,3584,241,268,55460,3521,27375,1977,170,248,27205,1956,24978,2285,5634,1083,19344,2029,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,80747,3423,65608,2933,112,135,65496,2938,9499,1255,208,168,9291,1249,3285,791,0,246,3285,791,2355,753,645,415,1710,679,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,771464,14024,605188,13163,2132,704,603056,13113,86739,4674,1044,661,85695,4736,40696,3463,630,365,40066,3437,38841,2971,13832,1650,25009,2301,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,324621,7955,251755,7430,697,558,251058,7329,36861,2742,321,299,36540,2768,16730,1873,305,269,16425,1856,19275,1665,5263,1158,14012,1338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5333141,25815,4099972,22560,14014,2129,4085958,22536,630689,11715,5278,1487,625411,11780,308174,7840,6877,1289,301297,7750,294306,5948,59927,3880,234379,6773,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,641323,11724,514197,10327,1840,764,512357,10270,64035,3745,628,427,63407,3666,28338,2223,514,309,27824,2228,34753,2216,11018,1592,23735,1940,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,418277,8909,300562,6879,1344,625,299218,6884,51368,3389,191,184,51177,3377,29843,2221,714,351,29129,2142,36504,2656,8200,1394,28304,2329,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,84447,4057,65196,3603,125,107,65071,3601,8418,1379,79,101,8339,1369,5736,894,0,265,5736,894,5097,945,1073,447,4024,941,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,140494,4968,105998,4699,348,351,105650,4658,16726,1829,142,138,16584,1806,9582,1126,360,231,9222,1138,8188,1138,1232,638,6956,1109,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2122474,20235,1586533,20396,5275,1352,1581258,20234,258149,7756,1582,729,256567,7616,131702,4987,2606,902,129096,5068,146090,5114,43765,3402,102325,4436,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
