GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002MA,B20017A_002EA,B20017A_003EA,B20017A_003MA,B20017A_004MA,B20017A_004EA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007MA,B20017A_007EA,state
0400000US01,28186,666,34961,944,45900,615,11283,350,22187,359,32996,1241,8691,368,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39171,2021,47971,3198,61011,725,20543,1043,30147,1523,45340,1727,12420,915,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29670,578,32528,914,45615,545,11206,307,25190,381,36703,349,10305,309,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25513,342,31025,405,40521,421,10294,411,20643,392,30330,541,8579,380,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31505,151,36678,268,52266,240,13278,282,26488,241,42492,474,11508,106,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31535,222,37065,453,51507,460,11503,323,26437,342,40725,430,10666,258,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39836,853,48409,1493,62892,1402,11980,412,31406,459,48217,1280,11911,341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32952,1568,39410,2462,50817,990,11875,895,28780,2032,40579,1107,9875,645,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52477,3997,61500,2204,77304,4164,18766,4534,48124,3866,65796,3020,11768,1501,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,27241,151,31193,194,42224,238,11332,170,24273,338,35203,289,10539,139,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30804,199,36720,323,48976,882,11329,291,25103,461,37076,425,9546,260,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,34618,2313,41143,980,51870,2213,17126,4029,28463,2286,40665,1014,11862,1026,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23593,613,29252,1097,41596,678,10359,488,18906,877,30765,610,8876,467,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31591,159,39725,659,52039,234,11971,208,25620,235,40041,451,10515,149,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27446,288,34019,672,45642,429,10373,293,21707,242,32691,613,9535,283,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27712,471,33122,905,43102,808,8885,388,22452,359,33808,631,8649,317,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28164,617,34318,1164,45209,859,10092,476,22290,392,32698,906,8806,371,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25962,359,31154,377,41764,403,10120,408,21491,290,31914,301,9092,336,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,31427,318,40465,458,50653,403,12188,519,23539,573,33882,1249,9232,406,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26903,440,31670,522,43792,1987,11333,510,22848,728,33993,1371,10482,443,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,41495,323,50386,490,62322,1002,11716,342,33500,1302,49835,890,11676,302,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,37254,306,44659,1236,60360,429,11738,295,31152,345,47338,593,12068,260,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,26868,219,32880,653,50125,338,10318,233,21576,230,36630,390,9548,223,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,31765,195,38068,645,50792,274,11254,289,26585,360,40222,303,10860,178,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,29166,993,34364,1594,42404,1088,11000,536,23595,978,31983,502,8839,651,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,27470,315,32187,306,44112,859,10466,303,22797,513,33455,648,9271,283,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,24153,787,30317,766,41516,623,10332,568,20066,702,30223,832,9512,630,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,27173,332,32438,673,42432,579,9527,659,21981,324,32580,639,8818,454,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
