GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001EA,C24080_001MA,C24080_002MA,C24080_002EA,C24080_003EA,C24080_003MA,C24080_004EA,C24080_004MA,C24080_005MA,C24080_005EA,C24080_006MA,C24080_006EA,C24080_007MA,C24080_007EA,C24080_008EA,C24080_008MA,C24080_009EA,C24080_009MA,C24080_010EA,C24080_010MA,C24080_011MA,C24080_011EA,C24080_012MA,C24080_012EA,C24080_013MA,C24080_013EA,C24080_014EA,C24080_014MA,C24080_015MA,C24080_015EA,C24080_016EA,C24080_016MA,C24080_017MA,C24080_017EA,C24080_018EA,C24080_018MA,C24080_019MA,C24080_019EA,state
0400000US01,1978825,16252,1036241,10657,769713,10485,725389,10148,44324,3447,43555,3088,64330,4347,43085,3587,39173,3373,76385,4841,942584,11900,630538,10657,614567,10861,15971,1917,85671,4680,85215,5247,71975,3981,32971,2581,36214,2558,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,337683,5648,181330,3279,112515,4040,105200,4033,7315,1367,10286,1445,13364,1661,15060,1639,17610,2265,12495,1550,156353,4071,78941,4179,75674,4174,3267,912,22544,2290,17849,1896,17238,1988,10938,1650,8843,1565,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2655557,20625,1404582,12444,1053460,14229,986666,13794,66794,4252,60851,4946,94875,4998,52296,3918,46613,4459,96487,5358,1250975,14244,844671,13986,813186,13858,31485,3620,113583,5412,118741,4850,73006,4455,33984,2863,66990,4500,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1245328,11343,644331,7221,474174,8243,445589,8939,28585,2377,29990,2747,31079,2770,34983,2900,19380,2165,54725,3955,600997,8480,384216,7897,372305,7857,11911,1695,57158,3596,46519,3665,71606,4173,14064,1927,27434,2624,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16243172,45906,8746213,31419,6472233,29079,6083828,28026,388405,10113,402979,11851,538146,12175,289968,12022,218225,7119,824662,17643,7496959,32010,4881722,32021,4715582,33021,166140,6365,678079,12568,815908,13877,402574,10351,152601,7127,566075,12630,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2446674,15959,1297984,10294,966373,11751,879723,11506,86650,4432,64049,4206,75642,4201,44055,3780,47063,3457,100802,4679,1148690,11716,752609,9381,713242,9477,39367,2776,118284,5578,111050,4893,55577,4052,32007,2878,79163,4497,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1736446,9985,889961,7367,654268,8483,609246,8376,45022,2992,55406,3474,52144,3780,34640,2789,20043,2422,73460,4326,846485,7589,552240,10113,536469,10197,15771,1738,115984,6097,85543,4422,40485,3064,7893,1365,44340,3721,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,411120,6925,204060,4394,156536,5041,145716,4737,10820,1688,11825,1634,7100,1161,12827,1854,5792,1245,9980,1606,207060,5135,139152,4997,135757,5050,3395,739,25511,2673,9937,1453,22345,2223,3525,952,6590,1119,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,299127,4978,144795,3324,80115,3819,75977,3628,4138,1083,20349,2140,7026,1463,2668,826,26828,2856,7809,1131,154332,3834,67951,3328,65878,3330,2073,767,33881,2757,11210,1411,3249,941,31603,2715,6438,1133,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7974945,26843,4094185,21061,3154543,21224,2819887,21481,334656,8873,172530,8094,261530,7341,108283,5878,111524,5095,285775,9668,3880760,23130,2756850,23809,2619777,22891,137073,6531,332310,9749,368179,10749,146451,7698,77137,4948,199833,8658,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
