GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002EA,B19126_002MA,B19126_003MA,B19126_003EA,B19126_004EA,B19126_004MA,B19126_005EA,B19126_005MA,B19126_006MA,B19126_006EA,B19126_007EA,B19126_007MA,B19126_008EA,B19126_008MA,B19126_009EA,B19126_009MA,B19126_010EA,B19126_010MA,B19126_011MA,B19126_011EA,state
0400000US01,50429,708,63353,953,70000,1744,59994,1109,26038,846,34816,2253,31349,1541,38053,2289,23620,931,17805,1138,32263,1362,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76962,2545,91194,2490,91321,3428,90978,4881,39755,2755,56961,7347,51216,4637,71896,7808,33086,2089,27034,4826,42374,4580,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55353,769,65580,909,65989,1483,65309,1062,32074,873,39556,2009,36616,2524,42000,3196,29431,1239,25015,1244,38867,2461,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47049,745,57482,1139,61386,1741,55998,1085,25268,967,32146,1706,27516,2647,38342,2780,23218,813,18260,1022,32362,1430,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,65481,394,80004,511,78628,1011,80816,594,38861,531,46596,979,36689,975,54763,1470,35844,504,26711,594,48008,1025,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67800,882,79735,940,81568,1079,77520,1151,35596,1041,45349,3853,40060,3305,53826,4618,31546,1075,24990,1354,43310,2172,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,81246,884,96805,1231,102853,2152,91341,1836,41877,1063,55812,3054,45752,7919,65420,4433,38389,1377,31460,2751,49346,3303,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,68746,2459,81093,1439,87143,3478,77084,2934,37294,3064,47379,5720,41075,8932,50775,3982,35283,2486,30507,3986,43454,4581,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,77514,6098,133338,7551,151153,10170,117954,12930,37244,4897,46670,10944,43456,20996,50334,8860,33485,6214,22934,5107,51451,7743,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53093,410,63775,511,69549,1417,61139,474,31459,444,38992,1486,32230,1711,43850,2417,29520,692,24095,712,37389,907,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55209,574,68770,851,72248,1038,65975,823,29119,763,35732,1481,31794,1774,39378,3300,26849,566,22065,577,34784,1286,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,76134,1551,84510,2298,87596,3217,82323,2055,49251,2868,65860,6860,46196,6624,74025,5831,44253,2550,30006,2923,55921,6246,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52342,855,59169,1815,61155,1830,57728,1917,29526,1850,39984,2941,32831,5430,45112,4166,26608,1469,23359,2283,35861,4349,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
