GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001EA,B16005H_001MA,B16005H_002EA,B16005H_002MA,B16005H_003EA,B16005H_003MA,B16005H_004EA,B16005H_004MA,B16005H_005MA,B16005H_005EA,B16005H_006MA,B16005H_006EA,B16005H_007EA,B16005H_007MA,B16005H_008MA,B16005H_008EA,B16005H_009EA,B16005H_009MA,B16005H_010MA,B16005H_010EA,B16005H_011MA,B16005H_011EA,state
0400000US01,3033117,1138,3006741,3883,2967864,5674,38877,3768,34158,3483,4719,983,26376,3564,12488,1786,13888,2903,9722,2135,4166,1781,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,429873,838,417649,2430,401403,3360,16246,2135,14736,2052,1510,555,12224,2355,5110,1295,7114,1863,5136,1508,1978,848,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3523867,1711,3379643,8212,3278828,10710,100815,6117,86689,5473,14126,2241,144224,7913,73432,4656,70792,5730,45467,3690,25325,3761,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2053467,1661,2035419,3325,2008940,4770,26479,2924,22000,2784,4479,1153,18048,3023,9372,1674,8676,2418,4858,1495,3818,1716,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14306180,6777,12975091,27374,12345287,30679,629804,13525,559639,13131,70165,4042,1331089,26936,424336,13521,906753,24370,508639,17051,398114,13844,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3337238,2546,3229708,7632,3134739,9476,94969,5061,82966,4729,12003,1402,107530,7145,48676,3820,58854,5691,37917,3591,20937,3497,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2430870,3561,2252249,8285,2148074,11217,104175,5625,91230,5224,12945,1619,178621,7928,48729,3273,129892,7521,67387,4373,62505,5111,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,560255,342,549500,1550,533533,3211,15967,2836,13514,2405,2453,982,10755,1528,5334,1152,5421,1211,3999,1116,1422,624,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,202395,368,182680,2574,170325,2650,12355,1590,10763,1667,1592,656,19715,2540,8624,1850,11091,1849,8935,1650,2156,857,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10424013,9175,9804706,18497,9464185,23456,340521,13128,294454,12229,46067,3712,619307,16378,250603,10190,368704,13998,220878,9258,147826,9534,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5117409,2433,4982350,8259,4888910,10931,93440,6038,80310,5677,13130,1964,135059,8200,51471,4053,83588,7338,54435,4616,29153,4689,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,296628,972,275055,3013,259454,3912,15601,2330,12989,2301,2612,938,21573,2811,11219,2110,10354,1916,8077,1782,2277,857,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1228861,456,1209608,3204,1182257,4582,27351,2756,23268,2621,4083,978,19253,3182,10161,1768,9092,2507,6402,2110,2690,1040,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7750843,1830,7280637,12797,7013482,21042,267155,12741,230287,11834,36868,3671,470206,12850,91089,5307,379117,12246,172879,6519,206238,9426,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4983293,2290,4923397,5164,4799311,10235,124086,7982,97655,7131,26431,3668,59896,4740,24986,2303,34910,4288,22010,3073,12900,2505,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2542581,2309,2510496,4782,2461149,5704,49347,3960,40057,3410,9290,1491,32085,4044,10747,1474,21338,3519,12547,2135,8791,2271,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2100264,921,2070635,4816,2033782,6596,36853,3276,31416,3451,5437,1074,29629,4707,11244,1907,18385,3798,11815,2150,6570,2454,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3536137,1609,3499989,4553,3450865,6622,49124,4803,36544,4105,12580,2197,36148,4333,13590,1935,22558,3884,12760,2409,9798,2426,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2581034,1420,2554605,3129,2409801,8103,144804,7134,124475,6724,20329,2066,26429,2769,11809,1800,14620,2306,10149,1955,4471,1078,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1192971,226,1168716,2513,1117303,4619,51413,3735,42573,3626,8840,1616,24255,2501,13289,1502,10966,1952,7263,1495,3703,1105,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3004667,2012,2874370,6629,2779418,9374,94952,6212,81614,5981,13338,2125,130297,6378,44351,3742,85946,6003,55895,4167,30051,3348,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4772648,4679,4414522,13140,4219325,15410,195197,6654,172228,6706,22969,2430,358126,12622,99251,6071,258875,11644,132307,6869,126568,7986,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7166112,2601,6905442,9850,6723660,12736,181782,7185,155484,7002,26298,2396,260670,9761,83581,4500,177089,9872,90460,5587,86629,6368,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4164819,1328,4098126,5305,4001058,7471,97068,4821,79457,4209,17611,1829,66693,5344,30023,2689,36670,4774,23266,2939,13404,2930,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1624131,2287,1613371,3308,1593473,4203,19898,2631,14422,2473,5476,1310,10760,2028,6057,1516,4703,1433,2850,919,1853,734,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4572155,1921,4501447,6015,4412497,8489,88950,5598,74017,4717,14933,2112,70708,5830,25511,2832,45197,5106,23913,3232,21284,3402,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,821817,538,809665,1924,790155,3754,19510,2862,16188,2519,3322,983,12152,1764,7841,1486,4311,1176,3214,931,1097,508,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1413410,1309,1396310,3522,1368721,4337,27589,2116,22970,2038,4619,975,17100,3195,6121,1089,10979,2957,6630,2107,4349,1356,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1390912,1149,1320590,6622,1281980,7583,38610,3580,32628,3242,5982,1295,70322,6333,32149,3451,38173,5517,24079,3954,14094,2866,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1154613,1649,1124087,3574,1088744,4724,35343,3087,30124,2852,5219,1009,30526,3040,15804,1767,14722,2252,10403,1733,4319,1535,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4957066,4581,4526070,14063,4287333,18724,238737,10380,209467,10030,29270,2274,430996,14282,114502,5933,316494,14161,158104,8186,158390,9283,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,800286,1260,774720,4176,733791,5999,40929,4014,36410,3731,4519,1462,25566,3808,11526,1740,14040,3051,10781,2465,3259,1197,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10727530,4263,9730561,19465,9116528,24736,614033,15233,503849,13154,110184,6007,996969,19154,245741,8926,751228,16830,368551,10499,382677,12570,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5902789,4827,5783565,9244,5683974,11286,99591,5644,81088,5151,18503,2443,119224,7703,52155,3959,67069,6448,46398,5217,20671,2962,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,564864,265,558686,1483,542389,2522,16297,1884,14145,1695,2152,587,6178,1459,3165,928,3013,1064,2060,742,953,570,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,8838181,3463,8667457,8774,8446182,14507,221275,10378,171849,8182,49426,4986,170724,7929,65120,4584,105604,6851,60418,4485,45186,4382,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2440401,917,2413248,3382,2381052,4480,32196,2801,27945,2528,4251,879,27153,3289,14979,2591,12174,2088,8693,1455,3481,1092,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2856875,3061,2766863,7475,2695289,9651,71574,4717,61759,4537,9815,1666,90012,6522,39639,3458,50373,5527,28239,3613,22134,3167,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9596424,2372,9373039,8713,9100303,14382,272736,9831,221203,8479,51533,3956,223385,8027,74225,4882,149160,7007,82906,5177,66254,4412,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,769943,1990,732618,4274,699643,5008,32975,3132,29376,2910,3599,903,37325,4024,11232,2053,26093,3406,14312,2222,11781,1979,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2811142,922,2758869,4403,2714726,6295,44143,4484,37321,4153,6822,1224,52273,4326,24111,2910,28162,3544,18757,2594,9405,1889,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,648155,1304,642507,2135,623957,3176,18550,2072,15708,1858,2842,777,5648,1522,2726,980,2922,1078,2142,943,780,521,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4543076,1718,4485089,5801,4424898,8280,60191,5181,50309,4614,9882,1789,57987,5482,24672,3250,33315,4341,21449,2757,11866,2718,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,10803777,5488,10481160,13579,10146603,16886,334557,10740,290394,10918,44163,3271,322617,12580,134282,6591,188335,10419,122996,7214,65339,6702,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2032511,1232,1992121,4221,1930016,6534,62105,4713,54363,4193,7742,1369,40390,4175,20296,2623,20094,3331,13241,2235,6853,1721,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,561463,583,545356,2267,531008,2972,14348,1695,11872,1463,2476,581,16107,2222,8922,1356,7185,1733,4489,874,2696,1317,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
