GEO_ID,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,NAME,B11003_001MA,B11003_001EA,B11003_002MA,B11003_002EA,B11003_003EA,B11003_003MA,B11003_004MA,B11003_004EA,B11003_005MA,B11003_005EA,B11003_006EA,B11003_006MA,B11003_007EA,B11003_007MA,B11003_008EA,B11003_008MA,B11003_009EA,B11003_009MA,B11003_010EA,B11003_010MA,B11003_011MA,B11003_011EA,B11003_012EA,B11003_012MA,B11003_013EA,B11003_013MA,B11003_014MA,B11003_014EA,B11003_015EA,B11003_015MA,B11003_016MA,B11003_016EA,B11003_017EA,B11003_017MA,B11003_018MA,B11003_018EA,B11003_019EA,B11003_019MA,B11003_020EA,B11003_020MA,state
0400000US01,1227884,13886,868946,13303,320947,7635,71394,3670,63607,3305,185946,5605,547999,9173,358938,9106,79308,5147,36351,3176,9780,1749,4308,1204,22263,2449,42957,4022,279630,7106,154094,6179,30696,3049,25155,2461,98243,4760,125536,4797,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170859,4484,127969,4713,61175,3742,15957,2339,13863,2005,31355,2226,66794,3270,42890,2951,14211,1995,8547,1517,1496,588,1568,652,5483,1357,5664,1148,28679,2389,19203,2084,4911,1114,2617,826,11675,1736,9476,1341,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1548428,12546,1134229,11959,441343,9068,98711,5338,106799,5619,235833,7508,692886,9457,414199,10751,123772,6438,65408,4527,17563,2714,10968,1996,36877,3012,58364,4528,290427,9668,173873,7791,34608,3462,34519,3444,104746,6132,116554,4660,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,761361,9102,554946,8664,202668,5426,43356,3724,45623,3423,113689,4281,352278,6067,206415,6997,51620,3660,24997,2494,6578,1432,4249,1145,14170,1809,26623,2695,154795,5586,91101,4647,21565,2245,17683,2598,51853,3803,63694,3913,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8507856,27357,6082566,27431,2858983,22379,612508,13342,660247,12171,1586228,18000,3223583,19257,2425290,23938,736626,13582,337300,9217,90550,5377,63034,4316,183716,7246,399326,11128,1688664,20560,907160,17380,165938,6347,180794,7904,560428,14982,781504,13896,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1258885,11852,959624,11391,411308,8872,103418,5316,92600,4536,215290,5966,548316,8607,299261,7662,90518,5464,49172,3838,12572,2125,6048,1357,30552,3280,41346,3391,208743,6588,126774,4852,27089,3007,21926,2621,77759,3849,81969,4362,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,890770,9681,656629,8304,280390,5890,63159,3404,51487,3507,165744,4862,376239,6846,234141,7197,58325,4281,25390,2417,5537,1452,3578,1135,16275,1884,32935,3232,175816,7052,102183,5947,17460,2608,16950,2394,67773,4679,73633,4340,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221233,4976,161575,5137,62148,3463,12901,1690,11924,1955,37323,2408,99427,3822,59658,3401,14124,1989,7457,1567,2081,953,1135,455,4241,1006,6667,1263,45534,3090,26855,2528,4812,1168,5232,1327,16811,2355,18679,1908,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101519,4051,57275,2762,20732,1762,9546,1384,3548,980,7638,1293,36543,2572,44244,2925,8740,1359,3582,862,822,405,543,435,2217,672,5158,1103,35504,2451,17749,1770,4253,1074,2802,885,10694,1404,17755,1799,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4556930,26451,3307884,24015,1141058,16403,252149,7457,221581,6941,667328,13188,2166826,17861,1249046,18326,313305,10773,140444,7156,38880,3416,19530,2672,82034,4799,172861,7341,935741,13120,508724,11409,91088,5853,84981,4717,332655,8883,427017,10396,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2385969,17984,1688896,17061,727342,13167,159389,6922,161351,5954,406602,10556,961554,13504,697073,13348,161001,6016,74357,4712,22416,2750,11507,2112,40434,3485,86644,4705,536072,11910,307560,8987,59870,4830,58217,4087,189473,6458,228512,6587,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
