GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001EA,C15002B_001MA,C15002B_002EA,C15002B_002MA,C15002B_003EA,C15002B_003MA,C15002B_004EA,C15002B_004MA,C15002B_005MA,C15002B_005EA,C15002B_006EA,C15002B_006MA,C15002B_007EA,C15002B_007MA,C15002B_008EA,C15002B_008MA,C15002B_009EA,C15002B_009MA,C15002B_010MA,C15002B_010EA,C15002B_011EA,C15002B_011MA,state
0400000US01,759609,3838,335481,2838,79929,4187,130625,5139,84842,5229,40085,3040,424128,2194,89739,3797,127355,4712,135723,4987,71311,3806,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14023,1035,8161,765,1002,566,1387,561,4195,889,1577,687,5862,588,467,279,1210,531,2426,731,1759,556,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,152212,2450,78354,1817,9580,1642,23175,2554,29477,2155,16122,2062,73858,1532,7057,1437,16861,2262,33966,2634,15974,1796,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,267714,2785,122420,2237,29185,2518,51538,2963,28595,2358,13102,1884,145294,2122,28369,2355,48565,3202,48931,3350,19429,2125,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1428183,7941,690184,4766,92397,5559,185584,5148,271915,7562,140288,6029,737999,5196,85692,4648,163365,7119,319852,8439,169090,6913,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,122003,2730,64824,2542,9615,1516,20115,2076,22242,2410,12852,1714,57179,1964,7357,1846,16990,1551,21858,1943,10974,1294,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,216746,2605,99413,1850,18103,2313,39996,3303,24868,2235,16446,2354,117333,1975,20661,2287,36141,3101,39026,2788,21505,2644,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,112889,1257,50658,877,10112,1591,19406,1775,12555,1668,8585,1357,62231,822,6855,1230,21390,2098,21266,2412,12720,1713,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,205547,1952,89660,1007,17752,2158,32275,2575,20319,2283,19314,1993,115887,1314,20027,2099,40526,2908,28867,2557,26467,2286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1768031,9070,818300,4386,204895,8478,285194,8964,217759,7786,110452,5597,949731,7020,185637,7415,288047,8295,307851,7815,168196,7716,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1779692,6895,790303,5119,148496,5874,275844,8433,235097,7170,130866,5321,989389,4165,163864,6082,276465,7697,335029,9250,214031,7289,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12492,1130,7932,885,621,500,1144,539,4496,824,1671,574,4560,672,226,260,549,373,2481,769,1304,524,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4604,963,2486,699,753,558,958,524,546,340,229,184,2118,608,431,323,499,414,803,449,385,367,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1121706,5345,494483,3503,97116,4896,155421,6172,165555,6038,76391,4096,627223,3616,101584,5207,156331,5285,239179,6704,130129,5461,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,342772,3576,157059,2900,27290,2544,59857,3401,48365,3361,21547,2266,185713,2154,28026,2645,59857,3471,70340,3608,27490,2779,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,47076,2159,23583,1852,3735,882,7433,1412,8462,1268,3953,1010,23493,1352,4476,1090,6510,1075,8954,1283,3553,982,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,96743,2681,49452,1917,6194,1305,15279,1728,17856,2068,10123,1368,47291,1687,6987,1224,12856,1751,18826,2061,8622,1554,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,201480,3748,94613,2686,17506,1923,36213,2984,30138,2403,10756,1736,106867,2593,19592,2097,30321,2863,39122,2964,17832,2233,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,852079,4541,386744,2821,107112,4818,155001,6074,85795,4381,38836,3244,465335,3232,103532,4457,148050,5330,139825,5225,73928,4197,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6782,906,4074,903,892,463,658,506,1643,659,881,397,2708,517,555,317,972,384,1007,450,174,156,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1077882,4266,479433,3035,74072,4407,159627,5576,134285,5410,111449,4653,598449,2733,65909,3577,174212,5835,197740,5839,160588,5445,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,260457,3919,122685,2853,18578,2158,41104,3334,36729,3335,26274,2820,137772,2710,25816,2660,35915,2891,44175,3133,31866,2840,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,837628,3855,377906,3144,74079,4389,136012,5253,123105,4897,44710,3183,459722,2144,70789,4321,121469,4949,181976,6205,85488,4050,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,142134,2853,74536,1920,12298,1947,23150,2176,23795,2254,15293,1724,67598,1829,14401,2117,16936,2078,25138,2222,11123,1536,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,642623,4439,289263,3071,85653,4504,101398,4634,75524,4338,26688,2757,353360,2841,83602,4277,98385,4259,113320,4573,58053,3796,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,412570,4873,184228,2969,37107,2799,65586,3504,54107,3222,27428,2976,228342,2976,40175,2693,67023,4113,82281,4944,38863,3470,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2167,707,1694,743,306,318,221,179,839,602,328,249,473,316,0,237,105,116,368,298,0,237,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,45359,1661,22990,1206,3923,976,5809,983,9827,1310,3431,940,22369,1033,4405,896,5801,1086,8826,1150,3337,787,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,134116,2753,67092,1629,6652,1518,26254,2380,24581,2622,9605,2239,67024,1937,7107,1275,22517,2436,25916,2371,11484,1694,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,8203,1181,5071,1017,692,465,1029,484,1929,985,1421,528,3132,798,377,268,490,334,1143,696,1122,448,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,744889,4682,333806,2539,55156,3294,120861,4999,96632,4980,61157,3637,411083,3167,59974,4149,131382,5382,128221,4619,91506,4383,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,25303,1578,14540,1360,1717,665,3883,1061,5319,1200,3621,873,10763,1263,1339,734,2033,720,4316,1057,3075,911,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1907467,11184,829722,6712,167018,6622,279325,8105,234105,7653,149274,7249,1077745,7222,201919,7116,316105,8824,323269,7839,236452,7583,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1267686,7147,563953,4433,125480,6102,194404,6321,161675,5980,82394,4755,703733,4668,121378,5288,193229,6811,255423,7535,133703,6170,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4450,851,2788,637,249,197,408,405,1121,442,1010,505,1662,573,339,217,138,132,808,569,377,280,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,853077,5135,390886,3900,71961,5017,151896,6405,118815,5315,48214,3309,462191,3309,72674,3582,139569,5601,179526,6511,70422,3485,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,162106,2626,79344,2067,12268,1598,31367,2341,23791,2520,11918,1855,82762,1837,11922,1672,24073,2474,29967,2399,16800,2084,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,40591,1948,22598,1444,3341,952,4744,1085,8922,1441,5591,1330,17993,1253,3403,942,2521,897,7618,1366,4451,1055,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,818226,5865,371647,4452,69839,4727,161789,6084,94054,4877,45965,3216,446579,3133,73547,3720,165889,6383,130377,6099,76766,4223,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,34988,1769,16042,991,5075,1091,4008,955,4633,1007,2326,826,18946,1373,4355,902,5848,1178,5869,1123,2874,859,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,791382,3766,352821,2780,92465,5074,145911,5604,80804,4632,33641,3037,438561,2131,91089,3759,143454,5109,129768,5100,74250,4109,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5321,990,3778,840,331,319,889,596,1199,561,1359,625,1543,542,370,398,806,517,263,200,104,128,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,630479,4325,281717,2697,55937,3903,110149,4705,78112,4704,37519,3174,348762,2961,62157,3904,103332,4979,118153,5151,65120,3984,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1788223,7970,830015,5332,120928,6140,278753,8136,285188,7929,145146,6466,958208,5003,126934,4878,263287,8939,362076,9102,205911,7309,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,13747,1274,8479,1061,1498,791,2365,884,2950,863,1666,620,5268,692,1043,673,1460,570,1642,566,1123,484,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2888,576,1534,384,345,275,250,189,566,402,373,211,1354,373,125,122,225,132,343,223,661,372,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,989751,6096,457048,3998,99233,4996,152247,6793,121741,4965,83827,4171,532703,3824,89452,4528,150956,5849,176039,7162,116256,5071,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
