GEO_ID,B07403_001E,B07403_001M,B07403_002E,B07403_002M,B07403_003E,B07403_003M,B07403_004E,B07403_004M,B07403_005E,B07403_005M,B07403_006E,B07403_006M,B07403_007E,B07403_007M,B07403_008E,B07403_008M,B07403_009E,B07403_009M,B07403_010E,B07403_010M,B07403_011E,B07403_011M,B07403_012E,B07403_012M,B07403_013E,B07403_013M,B07403_014E,B07403_014M,B07403_015E,B07403_015M,NAME,B07403_001MA,B07403_001EA,B07403_002MA,B07403_002EA,B07403_003EA,B07403_003MA,B07403_004EA,B07403_004MA,B07403_005EA,B07403_005MA,B07403_006MA,B07403_006EA,B07403_007MA,B07403_007EA,B07403_008MA,B07403_008EA,B07403_009EA,B07403_009MA,B07403_010EA,B07403_010MA,B07403_011EA,B07403_011MA,B07403_012EA,B07403_012MA,B07403_013EA,B07403_013MA,B07403_014EA,B07403_014MA,B07403_015EA,B07403_015MA,state
0400000US01,4706841,12337,2283322,9283,2423519,7788,3987155,21708,1933566,12896,2053589,13838,454675,16569,216259,8940,238416,10963,165790,9728,82798,5704,82992,6903,99221,8532,50699,5088,48522,4761,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,755601,11330,393069,7209,362532,6546,565031,7596,292525,4330,272506,4879,76301,7086,39808,4085,36493,3640,19577,2757,9939,1488,9638,1976,94692,9780,50797,6291,43895,5383,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6247761,16438,3100282,9141,3147479,10700,5069002,35057,2495580,18806,2573422,20471,879397,32000,446290,17868,433107,16882,122594,9847,67209,5715,55385,5545,176768,9764,91203,5841,85565,5610,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2865067,11365,1399354,7141,1465713,7965,2387806,18627,1163297,9712,1224509,12519,292197,14369,143232,8296,148965,8689,120800,10915,61412,5455,59388,7256,64264,6502,31413,3657,32851,3763,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36777496,29143,18272029,19009,18505467,16812,30790221,71574,15228947,37298,15561274,42305,4318755,60629,2164159,32231,2154596,34426,1094532,28856,582350,17119,512182,17870,573988,20898,296573,12876,277415,11226,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4908072,13635,2458771,9342,2449301,8785,4042039,25546,2009324,15779,2032715,13186,489557,19978,255117,11428,234440,11095,235856,13821,121034,8316,114822,7993,140620,8392,73296,5617,67324,4953,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3533006,11279,1721607,6969,1811399,6838,3100742,16358,1498212,9867,1602530,9072,271709,14248,138703,8800,133006,8117,71195,6597,38359,3824,32836,3974,89360,8104,46333,4989,43027,4152,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,884696,6217,429738,4088,454958,4241,764640,9145,366274,5137,398366,5646,82530,8456,43329,4628,39201,4700,7471,1626,4388,1215,3083,899,30055,4817,15747,2578,14308,2901,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,594494,7671,282194,4649,312300,4619,474676,8281,224098,5081,250578,5343,63766,6163,30373,3553,33393,3914,0,273,0,273,0,273,56052,5274,27723,2958,28329,3384,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18441391,31050,9003871,18288,9437520,18215,15554008,45602,7546521,24770,8007487,29660,1912631,37220,943606,19024,969025,24875,546899,20448,296165,13100,250734,11768,427853,16117,217579,9873,210274,9544,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
