GEO_ID,C19001F_001E,C19001F_001M,C19001F_002E,C19001F_002M,C19001F_003E,C19001F_003M,C19001F_004E,C19001F_004M,C19001F_005E,C19001F_005M,C19001F_006E,C19001F_006M,C19001F_007E,C19001F_007M,C19001F_008E,C19001F_008M,C19001F_009E,C19001F_009M,C19001F_010E,C19001F_010M,C19001F_011E,C19001F_011M,NAME,C19001F_001MA,C19001F_001EA,C19001F_002MA,C19001F_002EA,C19001F_003EA,C19001F_003MA,C19001F_004MA,C19001F_004EA,C19001F_005EA,C19001F_005MA,C19001F_006MA,C19001F_006EA,C19001F_007MA,C19001F_007EA,C19001F_008MA,C19001F_008EA,C19001F_009MA,C19001F_009EA,C19001F_010EA,C19001F_010MA,C19001F_011MA,C19001F_011EA,state
0400000US01,11978,1716,537,335,729,475,3625,1331,1705,780,1933,696,1458,574,1518,559,413,355,60,106,0,273,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,107890,5669,10562,1941,8716,1545,15250,2136,16834,2631,19056,2744,18973,2220,11338,1946,5880,1451,685,466,596,377,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14838,1766,1237,650,971,501,3021,922,2724,897,3455,1072,2129,886,670,462,631,377,0,273,0,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1168222,16233,74669,4416,74404,4586,158883,6841,157785,6561,198331,8244,235203,9250,126299,6566,104960,5339,25908,2695,11780,2088,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,78968,4655,7798,1406,7701,1443,10754,1678,13172,2115,14433,2052,12552,1977,5939,1358,5489,1304,755,496,375,204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56052,3611,9530,1734,3810,1187,9989,1974,7607,1722,9838,1760,8169,1322,4045,1178,1985,677,716,499,363,379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4644,1059,315,354,241,313,636,498,317,321,1667,649,772,548,199,197,497,381,0,265,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3962,1061,320,240,310,355,373,402,646,461,199,223,817,556,252,213,484,315,372,323,189,229,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,126755,6622,12190,2364,9933,1894,19630,2536,20615,2523,21898,3100,24100,3111,7871,1586,7567,1376,1382,591,1569,808,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,74993,5160,10090,2248,6086,1519,15305,2773,11454,2046,13241,2074,10683,2228,4129,1071,2466,924,921,627,618,480,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4644,938,472,258,406,448,654,454,488,324,606,366,809,460,297,268,676,426,236,228,0,275,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8813,1694,913,573,670,534,1415,627,1737,879,1197,434,2207,714,484,317,118,126,36,60,36,63,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,196529,6462,10901,2043,9175,1906,26604,3278,27953,3011,41469,3811,40535,3431,21476,2841,15562,2067,1475,669,1379,678,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34693,2798,3781,1261,2158,646,6415,1504,6116,1275,7474,1759,5866,1196,2130,649,605,330,148,207,0,267,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
