GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003MA,B17020D_003EA,B17020D_004MA,B17020D_004EA,B17020D_005MA,B17020D_005EA,B17020D_006EA,B17020D_006MA,B17020D_007MA,B17020D_007EA,B17020D_008MA,B17020D_008EA,B17020D_009MA,B17020D_009EA,B17020D_010EA,B17020D_010MA,B17020D_011EA,B17020D_011MA,B17020D_012EA,B17020D_012MA,B17020D_013MA,B17020D_013EA,B17020D_014EA,B17020D_014MA,B17020D_015EA,B17020D_015MA,B17020D_016EA,B17020D_016MA,B17020D_017EA,B17020D_017MA,state
0400000US01,52045,2785,7516,2429,945,646,32,62,402,430,701,703,5113,1545,222,259,101,163,44529,3218,3869,922,545,342,3523,1053,2978,1083,30634,2154,2081,661,899,420,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38773,3271,4941,1906,1060,730,281,239,438,302,581,411,2515,875,66,112,0,246,33832,3725,1788,900,185,173,2871,1116,3031,758,23091,1862,1690,582,1176,435,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,170460,4870,20311,4491,998,575,607,464,1865,1129,1094,687,13728,3041,1721,683,298,242,150149,6211,8266,1657,2229,800,10242,1608,10587,1599,106032,4368,8110,1367,4683,630,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32663,2173,3493,1389,67,151,0,273,289,265,414,384,2668,1130,55,72,0,273,29170,2078,620,386,529,515,3642,1239,2644,803,20479,1573,993,708,263,240,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4833377,15813,561821,20361,25871,3480,6694,1321,38972,4095,52850,4184,361295,14074,34824,3053,41315,3664,4271556,23791,236433,5542,49170,3726,292311,7052,298387,7372,2908462,15962,282253,3706,204540,3940,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,131414,4194,13982,2852,839,576,0,279,1004,593,854,351,9864,1999,893,455,528,316,117432,4537,7102,1181,2283,761,9624,1497,8208,1588,81596,3076,4684,941,3935,964,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,129913,2842,11225,2750,586,404,150,149,625,424,219,254,8351,2007,872,601,422,418,118688,3597,9943,919,2019,663,10419,1311,9277,1474,80514,2607,4593,1167,1923,719,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27425,1360,2423,1020,25,47,0,265,37,61,37,61,2220,1009,69,124,35,60,25002,1665,2163,352,527,253,1808,453,1466,354,16899,1332,1429,415,710,370,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19905,1087,3998,1008,0,292,0,292,118,168,225,227,3510,900,0,292,145,117,15907,1330,450,234,84,148,515,316,424,384,13270,1160,830,423,334,281,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,447390,7805,59226,5580,3447,939,1204,593,4910,1349,3976,1297,41174,4006,3290,856,1225,484,388164,7951,22027,1701,4296,1138,28394,2711,27691,2482,268396,5692,26395,2280,10965,1759,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
