GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,NAME,B10058_001EA,B10058_001MA,B10058_002MA,B10058_002EA,B10058_003MA,B10058_003EA,B10058_004EA,B10058_004MA,B10058_005MA,B10058_005EA,B10058_006MA,B10058_006EA,B10058_007MA,B10058_007EA,B10058_008EA,B10058_008MA,B10058_009EA,B10058_009MA,B10058_010MA,B10058_010EA,B10058_011MA,B10058_011EA,state
0400000US01,123935,7326,61604,5157,38260,4113,30067,3614,8193,1419,23344,2885,62331,4910,30144,2962,14957,2133,15187,2090,32187,3672,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14048,2038,7076,1444,2974,747,2114,646,860,394,4102,1152,6972,1284,2036,553,1017,395,1019,349,4936,1125,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,158383,7778,86378,5993,42839,4212,35013,4087,7826,1509,43539,4158,72005,4438,24278,2796,9977,1517,14301,2248,47727,3723,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,71629,5050,40629,4006,23273,2868,19246,2597,4027,1266,17356,2657,31000,2868,17077,2374,8565,1719,8512,1501,13923,2074,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1110809,21607,521405,15212,175471,7806,132798,7958,42673,3463,345934,12211,589404,14359,125388,6745,50504,4222,74884,5299,464016,12495,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88655,6045,47667,4624,22315,2616,17676,2344,4639,1341,25352,3246,40988,3690,13170,2050,5008,1162,8162,1775,27818,3174,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72372,5579,37562,4145,14481,2452,11748,2258,2733,915,23081,2982,34810,3483,8615,1487,3035,737,5580,1254,26195,3205,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18454,2599,11039,2011,5331,1390,3912,1250,1419,515,5708,1327,7415,1476,2503,887,912,520,1591,623,4912,1065,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10495,1984,4798,1145,2446,795,1684,622,762,419,2352,652,5697,1261,2246,586,1065,441,1181,496,3451,1128,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,469274,13859,228170,8758,104494,5963,81473,5357,23021,2618,123676,7377,241104,10997,66728,5054,27027,3013,39701,4335,174376,9544,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252342,10270,134090,7553,73582,5802,61378,5265,12204,1846,60508,5011,118252,5564,42047,3948,18631,2728,23416,2983,76205,4333,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52495,4528,25212,3295,7334,1517,5652,1372,1682,662,17878,2921,27283,2382,4735,1341,1226,609,3509,1140,22548,2143,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29140,3560,17085,2554,7914,1578,5094,1443,2820,1035,9171,1871,12055,1821,4629,1243,2393,919,2236,665,7426,1393,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,277226,10936,145068,7356,62519,4581,50972,4096,11547,1852,82549,5664,132158,7432,39432,3649,20637,2429,18795,2654,92726,5997,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,120385,5755,68369,4319,39199,2963,32166,2846,7033,1399,29170,3179,52016,3956,19760,2187,10033,1489,9727,1508,32256,3401,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36216,3273,22755,2660,11955,1881,9562,1751,2393,587,10800,1775,13461,1614,5860,1148,2245,742,3615,971,7601,1257,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,45981,3606,27952,2895,14268,2145,11201,2007,3067,886,13684,1887,18029,1872,5982,1261,2349,759,3633,939,12047,1606,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
