GEO_ID,C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,NAME,C21001G_001MA,C21001G_001EA,C21001G_002MA,C21001G_002EA,C21001G_003EA,C21001G_003MA,C21001G_004MA,C21001G_004EA,C21001G_005MA,C21001G_005EA,C21001G_006MA,C21001G_006EA,C21001G_007MA,C21001G_007EA,C21001G_008MA,C21001G_008EA,C21001G_009EA,C21001G_009MA,C21001G_010EA,C21001G_010MA,C21001G_011EA,C21001G_011MA,C21001G_012MA,C21001G_012EA,C21001G_013EA,C21001G_013MA,C21001G_014MA,C21001G_014EA,C21001G_015EA,C21001G_015MA,state
0400000US01,33176,2884,17322,2225,15282,2053,2622,826,12660,1775,2040,642,1036,433,1004,523,15854,1951,13661,1791,374,276,13287,1784,2193,615,0,273,2193,615,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25149,2431,12209,1360,11458,1355,1679,532,9779,1197,751,366,528,319,223,189,12940,1748,12571,1756,401,342,12170,1717,369,185,0,246,369,185,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,81485,5221,38490,3840,36226,3846,4332,1321,31894,3736,2264,663,1476,512,788,399,42995,3128,38701,3058,850,444,37851,3089,4294,853,20,36,4274,859,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25248,2596,12861,1789,11478,1710,2459,896,9019,1503,1383,657,646,397,737,455,12387,1621,10919,1573,128,134,10791,1555,1468,553,0,273,1468,553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,869510,19990,423782,10526,390161,10066,36793,3131,353368,9903,33621,2813,12721,1498,20900,2327,445728,13493,400948,12487,5210,1288,395738,12385,44780,3072,387,227,44393,3089,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,87557,5744,42852,3350,40214,3159,5581,1325,34633,2755,2638,696,1216,424,1422,561,44705,3591,41354,3346,855,404,40499,3331,3351,885,24,40,3327,885,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44193,3745,19181,2407,17992,2327,1284,491,16708,2369,1189,485,360,291,829,433,25012,2629,23516,2577,215,229,23301,2574,1496,506,0,281,1496,506,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10948,1817,4984,977,4565,901,723,394,3842,838,419,244,110,112,309,214,5964,1455,5213,1238,692,582,4521,1055,751,477,0,265,751,477,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8484,1528,4174,901,3885,858,408,297,3477,801,289,226,133,218,156,148,4310,982,3564,872,47,76,3517,869,746,482,0,292,746,482,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,227025,10021,105066,5920,95103,5511,10656,1838,84447,4920,9963,1434,4345,956,5618,1174,121959,6593,107481,5886,1530,669,105951,5783,14478,2030,151,173,14327,1977,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,83471,6001,37217,3876,34759,3656,4278,962,30481,3465,2458,906,879,422,1579,857,46254,3912,41990,3638,1281,598,40709,3646,4264,1232,78,127,4186,1228,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,192557,8994,96735,5136,87445,4642,11389,1734,76056,4342,9290,1315,4103,1035,5187,979,95822,5036,85068,4583,1508,575,83560,4495,10754,1509,186,162,10568,1533,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19899,2323,9783,1757,9058,1773,1195,623,7863,1590,725,377,541,341,184,163,10116,1647,9078,1606,201,199,8877,1606,1038,522,26,47,1012,519,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,114483,7662,55426,4487,51578,4442,5223,1230,46355,4211,3848,951,1548,502,2300,702,59057,4472,52531,4128,538,343,51993,4049,6526,1159,64,101,6462,1172,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,57190,4196,29567,2681,27807,2666,2762,660,25045,2615,1760,572,763,286,997,454,27623,2846,24941,2774,546,340,24395,2787,2682,717,61,123,2621,716,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
