GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001MA,C23002I_001EA,C23002I_002MA,C23002I_002EA,C23002I_003MA,C23002I_003EA,C23002I_004MA,C23002I_004EA,C23002I_005EA,C23002I_005MA,C23002I_006EA,C23002I_006MA,C23002I_007EA,C23002I_007MA,C23002I_008MA,C23002I_008EA,C23002I_009MA,C23002I_009EA,C23002I_010EA,C23002I_010MA,C23002I_011EA,C23002I_011MA,C23002I_012EA,C23002I_012MA,C23002I_013MA,C23002I_013EA,C23002I_014MA,C23002I_014EA,C23002I_015MA,C23002I_015EA,C23002I_016EA,C23002I_016MA,C23002I_017EA,C23002I_017MA,C23002I_018MA,C23002I_018EA,C23002I_019MA,C23002I_019EA,C23002I_020MA,C23002I_020EA,C23002I_021EA,C23002I_021MA,C23002I_022EA,C23002I_022MA,C23002I_023MA,C23002I_023EA,C23002I_024MA,C23002I_024EA,C23002I_025MA,C23002I_025EA,C23002I_026MA,C23002I_026EA,C23002I_027EA,C23002I_027MA,state
0400000US04,1275829,2868,635942,2274,593089,2263,442543,6779,3097,1027,439446,6648,372278,7629,67168,5247,150546,6892,42853,508,7538,1202,6654,1209,884,455,35315,1297,639887,2201,584910,2224,367138,7225,607,480,366531,7215,316801,7574,49730,3748,217772,7174,54977,489,6793,2173,6455,2186,338,224,48184,2171,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,116539,2201,62566,2202,61265,2258,53249,2141,209,200,53040,2154,48590,2366,4450,1137,8016,1292,1301,549,212,197,212,197,0,273,1089,537,53973,2020,51787,1876,29201,2633,0,273,29201,2633,25714,2478,3487,1114,22586,2139,2186,706,167,240,167,240,0,273,2019,685,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9858487,7650,4964204,5478,4644374,5599,3708368,12640,20135,2013,3688233,12491,3153453,16697,534780,14763,936006,13194,319830,992,68500,4110,59759,3849,8741,1278,251330,4146,4894283,5338,4456383,5366,2814082,17460,3045,914,2811037,17373,2375500,18069,435537,11717,1642301,19277,437900,1325,45716,3389,40574,3309,5142,1135,392184,3476,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,707756,2207,358213,2006,333545,2181,267587,4148,2389,737,265198,4187,228836,5335,36362,3815,65958,4490,24668,720,5259,994,4697,992,562,312,19409,1236,349543,1958,319796,1917,211180,4591,599,383,210581,4619,183091,4802,27490,3334,108616,4424,29747,822,3701,831,3452,796,249,216,26046,1126,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,337330,1436,166645,1291,157709,1277,121975,3175,885,346,121090,3137,103212,2891,17878,2034,35734,3210,8936,468,3193,750,2928,716,265,237,5743,763,170685,1129,157881,1217,112102,3469,0,281,112102,3469,93243,3400,18859,2473,45779,3381,12804,406,1473,661,1240,586,233,231,11331,782,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48744,453,25025,628,23935,668,19669,999,133,162,19536,1013,17882,1037,1654,666,4266,995,1090,329,137,146,137,146,0,265,953,381,23719,511,22311,648,14856,1333,0,265,14856,1333,12913,1458,1943,883,7455,1488,1408,372,219,220,146,169,73,130,1189,349,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44591,187,23308,454,22259,454,18552,1061,187,122,18365,1072,16655,1111,1710,643,3707,1184,1049,-555555555,766,227,715,232,51,84,283,226,21283,477,19563,476,14133,1507,41,60,14092,1488,12821,1582,1271,474,5430,1513,1720,-555555555,330,228,330,228,0,292,1390,228,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3269395,3758,1599768,4798,1416363,4562,1130627,8844,6708,1530,1123919,8943,969608,10650,154311,7100,285736,8404,183405,1490,42277,3053,36771,2971,5506,1307,141128,3206,1669627,3224,1411172,3338,958659,10735,1776,770,956883,10676,827533,11221,129350,5836,452513,10909,258455,1545,26985,2590,23061,2572,3924,1217,231470,2826,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,566603,3095,310736,3471,302587,3033,256822,4767,4643,1137,252179,4902,228363,5285,23816,3442,45765,4064,8149,1382,2110,650,1688,631,422,314,6039,1250,255867,3329,244354,3521,140250,5760,525,396,139725,5794,117460,5547,22265,3227,104104,6370,11513,1288,2572,756,2396,769,176,152,8941,1360,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,80306,747,40569,457,37382,729,29122,1209,4472,1243,24650,1493,21457,1530,3193,960,8260,1249,3187,544,388,292,388,292,0,275,2799,607,39737,720,36125,744,25529,1653,731,476,24798,1625,21492,1624,3306,878,10596,1658,3612,336,536,313,536,313,0,275,3076,465,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
