GEO_ID,C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,NAME,C17001F_001MA,C17001F_001EA,C17001F_002EA,C17001F_002MA,C17001F_003MA,C17001F_003EA,C17001F_004EA,C17001F_004MA,C17001F_005EA,C17001F_005MA,C17001F_006MA,C17001F_006EA,C17001F_007EA,C17001F_007MA,C17001F_008MA,C17001F_008EA,C17001F_009MA,C17001F_009EA,C17001F_010EA,C17001F_010MA,C17001F_011EA,C17001F_011MA,C17001F_012EA,C17001F_012MA,C17001F_013MA,C17001F_013EA,C17001F_014EA,C17001F_014MA,C17001F_015MA,C17001F_015EA,C17001F_016MA,C17001F_016EA,C17001F_017MA,C17001F_017EA,C17001F_018MA,C17001F_018EA,C17001F_019EA,C17001F_019MA,state
0400000US01,50521,6457,11388,2889,4728,1293,1985,759,2734,1001,9,19,6660,1980,3673,1167,2987,999,0,273,39133,6589,23751,4397,6747,2000,16590,3057,414,290,15382,2901,5225,1489,9669,1912,488,305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401931,22473,105420,13143,48914,6447,21329,3756,25946,3521,1639,646,56506,7887,24500,4478,29879,3903,2127,707,296511,20497,147845,11218,47219,5075,93115,7016,7511,1547,148666,10727,44822,4717,95582,6800,8262,1602,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60434,6408,20348,5441,9751,2489,4541,1562,5210,1329,0,273,10597,3419,3949,1894,6442,1902,206,382,40086,6228,21666,3717,6833,1639,14433,2641,400,267,18420,3194,6582,1538,11090,2095,748,441,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4795639,67358,1214427,34062,570378,17744,264912,11064,291583,10189,13883,2050,644049,20190,259810,13326,360209,10488,24030,2557,3581212,70055,1857206,40256,524019,16430,1264038,28075,69149,4070,1724006,33624,498950,14611,1134085,21077,90971,4259,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,277997,15835,76624,7682,36078,4214,17296,2656,17819,2806,963,514,40546,4598,17108,2804,22200,2315,1238,452,201373,14698,109430,8114,32570,4532,72542,5212,4318,1129,91943,8044,30386,4438,57092,4578,4465,1060,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,181980,10640,52933,6748,23225,3385,9486,1912,13244,2246,495,359,29708,4091,10145,2219,18804,2427,759,459,129047,10190,67488,5870,17646,2665,47653,4465,2189,739,61559,5497,16541,2313,42602,3923,2416,971,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17370,3829,4023,2203,1635,1028,695,542,940,737,0,265,2388,1511,1314,963,965,598,109,142,13347,3348,7350,2014,2756,1003,4450,1251,144,157,5997,1836,1755,875,4242,1448,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16290,3707,2472,1524,1488,952,567,536,859,642,62,102,984,877,327,430,563,484,94,112,13818,3321,7407,1839,1500,780,5600,1452,307,252,6411,2059,1840,1110,4512,1299,59,96,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,487468,25149,136316,12152,69707,8594,24225,3896,42744,7430,2738,1269,66609,6916,24157,4288,39704,3984,2748,1254,351152,21310,179342,11420,38581,4742,130645,9434,10116,2197,171810,12361,46207,5639,113668,7773,11935,2101,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
