GEO_ID,C05003D_001E,C05003D_001M,C05003D_002E,C05003D_002M,C05003D_003E,C05003D_003M,C05003D_004E,C05003D_004M,C05003D_005E,C05003D_005M,C05003D_006E,C05003D_006M,C05003D_007E,C05003D_007M,C05003D_008E,C05003D_008M,C05003D_009E,C05003D_009M,C05003D_010E,C05003D_010M,C05003D_011E,C05003D_011M,C05003D_012E,C05003D_012M,C05003D_013E,C05003D_013M,C05003D_014E,C05003D_014M,C05003D_015E,C05003D_015M,NAME,C05003D_001EA,C05003D_001MA,C05003D_002EA,C05003D_002MA,C05003D_003MA,C05003D_003EA,C05003D_004EA,C05003D_004MA,C05003D_005MA,C05003D_005EA,C05003D_006MA,C05003D_006EA,C05003D_007EA,C05003D_007MA,C05003D_008EA,C05003D_008MA,C05003D_009MA,C05003D_009EA,C05003D_010EA,C05003D_010MA,C05003D_011MA,C05003D_011EA,C05003D_012EA,C05003D_012MA,C05003D_013MA,C05003D_013EA,C05003D_014MA,C05003D_014EA,C05003D_015EA,C05003D_015MA,state
0400000US01,52789,2754,25112,1868,7208,1367,5255,1204,1953,745,17904,1255,2735,840,15169,1462,27677,1720,5807,992,3628,876,2179,867,21870,1304,3321,999,18549,1083,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39118,3257,18296,1912,4946,1060,4375,1054,571,383,13350,1399,2422,830,10928,1372,20822,1672,5365,946,4575,955,790,394,15457,1120,3534,919,11923,1169,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174039,4937,82076,3355,18535,2292,14796,2132,3739,1156,63541,2220,16440,2207,47101,2747,91963,2741,17764,2038,12402,1575,5362,1310,74199,1996,13455,1956,60744,2226,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33240,2165,15161,1510,3988,958,2807,954,1181,546,11173,1004,2831,1174,8342,981,18079,1613,4217,1055,3392,920,825,485,13862,1193,2899,1103,10963,1187,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4900963,16077,2318556,9783,517392,6900,435216,7274,82176,5544,1801164,5681,461759,10990,1339405,10686,2582407,10331,492074,5974,413919,7720,78155,5102,2090333,7147,444118,11571,1646215,10766,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133796,4212,59831,2967,14355,1839,10148,1277,4207,1276,45476,2010,12920,1588,32556,1706,73965,2401,16359,1500,10691,1327,5668,1151,57606,1810,11415,1330,46191,1882,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134338,2644,64786,1771,16204,1206,12201,1342,4003,1049,48582,1118,6602,1550,41980,1728,69552,1599,17252,1098,11398,1181,5854,1387,52300,1122,6876,1377,45424,1458,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27482,1348,13348,956,3186,559,2658,499,528,307,10162,661,1045,473,9117,695,14134,802,2877,474,2168,567,709,348,11257,566,886,645,10371,817,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21552,966,9016,656,790,399,516,297,274,277,8226,439,3867,850,4359,823,12536,755,1026,352,549,272,477,352,11510,686,4027,872,7483,937,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,452580,7409,210152,4855,49065,2762,40176,2735,8889,1484,161087,3292,30630,3203,130457,3458,242428,4372,47754,2697,37896,2656,9858,1875,194674,2944,24408,2201,170266,3373,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,316098,5145,153878,3833,40694,2012,32250,2131,8444,1507,113184,2681,16151,2531,97033,2741,162220,2856,37561,1841,28648,1991,8913,1742,124659,2256,17063,2249,107596,2956,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,530937,9464,245907,5203,40922,2858,35692,2666,5230,1296,204985,4089,133431,5260,71554,4332,285030,5676,39779,3045,34617,2659,5162,1518,245251,4038,142189,4162,103062,4750,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18718,2020,8100,1153,2844,853,1941,792,903,430,5256,672,2366,765,2890,597,10618,1405,2414,810,1929,771,485,381,8204,989,2933,902,5271,1121,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,590174,6216,282094,5002,64821,2437,49905,2552,14916,2078,217273,3706,41688,4025,175585,4510,308080,4770,63805,2230,50665,2796,13140,2129,244275,4130,42292,3729,201983,3917,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
