GEO_ID,C19101I_001E,C19101I_001M,C19101I_002E,C19101I_002M,C19101I_003E,C19101I_003M,C19101I_004E,C19101I_004M,C19101I_005E,C19101I_005M,C19101I_006E,C19101I_006M,C19101I_007E,C19101I_007M,C19101I_008E,C19101I_008M,C19101I_009E,C19101I_009M,C19101I_010E,C19101I_010M,C19101I_011E,C19101I_011M,NAME,C19101I_001EA,C19101I_001MA,C19101I_002MA,C19101I_002EA,C19101I_003EA,C19101I_003MA,C19101I_004EA,C19101I_004MA,C19101I_005EA,C19101I_005MA,C19101I_006MA,C19101I_006EA,C19101I_007MA,C19101I_007EA,C19101I_008EA,C19101I_008MA,C19101I_009MA,C19101I_009EA,C19101I_010EA,C19101I_010MA,C19101I_011EA,C19101I_011MA,state
0400000US01,29359,2421,3472,1044,1684,707,5896,1338,4954,1210,4941,1147,4146,931,2106,834,1568,676,241,207,351,264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8213,950,165,167,101,95,719,384,848,475,1202,423,1818,652,1725,765,1096,438,312,236,227,248,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,387510,7414,35712,2887,26098,3030,57776,4108,62048,5253,63348,4309,71812,4664,35435,3146,26452,2829,4965,1084,3864,1009,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36213,2135,1840,801,2126,784,7611,1646,6551,1343,7601,1647,5450,1182,2766,943,1400,610,391,305,477,327,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2780828,18665,183277,7818,152377,6717,377078,9174,357850,9918,470651,12672,538146,11923,308716,10077,271368,8190,78222,4555,43143,3303,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,220714,5163,19848,2125,14308,1920,30783,2779,30541,3437,38148,3143,37760,3247,22918,2752,17697,2102,5202,1178,3509,962,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103604,3223,11242,1842,6433,1515,14642,2463,12919,2002,16317,2394,17542,2184,10787,1956,7740,1441,3452,924,2530,739,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13926,1331,397,381,376,340,2698,929,1349,520,3044,873,3419,1118,910,452,1121,626,509,415,103,122,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8758,1100,801,513,58,97,689,518,916,519,710,467,1458,687,990,475,1392,664,888,503,856,404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927551,12109,65877,4388,59581,4202,133589,6134,130250,5994,154896,7316,175111,7229,84335,5320,77229,3808,24004,2513,22679,2360,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,159490,4762,16187,2219,12521,2084,28752,3480,25322,3029,25397,3121,26872,2426,10894,1959,8768,1516,2417,842,2360,894,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21096,1804,1264,566,1415,561,2096,813,1483,680,3756,1086,3798,959,3165,950,3289,755,512,300,318,230,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36861,1938,3645,1052,3160,998,4762,1059,5751,1181,7723,1280,6215,1309,3676,1035,1529,620,165,135,235,221,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,406328,5357,22592,2799,17554,2435,54259,3914,55022,4176,75506,4612,81982,4460,48040,3858,36688,3066,9192,1661,5493,1397,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,74624,2787,5978,1389,4611,1214,13880,2267,12987,2024,12199,1945,13404,1848,5522,1249,4341,1079,977,531,725,436,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,27076,1732,1952,684,2044,767,3464,815,4900,1080,4372,917,5666,1108,3151,920,1028,444,245,189,254,267,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,57878,2398,4320,1356,2698,983,9897,1838,9639,1796,10556,1737,11796,1654,4453,1005,3782,1050,441,302,296,212,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22608,2054,2075,732,1575,728,5520,1387,3500,913,2444,727,3685,990,2441,838,1000,468,179,251,189,167,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,36864,2630,2239,844,1893,658,4931,1142,4423,1017,5951,1548,7796,1373,3496,897,3739,1015,1346,546,1050,442,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2359,480,50,102,434,319,485,270,286,189,396,222,406,203,117,141,148,166,37,67,0,230,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,89187,3119,4547,1284,1529,610,8302,1890,7784,1643,16981,2206,18656,2074,11767,1627,11715,1712,4798,1074,3108,923,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,134267,3356,20331,2263,10703,1911,21806,2160,15565,2064,18616,2599,20293,2317,11264,2189,10141,1526,3054,891,2494,769,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,84649,3286,9094,1773,5485,1454,12334,1573,11493,1684,13819,1804,15209,1863,7261,1149,6983,1427,2033,756,938,365,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,46617,2702,4128,1134,2570,880,8137,1725,7139,1426,6458,1170,8350,1206,4124,914,2815,869,1880,768,1016,546,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,12689,1522,1259,668,910,510,2279,749,1663,652,2490,848,1730,597,1098,471,964,552,141,186,155,211,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40067,2301,3883,1081,1682,695,6561,1237,5914,1496,6607,1475,7043,1353,3294,771,3350,838,675,348,1058,589,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4719,985,458,315,225,254,251,216,775,512,969,464,1059,536,417,311,499,355,5,10,61,98,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,33986,2047,3487,1038,2314,833,5328,1225,5147,1216,6291,1477,6664,1533,2622,815,1417,535,314,268,402,379,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,144121,4334,10606,1756,7390,1409,18092,2630,23915,2530,25662,2719,27200,2829,17202,2054,10277,1778,2870,929,907,525,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,7995,1028,456,424,570,408,465,442,1056,741,1459,639,1667,553,1659,748,310,247,295,237,58,108,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,340046,5552,24853,2961,17492,2269,41980,3326,35475,2584,53405,3516,62797,3742,38327,3147,39958,2893,13103,1925,12656,1779,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,215745,5081,21147,2370,12669,2079,38509,3375,26963,2457,31159,2501,37664,2975,22940,2314,18416,2004,3673,901,2605,928,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
