GEO_ID,C07408_001E,C07408_001M,C07408_002E,C07408_002M,C07408_003E,C07408_003M,C07408_004E,C07408_004M,C07408_005E,C07408_005M,C07408_006E,C07408_006M,C07408_007E,C07408_007M,C07408_008E,C07408_008M,C07408_009E,C07408_009M,C07408_010E,C07408_010M,C07408_011E,C07408_011M,C07408_012E,C07408_012M,C07408_013E,C07408_013M,C07408_014E,C07408_014M,C07408_015E,C07408_015M,C07408_016E,C07408_016M,C07408_017E,C07408_017M,C07408_018E,C07408_018M,C07408_019E,C07408_019M,C07408_020E,C07408_020M,C07408_021E,C07408_021M,C07408_022E,C07408_022M,C07408_023E,C07408_023M,C07408_024E,C07408_024M,C07408_025E,C07408_025M,NAME,C07408_001MA,C07408_001EA,C07408_002EA,C07408_002MA,C07408_003EA,C07408_003MA,C07408_004EA,C07408_004MA,C07408_005MA,C07408_005EA,C07408_006EA,C07408_006MA,C07408_007EA,C07408_007MA,C07408_008EA,C07408_008MA,C07408_009EA,C07408_009MA,C07408_010MA,C07408_010EA,C07408_011MA,C07408_011EA,C07408_012EA,C07408_012MA,C07408_013EA,C07408_013MA,C07408_014EA,C07408_014MA,C07408_015EA,C07408_015MA,C07408_016MA,C07408_016EA,C07408_017MA,C07408_017EA,C07408_018EA,C07408_018MA,C07408_019EA,C07408_019MA,C07408_020EA,C07408_020MA,C07408_021MA,C07408_021EA,C07408_022MA,C07408_022EA,C07408_023MA,C07408_023EA,C07408_024EA,C07408_024MA,C07408_025EA,C07408_025MA,state
0400000US01,3829781,9837,1110096,16095,1849885,23792,589337,15234,280463,8070,3269324,16552,862279,16379,1674489,22605,476696,12218,255860,7638,341612,11994,153627,8146,99663,6950,73753,5470,14569,2010,137167,7931,62785,4668,43301,5086,24564,2773,6517,1461,81678,6784,31405,3369,32432,4449,14324,2384,3517,1136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,598015,7335,195719,7572,290135,9281,89483,6396,22678,2339,448674,5167,127102,5327,239195,8087,63179,5735,19198,1882,59195,4843,27682,3251,19148,3131,11122,1953,1243,640,15704,2017,7585,1354,3959,1058,3976,1017,184,128,74442,6730,33350,4106,27833,4617,11206,1833,2053,1092,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4976629,12806,1569839,16676,2439146,22840,695764,15544,271880,7731,4061892,25132,1154655,18486,2118718,24481,544692,13460,243827,7299,667121,22379,305429,12413,232125,12367,111481,7198,18086,2434,100929,7673,46075,3988,34679,5147,16557,2639,3618,972,146687,7675,63680,4831,53624,4339,23034,2987,6349,1395,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2311736,9216,607225,11018,1178634,15914,357308,10765,168569,5164,1946015,14411,456687,11232,1061823,15958,274204,9422,153301,4880,214917,10058,86795,6711,69730,5570,49984,4199,8408,1382,97432,8781,42470,5452,28109,3950,22879,3708,3974,1128,53372,5296,21273,3522,18972,2772,10241,1586,2886,1069,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29584537,23711,10640551,45338,13881709,58286,3551073,33658,1511204,16775,24846336,52111,8368467,50458,12213703,57613,2888027,29748,1376139,16239,3333641,45283,1557069,27451,1205011,28048,477009,14742,94552,4478,924335,23768,486363,17496,289378,13412,123177,5550,25417,2375,480225,17741,228652,10722,173617,9552,62860,4926,15096,2368,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3953811,10847,1202266,16910,2030797,21217,542407,11884,178341,5560,3248483,18471,860560,16630,1803411,21363,424941,10694,159571,5020,390278,14394,186958,8544,128738,8317,63957,3954,10625,1693,198943,11337,101202,7180,55715,5870,36826,3334,5200,1124,116107,6323,53546,4038,42933,4448,16683,2009,2945,889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2908120,8811,962059,12571,1407822,16071,360462,9084,177777,5087,2547378,12179,772842,10898,1303654,16360,305329,8010,165553,4817,218435,10211,107364,7876,64631,5643,38171,3452,8269,1764,64081,5576,38751,4106,12944,2167,10048,1893,2338,644,78226,6536,43102,4073,26593,3534,6914,1706,1617,573,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,724838,4989,236814,6579,347613,10108,93269,5801,47142,2736,629233,6806,189610,7146,317992,9628,78207,5092,43424,2687,64411,6241,32374,4115,19685,3707,9622,1622,2730,1012,6789,1556,2838,1005,1380,742,2025,997,546,372,24405,3678,11992,1997,8556,2293,3415,962,442,287,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512976,6428,285463,7433,134626,5627,67000,3473,25887,1701,410913,6860,216814,7114,113317,5124,56433,3113,24349,1738,53496,4769,38071,3807,9066,2406,5333,1307,1026,540,0,273,0,273,0,273,0,273,0,273,48567,4016,30578,3514,12243,2228,5234,1233,512,328,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15378562,24310,4654892,30725,7221577,44731,2408928,27088,1093165,13752,13040767,33785,3595093,32626,6500440,43793,1953041,24206,992193,12923,1506155,29162,664030,18569,470377,16440,307943,12809,63805,4328,470801,16047,242320,10084,122184,8688,87705,5129,18592,2873,360839,13524,153449,7581,128576,7717,60239,5232,18575,2154,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
