GEO_ID,B21004_001E,B21004_001M,B21004_002E,B21004_002M,B21004_003E,B21004_003M,B21004_004E,B21004_004M,B21004_005E,B21004_005M,B21004_006E,B21004_006M,B21004_007E,B21004_007M,NAME,B21004_001EA,B21004_001MA,B21004_002MA,B21004_002EA,B21004_003MA,B21004_003EA,B21004_004EA,B21004_004MA,B21004_005EA,B21004_005MA,B21004_006EA,B21004_006MA,B21004_007MA,B21004_007EA,state
0400000US01,21395,216,33200,929,33789,1059,29710,4911,20194,237,25595,458,16863,262,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30378,640,49855,3128,51473,2705,35313,11329,27391,959,35348,2268,23203,1169,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25218,254,36053,743,36257,783,33771,2477,23622,329,28900,755,20463,263,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20997,253,30135,1006,30407,966,26222,4186,20123,260,25346,463,16791,249,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26048,125,40654,405,41065,415,33950,1869,25054,139,30174,166,21465,122,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28440,415,38791,1362,39584,1275,31744,2151,27039,264,33440,847,22431,344,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31636,349,40944,1168,41393,1201,29568,5922,30966,365,40726,595,25282,411,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28505,984,39038,2340,39490,2236,34922,6106,26850,645,32265,1042,22755,996,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36139,1096,42024,9106,41624,8860,51232,27477,35845,1285,40948,1822,32154,1256,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23030,182,33711,499,34193,513,29621,2041,21795,118,26035,216,19333,175,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24165,230,35688,646,36179,673,31293,1444,22621,234,27928,505,19887,259,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,29256,721,40920,1378,41153,1261,36892,7404,27440,556,32083,607,24721,752,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22348,346,29266,1497,29833,1369,25177,3193,21544,355,28156,971,17099,474,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26983,158,34889,753,35372,741,27370,3030,26320,167,33556,564,21539,153,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24232,246,31211,449,31606,457,22207,2174,23164,272,30906,262,19070,266,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26041,245,32368,705,32852,950,25212,2105,25278,266,32148,308,20856,262,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25561,358,33621,1428,34339,1404,28190,3831,24549,436,31623,444,20301,352,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21305,234,30704,704,30848,803,29472,2679,20456,263,25267,499,17094,268,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22255,224,31901,597,32336,723,24656,2895,21460,237,29593,1007,17289,270,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24231,496,30501,895,30810,973,25441,4661,23034,509,29949,845,20093,394,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,34599,527,50308,725,50071,1004,51677,2029,32355,285,40099,553,28737,467,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,31108,207,38111,1211,38452,1253,32662,3548,30575,230,39733,717,24371,467,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,23705,196,31912,487,32199,489,25110,3578,22497,198,30186,282,18753,180,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,29165,336,35092,614,35287,596,31137,2209,28190,363,35944,346,22749,321,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20311,317,30759,783,30850,813,27260,6407,19331,383,23971,754,16222,355,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,23944,283,31474,583,31780,604,26630,1978,22692,321,29357,560,19729,350,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
