GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001MA,B19101I_001EA,B19101I_002MA,B19101I_002EA,B19101I_003MA,B19101I_003EA,B19101I_004EA,B19101I_004MA,B19101I_005MA,B19101I_005EA,B19101I_006EA,B19101I_006MA,B19101I_007EA,B19101I_007MA,B19101I_008EA,B19101I_008MA,B19101I_009EA,B19101I_009MA,B19101I_010MA,B19101I_010EA,B19101I_011EA,B19101I_011MA,B19101I_012MA,B19101I_012EA,B19101I_013EA,B19101I_013MA,B19101I_014EA,B19101I_014MA,B19101I_015EA,B19101I_015MA,B19101I_016EA,B19101I_016MA,B19101I_017MA,B19101I_017EA,state
0400000US01,29359,2421,3472,1044,1684,707,2516,843,3380,1131,2336,895,2618,890,2219,926,1974,708,748,533,2296,712,1850,590,2106,834,1273,651,295,173,241,207,351,264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8213,950,165,167,101,95,338,306,381,243,288,251,560,397,286,284,562,374,354,340,885,492,933,466,1725,765,744,368,352,243,312,236,227,248,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,387510,7414,35712,2887,26098,3030,25660,2711,32116,3310,31403,3746,30645,3052,25297,2845,21157,2673,16894,2107,30787,3069,41025,3757,35435,3146,17067,2396,9385,1856,4965,1084,3864,1009,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36213,2135,1840,801,2126,784,4503,1402,3108,1012,3271,962,3280,971,2918,891,1902,947,2781,1116,2674,739,2776,923,2766,943,937,524,463,334,391,305,477,327,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2780828,18665,183277,7818,152377,6717,178905,5991,198173,7106,179210,6537,178640,7752,167362,6979,158492,7231,144797,7324,249159,8414,288987,8684,308716,10077,178854,6688,92514,5384,78222,4555,43143,3303,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,220714,5163,19848,2125,14308,1920,15570,2114,15213,1727,15840,2418,14701,2500,16200,2252,11304,1647,10644,1671,14906,1785,22854,2656,22918,2752,11873,1610,5824,1246,5202,1178,3509,962,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103604,3223,11242,1842,6433,1515,7843,1727,6799,1593,7052,1622,5867,1412,6585,1539,6266,1368,3466,1090,8945,1729,8597,1431,10787,1956,4788,1163,2952,817,3452,924,2530,739,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13926,1331,397,381,376,340,1048,680,1650,761,749,415,600,367,1302,651,1186,518,556,436,1676,895,1743,681,910,452,698,506,423,363,509,415,103,122,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8758,1100,801,513,58,97,210,270,479,461,372,350,544,421,0,292,127,152,583,455,1026,670,432,273,990,475,1097,610,295,276,888,503,856,404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927551,12109,65877,4388,59581,4202,63337,4312,70252,4502,67897,4876,62353,4086,55013,3934,51062,4007,48821,3809,82626,4917,92485,6031,84335,5320,51004,3115,26225,2676,24004,2513,22679,2360,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,159490,4762,16187,2219,12521,2084,15350,2383,13402,2578,12969,2171,12353,2211,8334,1747,8907,2064,8156,1885,13011,1895,13861,1840,10894,1959,5502,1017,3266,930,2417,842,2360,894,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21096,1804,1264,566,1415,561,829,411,1267,726,793,526,690,372,1490,685,996,513,1270,608,1701,702,2097,773,3165,950,1837,651,1452,559,512,300,318,230,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36861,1938,3645,1052,3160,998,2201,749,2561,819,2261,751,3490,866,3189,854,2380,919,2154,801,3620,951,2595,836,3676,1035,1374,618,155,133,165,135,235,221,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,406328,5357,22592,2799,17554,2435,27149,2657,27110,2707,27748,3179,27274,2966,26744,2808,24978,3201,23784,2825,35561,2655,46421,3930,48040,3858,24330,2347,12358,2028,9192,1661,5493,1397,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
