GEO_ID,C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,NAME,C27001H_001MA,C27001H_001EA,C27001H_002MA,C27001H_002EA,C27001H_003MA,C27001H_003EA,C27001H_004EA,C27001H_004MA,C27001H_005EA,C27001H_005MA,C27001H_006MA,C27001H_006EA,C27001H_007EA,C27001H_007MA,C27001H_008MA,C27001H_008EA,C27001H_009EA,C27001H_009MA,C27001H_010EA,C27001H_010MA,state
0400000US01,3160600,2527,672119,577,643034,4596,29085,4625,1975263,2326,1644638,10753,330625,10291,513218,1402,512691,1477,527,378,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440292,1827,98541,194,90509,1982,8032,1963,302385,1785,246044,4883,56341,4575,39366,318,38993,449,373,325,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3657932,3740,677475,981,623657,5793,53818,5720,2257064,3540,1912950,10471,344114,10173,723393,1587,721131,1752,2262,835,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2138761,3570,463317,1057,436566,4273,26751,4328,1316196,2933,1020362,10940,295834,11117,359248,1616,358618,1783,630,571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14714821,10259,2531989,4016,2409877,9516,122112,8579,9602533,8064,8190567,21725,1411966,20324,2580299,5250,2568866,5463,11433,2047,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3477333,4625,710081,1202,663159,5772,46922,5585,2313597,3800,1955978,12133,357619,12169,453655,1347,452512,1534,1143,633,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2504381,4637,495855,1617,488498,2073,7357,1562,1584905,3372,1446639,7601,138266,6526,423621,1060,422472,1190,1149,643,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,579230,883,109196,204,103787,1967,5409,1959,366084,832,326701,3873,39383,3828,103950,410,103902,427,48,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,207527,678,17495,272,17452,281,43,74,169094,563,160042,2141,9052,2110,20938,211,20938,211,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10731181,12218,1816767,3758,1639105,10211,177662,9873,6440873,8665,5035645,25963,1405228,25740,2473541,3806,2461478,4967,12063,2638,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5330391,4385,1169022,2024,1090889,7258,78133,7319,3407019,3719,2742450,17185,664569,16507,754350,2263,751084,2511,3266,1210,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,285831,2327,39470,463,36881,1024,2589,997,198976,2147,173759,3480,25217,2464,47385,307,46911,465,474,333,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1305567,1132,329562,264,299538,4396,30024,4415,794308,1181,622081,6936,172227,7002,181697,740,181496,790,201,212,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8074090,4037,1652083,1488,1597669,4388,54414,4329,5189396,3380,4514918,15458,674478,14824,1232611,3084,1225795,3362,6816,1488,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5217881,3380,1185616,1487,1081131,7092,104485,6830,3293598,3157,2706557,13222,587041,13185,738667,1929,736796,2002,1871,671,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2662982,2863,588046,1576,568881,3216,19165,2813,1657601,1886,1465138,7119,192463,6960,417335,848,416680,946,655,354,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2194615,2303,497821,688,466251,3614,31570,3576,1368300,2256,1161126,8408,207174,8711,328494,1456,327699,1489,795,485,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3682955,3189,827506,1738,781858,5204,45648,4750,2335067,3592,1860038,12450,475029,11940,520382,1006,519595,1111,787,420,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2694360,3133,585976,1312,558905,4370,27071,3660,1711757,3070,1365246,12572,346511,12858,396627,1487,395246,1680,1381,630,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1240504,877,246180,35,236103,1476,10077,1477,794206,949,680488,5979,113718,5777,200118,487,199947,516,171,143,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3111880,4146,626986,1328,608078,3197,18908,3289,1994291,3446,1805370,8031,188921,8570,490603,2328,487447,2610,3156,941,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4944440,5666,957207,2541,943983,3519,13224,2789,3214871,4303,3058640,10150,156231,9629,772362,1556,771627,1632,735,577,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7488601,3977,1599143,1810,1541427,4879,57716,4441,4742427,2707,3974560,17097,767867,17048,1147031,1752,1145146,1840,1885,665,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4367292,1880,941020,847,895861,4606,45159,4535,2802187,1900,2537384,7429,264803,7314,624085,1403,623525,1437,560,254,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1692143,3108,372839,1366,345281,4288,27558,3962,1045951,2471,827115,9180,218836,8910,273353,1388,272946,1380,407,319,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4771364,3061,1058855,978,997151,5162,61704,5135,2991512,3031,2505433,11704,486079,11244,720997,1832,718992,2090,2005,686,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,857779,1051,178464,351,159484,2858,18980,2823,543746,1153,433541,5827,110205,5439,135569,323,135227,485,342,307,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1483394,1893,333014,981,320696,1914,12318,1820,927194,1447,807296,4963,119898,4876,223186,1310,223001,1313,185,164,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1441066,2388,261591,631,229530,3810,32061,3735,933736,2102,727489,8053,206247,7667,245739,649,244554,874,1185,569,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1200597,1860,250859,845,239969,2499,10890,2469,782522,1310,666958,6766,115564,6485,167216,509,166668,685,548,410,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5161974,5520,1060069,2240,1021741,4691,38328,4381,3216758,3710,2866257,11481,350501,11663,885147,2438,882739,2639,2408,1217,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,822355,2153,135307,876,128824,1707,6483,1479,523887,1782,437154,5191,86733,4872,163161,900,162619,1019,542,384,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,11154034,5352,2194505,2464,2113235,6158,81270,6398,7119900,4286,6362847,19363,757053,18358,1839629,3085,1834203,3366,5426,1182,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
