GEO_ID,C27012_001E,C27012_001M,C27012_002E,C27012_002M,C27012_003E,C27012_003M,C27012_004E,C27012_004M,C27012_005E,C27012_005M,C27012_006E,C27012_006M,C27012_007E,C27012_007M,C27012_008E,C27012_008M,C27012_009E,C27012_009M,C27012_010E,C27012_010M,C27012_011E,C27012_011M,C27012_012E,C27012_012M,C27012_013E,C27012_013M,C27012_014E,C27012_014M,C27012_015E,C27012_015M,C27012_016E,C27012_016M,C27012_017E,C27012_017M,C27012_018E,C27012_018M,C27012_019E,C27012_019M,C27012_020E,C27012_020M,C27012_021E,C27012_021M,C27012_022E,C27012_022M,C27012_023E,C27012_023M,C27012_024E,C27012_024M,C27012_025E,C27012_025M,C27012_026E,C27012_026M,C27012_027E,C27012_027M,C27012_028E,C27012_028M,C27012_029E,C27012_029M,C27012_030E,C27012_030M,C27012_031E,C27012_031M,C27012_032E,C27012_032M,C27012_033E,C27012_033M,C27012_034E,C27012_034M,C27012_035E,C27012_035M,C27012_036E,C27012_036M,C27012_037E,C27012_037M,C27012_038E,C27012_038M,C27012_039E,C27012_039M,C27012_040E,C27012_040M,C27012_041E,C27012_041M,C27012_042E,C27012_042M,C27012_043E,C27012_043M,C27012_044E,C27012_044M,C27012_045E,C27012_045M,C27012_046E,C27012_046M,NAME,C27012_001MA,C27012_001EA,C27012_002MA,C27012_002EA,C27012_003MA,C27012_003EA,C27012_004EA,C27012_004MA,C27012_005EA,C27012_005MA,C27012_006EA,C27012_006MA,C27012_007MA,C27012_007EA,C27012_008MA,C27012_008EA,C27012_009EA,C27012_009MA,C27012_010EA,C27012_010MA,C27012_011EA,C27012_011MA,C27012_012EA,C27012_012MA,C27012_013MA,C27012_013EA,C27012_014EA,C27012_014MA,C27012_015EA,C27012_015MA,C27012_016MA,C27012_016EA,C27012_017EA,C27012_017MA,C27012_018MA,C27012_018EA,C27012_019EA,C27012_019MA,C27012_020EA,C27012_020MA,C27012_021EA,C27012_021MA,C27012_022MA,C27012_022EA,C27012_023EA,C27012_023MA,C27012_024MA,C27012_024EA,C27012_025MA,C27012_025EA,C27012_026MA,C27012_026EA,C27012_027EA,C27012_027MA,C27012_028EA,C27012_028MA,C27012_029MA,C27012_029EA,C27012_030MA,C27012_030EA,C27012_031MA,C27012_031EA,C27012_032MA,C27012_032EA,C27012_033EA,C27012_033MA,C27012_034MA,C27012_034EA,C27012_035MA,C27012_035EA,C27012_036MA,C27012_036EA,C27012_037MA,C27012_037EA,C27012_038EA,C27012_038MA,C27012_039EA,C27012_039MA,C27012_040MA,C27012_040EA,C27012_041EA,C27012_041MA,C27012_042MA,C27012_042EA,C27012_043MA,C27012_043EA,C27012_044EA,C27012_044MA,C27012_045MA,C27012_045EA,C27012_046EA,C27012_046MA,state
0400000US28,2150922,2413,853871,12740,826427,12376,691969,11903,621459,11541,75685,5130,3746,1131,17946,2416,134458,7127,27444,2457,27073,2404,15415,2072,8307,1420,24206,2131,1042,416,371,324,468497,11221,430298,10418,264236,8363,189118,7508,38279,3192,6503,1544,36716,3384,166062,8179,38199,2752,37767,2729,13189,1703,13591,1664,37242,2728,3812,853,432,303,828554,12085,524393,11322,361665,9902,127674,6645,48965,3969,99554,5001,162145,7546,162728,7966,304161,3890,303619,3935,72940,4065,116191,4115,302137,3953,71754,3456,542,320,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4466134,4290,1889694,15018,1837278,14877,1639390,16009,1491872,15448,151425,6189,6964,1220,33831,3392,197888,7558,52416,3254,52340,3262,30963,2557,18599,2303,46195,3036,2494,677,76,69,1159601,15311,1061357,14848,757397,12499,539840,10943,131669,7502,18431,1909,93157,4665,303960,9800,98244,4667,97604,4696,34053,2909,41938,2776,95524,4562,5997,998,640,455,1416839,15596,763876,14083,583302,12893,255462,8535,92723,6319,140046,5447,195459,8675,180574,7180,652963,5138,650352,5113,207110,6351,279381,6871,646302,5281,83741,3837,2611,777,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,754107,1523,301021,6551,290930,6451,244606,6132,209394,6004,36671,3164,774,365,4904,1213,46324,3619,10091,1228,10027,1233,4425,1008,3946,816,9193,1201,535,310,64,106,232058,6308,208365,6127,142904,5564,96140,5175,33869,2675,3971,991,13644,2210,65461,4145,23693,1706,23379,1712,7345,1081,10054,1178,22648,1664,2051,627,314,240,221028,5490,112156,5255,82950,4959,35871,3148,18119,2137,16362,2055,23832,3056,29206,2981,108872,2088,108818,2085,32913,2172,53795,2653,107739,2151,10747,1533,54,55,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1343180,2056,646816,7349,624015,7211,557160,7542,487652,7459,73987,3764,1170,544,9989,1807,66855,4264,22801,1780,22678,1763,11266,1383,9481,1133,19531,1595,1392,457,123,136,372522,6178,331977,6068,252178,5620,175106,5524,52846,3274,6458,1348,26124,2988,79799,4593,40545,2175,40530,2172,11951,1352,22083,1848,40040,2236,2919,676,15,35,323842,6255,152287,5699,117727,5246,51437,3133,23837,2153,22494,2080,37669,3242,34560,3162,171555,2869,170988,2834,39616,2468,92123,2944,169862,2835,22640,2072,567,475,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2005224,2065,838100,12556,810039,12481,671951,11900,617876,12026,67055,5071,2483,1023,10446,1654,138088,7477,28061,2870,27577,2845,20126,2531,6381,1336,21979,2349,1141,494,484,397,515895,11627,478289,10790,287416,10376,219915,8379,49958,3425,4835,1156,28032,3214,190873,6518,37606,2904,36438,2817,15113,1974,10901,1604,34905,2701,2547,804,1168,637,651229,10250,393683,8968,241041,7424,128717,5444,41690,3814,40825,3782,58914,4505,152642,7235,257546,3880,252440,3777,80700,3718,72718,4317,249322,3923,34510,3259,5106,1900,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1016909,1266,460071,7034,447913,7027,406454,8185,380045,8308,30750,2913,1274,634,5423,1117,41459,3962,12158,1433,12128,1432,8433,941,3113,778,10514,1381,196,177,30,48,288748,6907,259703,6229,199076,5480,161076,5044,24835,2348,4202,1069,14058,1885,60627,4498,29045,2535,28955,2510,13110,1707,11937,1703,28314,2400,1544,516,90,98,268090,5597,136935,5180,108477,4377,57165,3196,15247,2202,25117,2372,29206,2614,28458,3085,131155,2943,130485,2982,50416,2851,58672,2821,129226,3026,12631,1647,670,409,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6636086,2887,2947777,20123,2838431,19726,2477450,19392,2313889,19410,181795,8688,8376,1502,76953,4901,360981,10754,109346,4063,107082,4047,80017,3573,23532,2137,88089,3506,5482,1046,2264,958,1592127,17155,1453890,17259,1102743,15165,865991,15211,150392,6563,17626,2155,132230,6605,351147,12417,138237,4535,136225,4561,70616,3415,49549,2890,131328,4552,8097,1173,2012,697,2096182,14781,1191645,13980,897772,12249,526769,10992,127334,5428,120521,4805,259689,8020,293873,10067,904537,6153,887112,6669,344374,7964,331695,7275,876602,6713,125735,6278,17425,2818,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1515041,2067,606119,11210,586198,10876,465455,11005,397317,9155,47465,4522,3028,1044,31238,3427,120743,6376,19921,2226,19444,2154,11671,1385,4317,1051,16601,2128,1142,517,477,361,364475,9973,336230,9885,215559,7620,131172,6370,35770,3082,4786,1035,50782,4286,120671,6505,28245,2381,27715,2329,12271,1566,8819,1389,27442,2306,2780,936,530,317,544447,8687,322864,8644,222231,8081,93259,5138,33154,3500,37519,3261,86850,5343,100633,6184,221583,3349,218970,3264,76236,3543,67313,3629,216117,3361,37433,3104,2613,801,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,14832620,3940,6286684,30563,6082115,30848,5317752,31620,4761405,31318,446439,12578,19531,2157,355914,12033,764363,18675,204569,6801,200521,6758,146036,5409,41948,3086,153819,6480,11243,1775,4048,1205,3558675,27763,3287459,26089,2556396,25279,1737206,20743,372223,10944,49045,3601,573012,15771,731063,16625,271216,7010,267562,6878,142811,4702,89211,3949,256393,6726,22351,2081,3654,1129,4987261,28798,2938360,26328,2392281,26107,1077314,18555,319869,10125,321248,9358,1077663,18649,546079,15442,2048901,10082,2029187,10650,785333,11123,608484,9940,2005923,10716,431051,9257,19714,2964,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,7080012,5136,2813418,17928,2741220,17212,2348849,19195,2104658,17976,253071,8294,7902,1221,50493,4410,392371,13633,72198,3718,71445,3751,43235,2886,22203,2263,62633,3412,4595,1152,753,468,1851795,20386,1705774,19572,1127611,17404,767125,14496,216668,6767,22596,2392,139921,6893,578163,15780,146021,5315,145323,5216,59708,3981,63506,3771,143069,5088,9987,1438,698,500,2414799,21864,1434147,20539,1018604,16303,435945,10152,156493,5901,220861,7489,342911,10876,415543,12447,980652,6711,975043,6642,312705,8342,396461,8476,968793,6640,145574,5871,5609,1533,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
