GEO_ID,C17001G_001E,C17001G_001M,C17001G_002E,C17001G_002M,C17001G_003E,C17001G_003M,C17001G_004E,C17001G_004M,C17001G_005E,C17001G_005M,C17001G_006E,C17001G_006M,C17001G_007E,C17001G_007M,C17001G_008E,C17001G_008M,C17001G_009E,C17001G_009M,C17001G_010E,C17001G_010M,C17001G_011E,C17001G_011M,C17001G_012E,C17001G_012M,C17001G_013E,C17001G_013M,C17001G_014E,C17001G_014M,C17001G_015E,C17001G_015M,C17001G_016E,C17001G_016M,C17001G_017E,C17001G_017M,C17001G_018E,C17001G_018M,C17001G_019E,C17001G_019M,NAME,C17001G_001MA,C17001G_001EA,C17001G_002EA,C17001G_002MA,C17001G_003EA,C17001G_003MA,C17001G_004MA,C17001G_004EA,C17001G_005MA,C17001G_005EA,C17001G_006MA,C17001G_006EA,C17001G_007EA,C17001G_007MA,C17001G_008EA,C17001G_008MA,C17001G_009MA,C17001G_009EA,C17001G_010MA,C17001G_010EA,C17001G_011MA,C17001G_011EA,C17001G_012EA,C17001G_012MA,C17001G_013EA,C17001G_013MA,C17001G_014MA,C17001G_014EA,C17001G_015MA,C17001G_015EA,C17001G_016MA,C17001G_016EA,C17001G_017EA,C17001G_017MA,C17001G_018EA,C17001G_018MA,C17001G_019EA,C17001G_019MA,state
0400000US01,63274,4403,17784,2607,7982,1870,5613,1820,2303,619,66,81,9802,1628,4802,1178,4397,1011,603,377,45490,3962,24638,2757,10596,2160,12105,1895,1937,616,20852,2919,10369,1967,8893,1547,1590,559,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48669,4261,6085,1844,3351,1002,2204,961,1081,423,66,120,2734,1098,930,567,1804,738,0,246,42584,3933,22873,2453,11962,1980,10250,1363,661,371,19711,2595,8823,1551,10573,1659,315,178,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,165340,10065,28748,4414,12848,2709,7129,1953,5473,1469,246,192,15900,2732,6901,1690,8334,1695,665,477,136592,9013,68271,6051,36631,4425,29622,3390,2018,643,68321,4851,35373,3773,29390,2506,3558,830,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47807,4149,14595,2666,6479,1533,4203,1150,2238,925,38,72,8116,1874,4855,1438,2966,852,295,222,33212,3620,16183,2286,5919,1132,8919,1663,1345,635,17029,2545,8166,1766,7798,1398,1065,509,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1534073,31596,234546,14933,112114,9002,54588,6641,53993,4400,3533,871,122432,8369,53703,5065,61470,4704,7259,1328,1299527,29216,655990,16670,304058,11397,322155,8551,29777,2605,643537,16679,272899,9567,333523,11488,37115,2494,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165894,8639,28984,4130,13845,2333,7407,1827,6165,1336,273,291,15139,2636,6895,1597,7834,1564,410,276,136910,8116,68990,5307,34719,3459,32028,3036,2243,613,67920,4489,32717,3210,32543,3000,2660,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85853,6459,12835,2621,6031,1608,4108,1316,1859,771,64,105,6804,1592,2975,1014,3668,977,161,158,73018,5665,34467,3493,18965,2283,14377,2079,1125,452,38551,3699,18978,2257,18268,2186,1305,486,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22267,3445,2909,1077,1309,700,915,600,362,302,32,53,1600,694,381,359,956,632,263,327,19358,3373,9779,1881,5439,1496,3953,841,387,239,9579,2088,4935,1480,4156,1021,488,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11446,1991,1419,732,364,291,58,97,173,160,133,218,1055,549,69,112,783,476,203,193,10027,1901,5123,1105,1410,595,3557,901,156,148,4904,1261,1693,799,2668,618,543,435,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,396217,15914,78345,7351,36073,5134,20440,3838,14600,2177,1033,436,42272,4127,19514,3170,19471,2722,3287,956,317872,14573,158534,8561,72497,5833,77151,4965,8886,1404,159338,9359,62058,5260,86206,5883,11074,1829,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
