GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001MA,C17006_001EA,C17006_002MA,C17006_002EA,C17006_003EA,C17006_003MA,C17006_004MA,C17006_004EA,C17006_005MA,C17006_005EA,C17006_006EA,C17006_006MA,C17006_007MA,C17006_007EA,state
0400000US01,1116622,3967,306856,11820,81674,7926,225182,11770,809766,11971,604206,11666,205560,10708,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,183018,1823,22786,2843,6735,1679,16051,2465,160232,3443,121698,5204,38534,3797,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1597013,4484,384050,17889,158137,11131,225913,13505,1212963,18790,875010,20027,337953,14331,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,694804,3537,188742,9333,56732,6100,132010,7993,506062,9284,379787,8295,126275,7045,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9111552,10767,1970429,38203,847777,23778,1122652,30686,7141123,39708,5384272,42830,1756851,33180,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1207888,3702,205700,11545,74006,7512,131694,9171,1002188,11762,781280,10908,220908,9707,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,804089,2527,101791,7725,23866,4219,77925,7198,702298,7588,528387,9861,173911,8121,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,201920,1496,36029,4390,10357,3202,25672,4123,165891,4225,120534,4586,45357,4542,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,100061,733,30263,3864,2469,1306,27794,3701,69798,3717,38740,3354,31058,3354,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3917931,7839,907507,22633,291988,15991,615519,21700,3010424,22452,2146858,23935,863566,20570,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2448880,6533,602400,16404,195283,12244,407117,16000,1846480,16789,1359067,18521,487413,13900,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,295506,1872,39187,5126,13450,3349,25737,4123,256319,5252,197931,6855,58388,5222,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,421414,2070,78569,5444,39050,5208,39519,4791,342845,5960,278674,7374,64171,5298,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3077000,3985,590949,16383,194761,12376,396188,14456,2486051,16592,1908671,20407,577380,15731,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1567506,4695,333299,13388,106117,8770,227182,11742,1234207,13129,935641,15151,298566,10388,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,706094,3208,112011,7546,38653,4843,73358,6209,594083,7440,471536,9086,122547,6522,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,710973,3305,127838,9024,41788,5760,86050,7822,583135,9858,458919,10987,124216,7319,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,994319,4105,257538,11053,86211,6304,171327,9734,736781,10065,573017,10656,163764,7602,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1095245,6015,296640,11825,58054,7210,238586,11135,798605,10908,563850,10903,234755,10237,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,266880,1672,46717,4013,14111,2726,32606,3392,220163,4109,163268,6112,56895,4766,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1323900,4352,168385,10883,38021,6455,130364,9308,1155515,11376,836733,13612,318782,12241,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1393027,3356,194138,9762,38380,4303,155758,9715,1198889,10725,928938,12666,269951,10568,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2283729,4906,526494,14802,172266,9083,354228,12047,1757235,15336,1350240,16131,406995,12729,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1259378,3213,186197,8910,60905,6291,125292,7575,1073181,8884,859314,11746,213867,9603,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,740066,3060,239061,11034,57235,6815,181826,10897,501005,11018,359629,9771,141376,7992,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1384565,5145,284430,11619,90062,8024,194368,10278,1100135,12355,841691,13672,258444,10749,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,216460,1651,42014,4628,16309,3267,25705,3770,174446,4715,138599,5555,35847,4008,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,448218,2762,79551,7003,30127,4962,49424,5584,368667,6345,293188,6522,75479,4725,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,652586,2049,141085,10408,56108,7598,84977,9339,511501,10157,368539,10955,142962,8971,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,280386,1842,27180,3994,6436,1938,20744,3558,253206,4278,200585,5466,52621,4940,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2032140,4489,288635,12679,87489,8799,201146,10929,1743505,13889,1366949,15096,376556,13513,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,509342,3054,151198,9307,55366,6363,95832,8634,358144,9681,248454,8930,109690,6606,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4226481,7366,885969,21265,309624,14452,576345,16995,3340512,20781,2465516,23162,874996,21836,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2241958,5714,550662,17288,175490,13253,375172,15218,1691296,16236,1270318,18975,420978,15511,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,147857,1193,23393,3085,7977,1950,15416,2150,124464,3054,103073,3272,21391,2418,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2662680,5516,611697,16069,179511,12790,432186,15435,2050983,16116,1566355,19229,484628,14731,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,911711,3197,223039,9983,77380,6260,145659,9349,688672,10257,528530,9693,160142,6951,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,846416,3369,178070,8009,65598,6647,112472,8107,668346,8455,518813,11423,149533,10076,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2729434,5535,511926,16549,138216,8365,373710,14461,2217508,15711,1694547,17693,522961,13090,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,220628,1291,41199,4840,10974,3593,30225,4077,179429,4812,131907,4499,47522,5036,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1061473,3811,274166,12722,70226,7238,203940,12701,787307,12999,569630,13785,217677,10287,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
