GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,NAME,B13014_001MA,B13014_001EA,B13014_002EA,B13014_002MA,B13014_003MA,B13014_003EA,B13014_004MA,B13014_004EA,B13014_005EA,B13014_005MA,B13014_006MA,B13014_006EA,B13014_007EA,B13014_007MA,B13014_008EA,B13014_008MA,B13014_009EA,B13014_009MA,B13014_010MA,B13014_010EA,B13014_011EA,B13014_011MA,B13014_012MA,B13014_012EA,B13014_013MA,B13014_013EA,B13014_014MA,B13014_014EA,B13014_015EA,B13014_015MA,B13014_016MA,B13014_016EA,B13014_017EA,B13014_017MA,B13014_018MA,B13014_018EA,B13014_019MA,B13014_019EA,B13014_020EA,B13014_020MA,B13014_021MA,B13014_021EA,B13014_022EA,B13014_022MA,B13014_023EA,B13014_023MA,B13014_024MA,B13014_024EA,B13014_025MA,B13014_025EA,B13014_026EA,B13014_026MA,B13014_027EA,B13014_027MA,state
0400000US01,1174012,4189,66243,4226,36439,3180,3935,1188,8544,1800,11287,1951,7267,1240,5406,1204,29804,3013,8464,1457,10207,2094,10204,1705,625,431,304,239,1107769,5691,506722,10338,58789,4589,128057,5030,180998,6659,94965,4991,43913,2878,601047,11340,167826,5464,133481,6141,218631,8801,59821,4155,21288,2113,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,177281,1793,12494,1786,8507,1666,1137,660,2171,841,2751,1002,1736,699,712,405,3987,767,1106,447,1455,425,1316,589,110,145,0,246,164787,2287,81585,3032,5090,1228,17404,2006,32128,2696,18540,2056,8423,1433,83202,3621,21816,1505,18821,2161,30141,2953,9967,1575,2457,627,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1527153,3857,86210,4956,50632,3628,8243,1800,10416,1799,18167,2139,9636,1497,4170,1003,35578,3696,9357,1967,11452,2190,13122,2241,1511,595,136,161,1440943,6650,655005,10411,87684,4878,141584,6951,244233,7551,124100,5500,57404,3587,785938,10161,223591,6251,161361,6936,284688,8782,83389,5374,32909,3112,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,697187,4255,37344,3196,22740,2505,2440,930,5790,1386,8678,1675,4082,1035,1750,558,14604,2123,3309,974,5905,1448,4678,1220,639,413,73,122,659843,5319,320189,6796,39688,3612,91752,4397,112681,4559,54247,3364,21821,2602,339654,6852,96958,4289,87443,5016,117458,5708,29117,2854,8678,1710,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9517677,8957,508113,12820,335864,10276,57318,4489,65291,5258,94589,5134,74838,4461,43828,3043,172249,7875,56971,4438,48142,4349,54501,4489,9963,1698,2672,927,9009564,16738,3978491,22798,742862,14416,765216,14716,1192219,17266,846553,15227,431641,10675,5031073,24012,1358353,15168,918650,17926,1748773,19549,743910,14464,261387,8106,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1257790,4477,68838,4408,48337,3694,5931,1227,7404,1394,14059,1983,13423,1545,7520,1292,20501,2477,5544,1510,7687,1694,5987,1293,1058,537,225,261,1188952,6601,574488,8988,54947,3366,108250,5282,179182,6333,156333,6050,75776,4429,614464,10267,142918,4658,116033,5517,203680,8073,114514,6114,37319,3072,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,872153,2859,42002,3265,28557,2746,2631,1000,5176,1288,6324,1177,7387,1115,7039,1107,13445,1992,2943,834,4645,1245,4882,1262,550,283,425,252,830151,4250,361774,7334,22464,3163,74914,4590,98393,4625,99660,4852,66343,3496,468377,7179,110162,3859,97153,5013,153115,5987,74282,4475,33665,2703,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,221127,1577,9902,1749,5693,1018,395,280,1037,560,1641,674,1335,455,1285,421,4209,1203,1088,660,852,442,2095,887,174,158,0,265,211225,2296,90090,3537,7544,1305,23028,2121,27968,2477,19145,1788,12405,1583,121135,3872,31104,2601,28343,2706,39523,3173,16261,1942,5904,1219,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,186080,1077,9098,1634,4250,1009,0,292,329,261,473,341,1405,584,2043,700,4848,1311,1161,616,1332,580,1469,670,776,562,110,123,176982,2114,37802,2771,2989,808,4801,1187,5533,1192,11177,1653,13302,1543,139180,3307,19298,2246,24089,2822,33983,3469,37415,2885,24395,2556,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418652,6592,211737,10946,125965,6756,11750,1907,28808,3725,41192,3660,29861,3168,14354,2162,85772,7036,22260,3893,31472,3799,26784,2822,3490,1155,1766,674,4206915,12631,1821564,18398,179906,7622,473957,9717,621075,12160,378859,9763,167767,7295,2385351,21734,582268,9567,557468,11717,835791,17139,299481,10090,110343,5488,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
