GEO_ID,B17003_001E,B17003_001M,B17003_002E,B17003_002M,B17003_003E,B17003_003M,B17003_004E,B17003_004M,B17003_005E,B17003_005M,B17003_006E,B17003_006M,B17003_007E,B17003_007M,B17003_008E,B17003_008M,B17003_009E,B17003_009M,B17003_010E,B17003_010M,B17003_011E,B17003_011M,B17003_012E,B17003_012M,B17003_013E,B17003_013M,B17003_014E,B17003_014M,B17003_015E,B17003_015M,B17003_016E,B17003_016M,B17003_017E,B17003_017M,B17003_018E,B17003_018M,B17003_019E,B17003_019M,B17003_020E,B17003_020M,B17003_021E,B17003_021M,B17003_022E,B17003_022M,B17003_023E,B17003_023M,NAME,B17003_001MA,B17003_001EA,B17003_002EA,B17003_002MA,B17003_003EA,B17003_003MA,B17003_004EA,B17003_004MA,B17003_005EA,B17003_005MA,B17003_006MA,B17003_006EA,B17003_007EA,B17003_007MA,B17003_008EA,B17003_008MA,B17003_009MA,B17003_009EA,B17003_010EA,B17003_010MA,B17003_011MA,B17003_011EA,B17003_012EA,B17003_012MA,B17003_013MA,B17003_013EA,B17003_014MA,B17003_014EA,B17003_015EA,B17003_015MA,B17003_016MA,B17003_016EA,B17003_017EA,B17003_017MA,B17003_018MA,B17003_018EA,B17003_019MA,B17003_019EA,B17003_020EA,B17003_020MA,B17003_021EA,B17003_021MA,B17003_022EA,B17003_022MA,B17003_023MA,B17003_023EA,state
0400000US01,3101696,5321,446773,11534,170277,7104,66778,4240,60184,4297,30897,2954,12418,1743,276496,8367,94376,4872,91468,5193,74950,5005,15702,1941,2654923,12242,1287855,7332,196557,6803,408168,9480,368285,7930,314845,7748,1367068,9121,179416,6653,408434,8562,431994,8512,347224,7652,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445152,1918,32896,3052,14918,1596,3893,947,5481,996,4349,936,1195,531,17978,2221,3056,749,5507,1148,7039,1334,2376,733,412256,3645,215440,2333,17032,2078,58751,3560,79468,3367,60189,3572,196816,2400,15239,1493,41963,2546,78037,3448,61577,3119,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4076842,3281,537880,16909,235945,9306,78587,5695,73875,5728,62173,4016,21310,2563,301935,11076,94333,6888,88815,5733,91261,5931,27526,2893,3538962,17379,1731773,9688,202647,7715,415197,10667,590287,11763,523642,11240,1807189,10911,198388,6984,439244,9621,673015,10699,496542,8942,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1878347,5452,260678,8745,106726,4660,36172,2881,42345,3305,22109,2429,6100,1307,153952,5971,46916,3380,57600,3474,41008,3259,8428,1451,1617669,9462,792019,7094,120871,4105,274402,6488,220095,7289,176651,5860,825650,7224,106883,4428,275935,6921,261573,6497,181259,6370,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23748694,6998,2920138,34460,1269830,20685,492949,13910,320151,10862,290255,10170,166475,6579,1650308,22019,651772,15437,400095,10615,409874,10714,188567,7398,20828556,34831,10228933,22379,1733587,24033,2066810,23044,3032001,27387,3396535,23215,10599623,21889,1655051,19836,2119275,20800,3355547,24173,3469750,26794,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3272742,4382,328599,10733,143494,6749,37381,3739,42129,3871,39032,3321,24952,2594,185105,7177,44829,4068,53237,3939,56406,4195,30633,2820,2944143,11327,1462968,8096,129718,6697,323906,7544,435831,9566,573513,8460,1481175,7779,113355,5177,320484,7762,470323,10042,577013,9065,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2388444,2215,198421,9097,80586,4771,24662,2741,30920,3038,12534,1746,12470,2393,117835,6007,30847,3195,39653,3580,30837,2596,16498,2331,2190023,9270,1049918,4979,107502,4813,293386,7276,243298,6795,405732,8155,1140105,6358,100258,5302,304287,8225,309227,7833,426333,8970,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,590062,1390,51461,4172,19870,2284,7309,1349,6606,1321,3975,1159,1980,697,31591,2869,8294,1428,13523,2103,7131,1158,2643,922,538601,4426,257026,2497,28733,2793,82845,3854,68659,3735,76789,3713,281575,3052,26306,2562,88835,4091,81951,4313,84483,3374,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,408792,1264,56836,3839,21979,2764,5283,1232,7470,1452,2284,780,6942,1828,34857,2387,9438,1491,11919,1699,6750,1401,6750,1321,351956,3641,168279,2917,19254,2187,29845,3029,26434,2925,92746,3317,183677,2379,16072,1584,32767,2964,34090,2739,100748,3177,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12858712,8204,1707756,25104,735563,14433,236946,10537,256237,9443,157899,6481,84481,4917,972193,17637,274312,9746,340568,11873,253752,9365,103561,7271,11150956,27509,5368946,16117,685637,14004,1535528,18047,1569130,17879,1578651,18564,5782010,18975,620876,13977,1703380,18689,1868794,19531,1588960,16426,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
