GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001MA,C08105G_001EA,C08105G_002EA,C08105G_002MA,C08105G_003MA,C08105G_003EA,C08105G_004MA,C08105G_004EA,C08105G_005EA,C08105G_005MA,C08105G_006MA,C08105G_006EA,state
0400000US01,16804,2186,13331,1706,2389,887,0,273,653,376,431,321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16203,2322,10342,1735,3047,978,245,187,1994,615,575,302,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,48058,3958,36645,3477,5792,1406,1445,748,2604,896,1572,648,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14014,1850,11314,1769,1640,726,150,291,525,330,385,288,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,502315,13056,361255,10640,63332,5129,26320,3146,25067,2804,26341,2785,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55606,3876,41889,3567,5053,1337,2912,930,2904,804,2848,1001,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,27936,2964,20450,2642,2480,863,1376,632,2799,1011,831,432,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6058,1280,4755,1177,851,500,42,73,46,71,364,309,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5604,1147,1985,648,402,311,2250,674,884,520,83,135,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,132142,7744,100203,7109,16491,2966,2339,898,8204,2022,4905,1285,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46877,4063,35615,3474,5444,1371,980,581,2632,1045,2206,778,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,125738,6083,87295,5035,19280,2662,6260,1165,7503,1627,5400,1549,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9713,1589,8167,1505,658,410,59,101,453,274,376,267,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,69216,5774,45559,4378,7614,1757,7643,1451,4786,1137,3614,956,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,33243,3579,25229,3207,5112,1336,543,290,1894,714,465,279,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15945,2147,9915,1682,3217,1023,657,512,1633,943,523,355,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26110,2688,18841,2407,4574,1370,400,333,1777,690,518,261,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16567,2383,12253,1959,2467,891,279,240,552,322,1016,678,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22782,2415,16334,1964,3342,1121,500,421,2352,1215,254,224,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6155,1194,5161,1135,676,366,58,78,154,129,106,115,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,53711,4405,37599,3938,6630,1418,5276,1109,2429,1063,1777,732,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,70117,6746,36840,3678,9116,2427,13931,3105,7977,2370,2253,882,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,59792,3589,44574,3245,6677,1251,1923,637,4609,1324,2009,662,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35890,3158,25044,2920,3332,866,4103,1213,1824,523,1587,557,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7330,1541,5251,1319,1397,699,113,174,334,189,235,294,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40114,3699,28346,3153,7188,1941,667,448,1687,713,2226,752,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7229,1167,4441,929,1462,721,0,237,806,452,520,397,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,13233,1825,10324,1545,1956,764,0,228,439,255,514,400,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
