GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001EA,B13002A_001MA,B13002A_002MA,B13002A_002EA,B13002A_003EA,B13002A_003MA,B13002A_004MA,B13002A_004EA,B13002A_005MA,B13002A_005EA,B13002A_006EA,B13002A_006MA,B13002A_007MA,B13002A_007EA,state
0400000US01,773585,3639,38590,3234,27063,2717,11527,1828,734995,4202,393255,8392,341740,8097,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116354,1200,7080,1421,5689,1315,1391,584,109274,1788,60970,2585,48304,2883,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1168992,9476,61966,4091,38976,3566,22990,2801,1107026,10757,522750,10495,584276,9747,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,526648,3142,26506,2253,18951,1992,7555,1529,500142,4045,265171,5721,234971,6467,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5648064,23434,290951,9232,197026,6885,93925,6288,5357113,25508,2421926,18560,2935187,25098,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1036871,6335,53086,3784,38984,3296,14102,2035,983785,7441,483945,8237,499840,9316,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,646981,4467,28319,2668,21416,2361,6903,1303,618662,4912,289858,6327,328804,6916,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,148665,1880,6111,1148,4223,989,1888,606,142554,2185,65643,2959,76911,3203,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,84057,1411,2805,909,2330,698,475,432,81252,1670,21263,2107,59989,2417,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3198034,11005,140078,8230,93410,6023,46668,4595,3057956,13047,1418292,15906,1639664,18423,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1431565,5926,78071,4933,59610,4044,18461,2791,1353494,7636,726365,9332,627129,8978,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,73178,1676,4548,1161,4074,1063,474,343,68630,1877,34826,1985,33804,2350,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,337190,2753,20947,2286,15543,1995,5404,1336,316243,3287,166913,4294,149330,4840,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2240776,9790,119120,5656,87811,4972,31309,3060,2121656,9849,1018890,9684,1102766,11951,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1319181,4090,68235,3979,45898,3573,22337,2381,1250946,5567,610171,8269,640775,8190,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,641946,2865,34935,2390,25414,2227,9521,1254,607011,3718,303391,4889,303620,5459,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,570777,3253,31229,2308,22317,1681,8912,1667,539548,4156,273938,6259,265610,6125,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,924871,3476,49267,3320,33041,2905,16226,1998,875604,4356,442092,7858,433512,8347,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,676714,2778,35369,3015,23547,2166,11822,2037,641345,4079,323782,6978,317563,6862,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,291486,1340,13265,1840,8151,1342,5114,1229,278221,2428,128871,3687,149350,4023,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,811417,4784,41961,3443,33365,3212,8596,1770,769456,6005,388106,6473,381350,7024,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1301071,5206,56878,3622,41626,2606,15252,2183,1244193,6548,529118,7712,715075,8204,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1825643,4633,92989,4686,63553,4105,29436,2603,1732654,6490,826798,9326,905856,9764,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1092509,3298,56454,3238,41792,2587,14662,1813,1036055,4487,511021,6461,525034,6552,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,405684,2711,23389,2735,18070,2434,5319,1142,382295,4164,209084,6015,173211,6107,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1175816,3718,63694,4406,43422,3446,20272,2050,1112122,6024,552983,7341,559139,7357,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,197751,1620,11976,1564,9251,1309,2725,877,185775,2384,91924,3312,93851,3275,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,380131,2478,24231,2507,17068,1969,7163,1401,355900,3262,182642,4345,173258,5079,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,461696,4689,27534,3009,18683,2572,8851,1896,434162,5562,207026,6561,227136,6594,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
