GEO_ID,C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,NAME,C15002_001EA,C15002_001MA,C15002_002MA,C15002_002EA,C15002_003EA,C15002_003MA,C15002_004EA,C15002_004MA,C15002_005MA,C15002_005EA,C15002_006MA,C15002_006EA,C15002_007EA,C15002_007MA,C15002_008EA,C15002_008MA,C15002_009MA,C15002_009EA,C15002_010EA,C15002_010MA,C15002_011MA,C15002_011EA,C15002_012MA,C15002_012EA,C15002_013EA,C15002_013MA,C15002_014MA,C15002_014EA,C15002_015EA,C15002_015MA,C15002_016MA,C15002_016EA,C15002_017MA,C15002_017EA,state
0400000US01,3161521,5158,1496299,3390,100947,4652,179597,6916,481761,9696,316825,7903,88328,4397,210128,6920,118713,4954,1665222,3741,94619,4980,189713,7832,506444,9841,373538,8918,137054,5571,229735,7140,134119,4640,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450577,1719,234264,1532,6749,1199,14939,2082,66179,3729,67923,2998,16868,1941,38997,2987,22609,2163,216313,1124,5959,944,12729,1598,47876,2581,65294,3205,20238,2081,44349,2811,19868,2327,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4146758,3096,2023886,2551,128647,6617,170735,7237,507280,12064,514804,10384,153981,6955,354409,8835,194030,7757,2122872,2474,132814,5445,163155,7824,532917,10921,585421,10357,182969,7200,337480,8029,188116,6966,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1919422,5349,923077,3982,63162,3906,103184,5194,325450,6242,199946,6956,47814,3747,124538,5221,58983,3291,996345,3650,58342,3441,102736,5184,338626,7372,232247,6095,73897,4278,128350,5141,62147,4342,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24097200,5727,11750261,4716,1212973,17910,1102375,19070,2464282,24187,2567814,24894,822526,14451,2204766,21258,1375525,16018,12346939,4858,1321978,17299,1012716,16850,2548131,20485,2783993,24827,1009141,15553,2406109,23674,1264871,15743,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3328045,3818,1645135,3237,74184,4605,106012,5677,380158,8652,365231,9367,117689,5538,379160,8788,222701,6596,1682910,3145,67722,4043,95514,5215,379168,8113,388093,8678,143044,5728,399895,8316,209474,6761,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2434383,1628,1154728,1506,56762,4386,82527,4869,333898,7394,193438,6270,67671,4009,240017,7224,180415,6136,1279655,1314,55152,3625,82567,4636,353720,8727,237973,7047,105376,4755,251973,7281,192894,6207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,600779,1136,283923,823,12001,1916,26795,2472,92080,3634,55800,3413,17758,1985,45374,2867,34115,2554,316856,1077,11092,1692,24233,2531,104079,4123,64245,3880,25628,2967,54026,3369,33553,2297,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,416824,662,195701,605,10331,2038,15581,1849,38963,2991,24433,2795,5714,1434,45599,2883,55080,3099,221123,485,9337,1419,17143,1804,45606,3239,33269,2908,7623,1478,50974,2749,57171,2844,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13077179,7576,6259662,6231,380203,12380,603982,14687,1847485,19886,1277399,16820,478069,12804,1050211,15225,622313,10963,6817517,4967,370808,12035,544058,14065,2069099,19676,1491394,17998,643431,13896,1121665,16803,577062,11013,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
