GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001EA,B08007_001MA,B08007_002MA,B08007_002EA,B08007_003MA,B08007_003EA,B08007_004EA,B08007_004MA,B08007_005EA,B08007_005MA,B08007_006MA,B08007_006EA,B08007_007EA,B08007_007MA,B08007_008EA,B08007_008MA,B08007_009EA,B08007_009MA,B08007_010EA,B08007_010MA,B08007_011MA,B08007_011EA,B08007_012MA,B08007_012EA,B08007_013EA,B08007_013MA,B08007_014MA,B08007_014EA,B08007_015EA,B08007_015MA,state
0400000US01,1951769,16535,1871694,15620,1421523,16268,450171,12072,80075,3932,1029051,10587,978545,10168,712918,10617,265627,7677,50506,3114,922718,11872,893149,11618,708605,11112,184544,7481,29569,2289,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,343424,5810,342570,5753,319898,6099,22672,2184,854,495,192156,3687,191603,3660,174602,3705,17001,1808,553,412,151268,4184,150967,4181,145296,4316,5671,995,301,229,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2621839,20723,2575626,20888,2464019,19775,111607,6700,46213,3360,1399516,12270,1368204,12541,1303427,12074,64777,4543,31312,2516,1222323,14093,1207422,14129,1160592,13109,46830,4266,14901,1883,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1225968,11423,1179702,11714,915642,10595,264060,7937,46266,4029,638640,7619,609553,7641,462552,7659,147001,5972,29087,3081,587328,8375,570149,8493,453090,8419,117059,4369,17179,2157,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15921475,45956,15845311,46737,13208839,48878,2636472,21842,76164,4348,8663138,32317,8612208,33244,7014439,36294,1597769,19197,50930,3948,7258337,30448,7233103,30549,6194400,29368,1038703,14254,25234,2406,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2428102,16248,2396675,16639,1598152,15477,798523,13675,31427,3220,1302095,10584,1278984,10822,829572,10799,449412,9866,23111,2802,1126007,11671,1117691,11863,768580,10631,349111,7349,8316,1568,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1707618,10144,1606875,11002,1257821,12498,349054,8650,100743,4231,880522,7624,817592,8026,627395,9634,190197,5938,62930,3368,827096,8017,789283,8138,630426,9397,158857,5977,37813,3077,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,404044,6800,348902,7082,324927,7222,23975,2750,55142,4088,202032,4319,168075,4494,154637,4880,13438,1747,33957,2757,202012,5137,180827,5344,170290,5052,10537,1691,21185,2315,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,296717,5055,219106,5150,219106,5150,0,292,77611,4396,145302,3187,103386,3901,103386,3901,0,292,41916,3396,151415,3848,115720,3629,115720,3629,0,292,35695,2830,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7865975,28271,7767864,29225,6399051,30169,1368813,19965,98111,5793,4069941,22098,3998181,22898,3225585,20512,772596,15770,71760,4691,3796034,22701,3769683,22394,3173466,22202,596217,13684,26351,2755,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4118024,22215,3999968,22842,2405133,22096,1594835,21275,118056,5359,2161139,15626,2083897,16084,1212912,15778,870985,14685,77242,4747,1956885,16365,1916071,16682,1192221,14496,723850,13189,40814,3008,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
