GEO_ID,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,NAME,B02001_001EA,B02001_001MA,B02001_002EA,B02001_002MA,B02001_003MA,B02001_003EA,B02001_004MA,B02001_004EA,B02001_005MA,B02001_005EA,B02001_006MA,B02001_006EA,B02001_007MA,B02001_007EA,B02001_008MA,B02001_008EA,B02001_009MA,B02001_009EA,B02001_010MA,B02001_010EA,state
0400000US01,4785298,-555555555,3324276,6847,1262980,5127,27768,3139,52789,2754,606,300,51693,6476,65186,4432,4282,1396,60904,4238,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713985,-555555555,481446,2499,24711,1612,104539,3544,39118,3257,7638,890,6496,1747,50037,4222,2194,757,47843,4260,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6413737,-555555555,5095378,24661,264009,5590,285768,6634,174039,4937,12180,2722,412806,22842,169557,10122,38775,4944,130782,8657,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2921606,-555555555,2289695,6567,464411,3749,18625,2295,33240,2165,5090,709,61388,6531,49157,4194,5415,1562,43742,3939,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37349363,-555555555,23322954,69327,2246353,14331,281908,12716,4900963,16077,142932,5392,4885973,67184,1568280,32388,381660,16369,1186620,26703,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5049071,-555555555,4208365,17302,198117,4670,49608,5624,133796,4212,4922,1290,282026,15805,172237,8592,32757,4234,139480,7106,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3577073,-555555555,2797956,10233,356880,5421,5634,1359,134338,2644,1317,582,189961,10472,90987,6379,20812,3744,70175,5627,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,899769,-555555555,636052,4915,191626,2650,2470,1106,27482,1348,1191,912,17852,3914,23096,3436,3742,1462,19354,3224,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,604453,-555555555,242905,4030,309221,2659,1927,750,21552,966,233,224,16825,3775,11790,2050,1887,647,9903,2008,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18843326,-555555555,14411461,32433,2997377,15337,67854,6928,452580,7409,11525,2188,495530,25289,406999,16059,82745,6587,324254,14660,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
