GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002MA,C02003_002EA,C02003_003MA,C02003_003EA,C02003_004MA,C02003_004EA,C02003_005EA,C02003_005MA,C02003_006EA,C02003_006MA,C02003_007MA,C02003_007EA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010EA,C02003_010MA,C02003_011EA,C02003_011MA,C02003_012EA,C02003_012MA,C02003_013MA,C02003_013EA,C02003_014MA,C02003_014EA,C02003_015MA,C02003_015EA,C02003_016MA,C02003_016EA,C02003_017EA,C02003_017MA,C02003_018MA,C02003_018EA,C02003_019MA,C02003_019EA,state
0400000US01,4785298,-555555555,4720112,4432,3324276,6847,1262980,5127,27768,3139,52789,2754,606,300,51693,6476,65186,4432,4282,1396,60904,4238,62383,4174,20366,3575,22449,2375,9299,2370,3304,1296,6965,1604,2803,1119,0,273,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,713985,-555555555,663948,4222,481446,2499,24711,1612,104539,3544,39118,3257,7638,890,6496,1747,50037,4222,2194,757,47843,4260,45015,4242,3770,1141,26761,3199,6780,1774,1633,835,6071,1683,4790,1543,232,221,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6413737,-555555555,6244180,10122,5095378,24661,264009,5590,285768,6634,174039,4937,12180,2722,412806,22842,169557,10122,38775,4944,130782,8657,159109,9825,33438,4905,34941,4731,37496,4790,3575,1464,49659,5766,9590,1870,858,537,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2921606,-555555555,2872449,4194,2289695,6567,464411,3749,18625,2295,33240,2165,5090,709,61388,6531,49157,4194,5415,1562,43742,3939,46392,3958,12910,2433,21512,2142,3873,1192,625,436,7472,2054,2765,1083,0,273,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37349363,-555555555,35781083,32388,23322954,69327,2246353,14331,281908,12716,4900963,16077,142932,5392,4885973,67184,1568280,32388,381660,16369,1186620,26703,1435917,29945,204918,14012,243256,11260,411508,11038,42149,7101,534086,17300,119919,8046,12444,2545,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5049071,-555555555,4876834,8592,4208365,17302,198117,4670,49608,5624,133796,4212,4922,1290,282026,15805,172237,8592,32757,4234,139480,7106,153751,8067,28341,3377,43477,3837,35712,3810,2381,910,43840,4686,17290,3652,1196,696,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3577073,-555555555,3486086,6379,2797956,10233,356880,5421,5634,1359,134338,2644,1317,582,189961,10472,90987,6379,20812,3744,70175,5627,83570,5379,28155,4156,11073,1525,14880,2349,5729,1734,23733,3974,6942,2500,475,784,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,899769,-555555555,876673,3436,636052,4915,191626,2650,2470,1106,27482,1348,1191,912,17852,3914,23096,3436,3742,1462,19354,3224,22248,3366,7780,2366,3882,1078,4265,1266,1539,842,4782,1558,700,412,148,245,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,604453,-555555555,592663,2050,242905,4030,309221,2659,1927,750,21552,966,233,224,16825,3775,11790,2050,1887,647,9903,2008,10340,1835,2183,864,928,599,3201,899,1120,536,2908,996,1328,731,122,108,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18843326,-555555555,18436327,16059,14411461,32433,2997377,15337,67854,6928,452580,7409,11525,2188,495530,25289,406999,16059,82745,6587,324254,14660,377246,14457,127391,9281,60856,4444,65289,6042,11061,3011,112649,9154,27282,4568,2471,1280,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
