GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001EA,B27001H_001MA,B27001H_002EA,B27001H_002MA,B27001H_003EA,B27001H_003MA,B27001H_004MA,B27001H_004EA,B27001H_005MA,B27001H_005EA,B27001H_006EA,B27001H_006MA,B27001H_007MA,B27001H_007EA,B27001H_008EA,B27001H_008MA,B27001H_009EA,B27001H_009MA,B27001H_010MA,B27001H_010EA,B27001H_011MA,B27001H_011EA,B27001H_012EA,B27001H_012MA,B27001H_013EA,B27001H_013MA,B27001H_014EA,B27001H_014MA,B27001H_015MA,B27001H_015EA,B27001H_016MA,B27001H_016EA,B27001H_017MA,B27001H_017EA,B27001H_018MA,B27001H_018EA,B27001H_019EA,B27001H_019MA,B27001H_020EA,B27001H_020MA,B27001H_021MA,B27001H_021EA,B27001H_022EA,B27001H_022MA,B27001H_023EA,B27001H_023MA,B27001H_024EA,B27001H_024MA,B27001H_025EA,B27001H_025MA,B27001H_026MA,B27001H_026EA,B27001H_027MA,B27001H_027EA,B27001H_028EA,B27001H_028MA,state
0400000US01,3160600,2527,208058,2906,199746,3245,8312,1810,464061,2949,443288,4140,20773,3664,287384,2276,221738,4714,65646,4434,364529,2633,281496,5192,83033,5180,407317,2270,337476,5498,69841,5008,481074,1648,406468,4799,74606,4463,434959,732,397460,2719,37499,2573,294209,1100,293799,1214,410,361,219009,1289,218892,1283,117,160,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440292,1827,33020,1264,31107,1455,1913,895,65521,1303,59402,2327,6119,1761,35903,1066,26177,1582,9726,1419,61592,1475,45225,2664,16367,2294,60000,1111,51347,1706,8653,1442,78851,790,66069,1901,12782,1691,66039,316,57226,1496,8813,1476,26003,644,25663,701,340,318,13363,675,13330,681,33,53,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3657932,3740,216432,3523,203225,3966,13207,2594,461043,3657,420432,5625,40611,4616,295569,2164,227100,5696,68469,5252,427244,2804,344783,5872,82461,5880,442255,1883,378660,4979,63595,4692,544523,1974,472981,4708,71542,4250,547473,810,489426,4051,58047,4089,404388,755,403201,879,1187,556,319005,1698,317930,1778,1075,586,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2138761,3570,149797,2575,143589,2718,6208,1848,313520,2667,292977,4046,20543,3332,194453,3447,128792,4788,65661,3937,249843,3759,179934,5332,69909,4437,268738,2564,207039,4795,61699,4448,313273,1444,254192,4197,59081,4208,289889,778,250405,3044,39484,3086,205815,1281,205609,1293,206,193,153433,1692,153009,1854,424,519,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14714821,10259,775836,5149,746798,5494,29038,2991,1756153,5979,1663079,9562,93074,7783,1232081,3618,962305,8375,269776,8045,1785334,4466,1437316,11484,348018,11220,1872943,3518,1611519,9813,261424,9737,2464673,3390,2144965,7574,319708,7656,2247502,2418,2034462,8550,213040,8352,1339810,2032,1331495,2727,8315,1745,1240489,5088,1237371,4960,3118,873,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3477333,4625,230399,2762,217155,3367,13244,2217,479682,3096,446004,5757,33678,4298,305591,1731,237244,5132,68347,4868,471873,2446,371771,6378,100102,6313,476161,2188,414880,4694,61281,4123,566222,1224,488992,4782,77230,4711,493750,760,443091,3464,50659,3407,257609,1006,256806,1142,803,523,196046,1161,195706,1229,340,334,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2504381,4637,135026,2653,133060,2672,1966,809,360829,2403,355438,2702,5391,1296,199572,1319,174844,2899,24728,2685,250698,1512,214649,3427,36049,3079,325477,1331,300411,3607,25066,3304,442351,1047,412123,3293,30228,3343,366807,742,344612,2170,22195,2064,213747,698,213112,724,635,380,209874,1389,209360,1398,514,436,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,579230,883,33396,1113,32591,1193,805,462,75800,1110,71196,1930,4604,1794,53256,485,46062,1699,7194,1610,63287,636,54151,1489,9136,1443,70953,346,64494,1514,6459,1487,93431,252,82556,1761,10875,1764,85157,245,79438,1778,5719,1708,58288,342,58240,356,48,85,45662,335,45662,335,0,265,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,207527,678,8955,470,8955,470,0,292,8540,458,8497,461,43,74,37029,502,35280,1058,1749,962,61468,379,56956,1584,4512,1536,29613,309,28805,587,808,515,20703,96,19367,789,1336,780,20281,230,19634,462,647,371,11965,198,11965,198,0,292,8973,187,8973,187,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10731181,12218,558394,5833,506172,7139,52222,5275,1258373,5618,1132933,9989,125440,7956,826430,3148,583067,8352,243363,8361,1087832,4719,758499,11748,329333,10876,1243670,3550,964770,8882,278900,9286,1652047,2739,1318717,11361,333330,11183,1630894,1610,1410592,10065,220302,9923,1294186,2278,1285484,3153,8702,1835,1179355,2893,1175994,3241,3361,1521,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
