GEO_ID,B08103_001E,B08103_001M,B08103_002E,B08103_002M,B08103_003E,B08103_003M,B08103_004E,B08103_004M,B08103_005E,B08103_005M,B08103_006E,B08103_006M,B08103_007E,B08103_007M,NAME,B08103_001EA,B08103_001MA,B08103_002MA,B08103_002EA,B08103_003MA,B08103_003EA,B08103_004EA,B08103_004MA,B08103_005MA,B08103_005EA,B08103_006MA,B08103_006EA,B08103_007EA,B08103_007MA,state
0400000US01,42.1,0.2,42.5,0.3,37.7,0.8,41.3,2.7,32.4,5.1,38.0,3.4,48.0,1.8,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42.1,0.5,42.4,0.7,39.5,1.2,42.0,6.7,41.6,3.0,41.3,2.2,48.6,3.2,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,41.0,0.2,41.3,0.3,37.7,0.7,35.2,2.0,35.1,2.9,39.2,1.6,48.5,0.8,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.8,0.3,42.5,0.4,37.5,1.1,37.5,3.0,36.0,4.9,37.8,4.2,48.4,1.4,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41.0,0.2,41.5,0.2,38.9,0.3,37.5,0.5,34.7,0.8,36.5,0.6,47.1,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41.3,0.2,41.9,0.2,37.8,0.9,37.0,1.9,30.4,0.9,37.6,1.1,46.7,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.2,0.2,44.8,0.3,40.2,0.7,40.8,1.3,28.4,2.6,34.1,4.8,49.2,1.2,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42.8,0.4,43.4,0.6,38.8,1.5,41.1,3.7,36.8,5.9,39.7,4.4,47.9,1.1,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37.4,0.5,41.8,1.2,38.8,3.6,34.8,0.9,31.1,1.3,35.1,1.3,47.3,2.9,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,43.1,0.2,43.5,0.1,39.1,0.5,38.5,1.3,37.5,1.7,39.9,0.9,47.6,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.4,0.2,41.9,0.2,37.8,0.6,38.2,1.5,32.3,2.7,37.5,1.7,44.5,0.9,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,42.9,0.3,43.1,0.6,42.0,1.4,46.1,2.2,36.1,3.5,36.3,3.8,48.6,4.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41.0,0.3,41.2,0.4,39.3,1.2,45.5,4.0,34.9,6.7,37.7,4.4,44.0,1.8,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41.8,0.1,42.6,0.2,39.5,0.5,37.6,0.6,32.9,0.9,38.3,1.7,46.0,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.3,0.2,42.7,0.2,39.0,0.8,36.2,3.1,30.2,2.2,40.9,2.2,46.3,0.9,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
