GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001EA,B12002G_001MA,B12002G_002EA,B12002G_002MA,B12002G_003MA,B12002G_003EA,B12002G_004EA,B12002G_004MA,B12002G_005MA,B12002G_005EA,B12002G_006EA,B12002G_006MA,B12002G_007EA,B12002G_007MA,B12002G_008MA,B12002G_008EA,B12002G_009EA,B12002G_009MA,B12002G_010EA,B12002G_010MA,B12002G_011MA,B12002G_011EA,B12002G_012MA,B12002G_012EA,B12002G_013MA,B12002G_013EA,state
0400000US01,37767,3363,19049,2284,9011,1632,6493,1303,292,241,660,421,2593,815,18718,2273,8159,1550,5423,1042,755,404,1977,736,2404,721,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29497,2879,14862,1683,8417,1330,4117,807,246,184,175,256,1907,638,14635,1963,6976,1517,4648,953,539,393,396,244,2076,696,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,93427,6045,44894,4356,23908,3365,16622,2217,478,294,680,372,3206,1079,48533,3506,22110,2433,17666,2425,1043,556,2462,696,5252,1101,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28599,3069,14243,1994,4966,1324,5974,1324,833,450,351,281,2119,760,14356,1997,5974,1635,4473,893,487,375,1217,562,2205,764,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,979561,21813,481533,11955,252140,9227,175510,5618,9975,1509,5922,1349,37986,2930,498028,14740,232107,9374,175007,6658,13494,2126,23269,2446,54151,4301,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100416,6186,49447,3652,23678,2501,18344,2260,624,337,731,460,6070,1302,50969,3801,22625,2676,19092,2079,1768,678,2140,723,5344,1293,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50611,4146,23206,2541,13335,1844,7864,1477,165,195,225,226,1617,593,27405,2895,14640,2521,7557,1133,1587,785,621,407,3000,750,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12876,2113,6436,1302,3900,927,2019,652,241,282,0,265,276,193,6440,1568,2773,1076,2218,758,108,130,484,285,857,673,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8793,1585,4349,925,2689,719,1291,489,0,292,0,292,369,285,4444,1020,2150,835,1267,432,143,171,366,295,518,296,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,254884,10712,120156,6279,59183,4062,45494,3816,3541,1089,1893,633,10045,1316,134728,7410,53300,4547,49111,3478,5100,1332,8877,1527,18340,2267,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,96136,6400,44236,3854,20600,2532,17594,2066,660,388,518,334,4864,1383,51900,4406,23090,3071,20025,2161,1408,595,2169,826,5208,1146,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,217141,9384,110792,5435,55423,3298,40421,3105,1716,743,2359,992,10873,2006,106349,5237,45392,3481,40195,3246,2916,1038,6517,1272,11329,1567,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22292,2658,11099,1949,5846,1528,3993,1017,173,208,234,227,853,334,11193,1651,4127,1165,3977,988,623,383,766,405,1700,670,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,130310,8058,63033,4709,33588,2954,22862,2643,319,222,536,407,5728,1066,67277,4792,32585,3027,22032,2343,2298,902,3484,954,6878,1288,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,66392,4613,34809,3069,19884,2460,11059,1349,432,327,302,235,3132,795,31583,3101,15173,2085,9538,1446,961,469,1660,542,4251,1004,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29682,3031,16164,2370,8495,1378,5385,1270,529,435,43,64,1712,598,13518,1743,6919,1282,4395,1014,662,402,558,262,984,405,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,49690,3942,23827,2650,12032,2110,8672,1333,798,431,384,300,1941,704,25863,2671,11259,1872,8637,1291,1237,604,1184,407,3546,915,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,36166,3388,18266,2290,8072,1607,5401,1085,1384,721,226,198,3183,955,17900,2149,6735,1518,6791,1248,636,448,1230,473,2508,782,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,40464,3670,21020,2547,9615,1566,7988,1614,840,475,586,402,1991,804,19444,2216,7965,1754,8026,1320,704,347,987,422,1762,642,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13834,1742,6451,1134,2848,893,2118,557,59,73,279,204,1147,491,7383,1150,3100,896,2754,614,248,311,414,253,867,415,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,91638,6176,42568,3831,22208,2633,16457,2049,525,293,123,140,3255,1119,49070,3704,24957,2941,14960,1842,1799,699,1827,656,5527,1358,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,120335,8003,57292,4945,30727,3398,19330,2560,2161,1061,408,311,4666,1160,63043,4676,31734,3128,18512,2254,2993,846,1932,687,7872,1387,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,135980,5600,66972,3148,36850,3104,22270,1897,1226,480,528,262,6098,1015,69008,4299,32963,3200,21733,2038,2089,685,4316,977,7907,1288,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,66039,4720,30213,2814,18309,1928,8687,1441,323,231,238,184,2656,847,35826,3223,19572,2592,10072,1259,371,259,1253,466,4558,1086,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,16633,3094,7741,1720,3188,1037,3100,930,356,305,266,274,831,512,8892,1949,2911,1157,3297,922,296,194,875,503,1513,743,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,79411,5308,40416,3456,20101,2600,15072,2005,934,530,552,297,3757,775,38995,3066,15800,2027,13961,1919,1884,976,2472,706,4878,1027,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
