GEO_ID,B13002H_001E,B13002H_001M,B13002H_002E,B13002H_002M,B13002H_003E,B13002H_003M,B13002H_004E,B13002H_004M,B13002H_005E,B13002H_005M,B13002H_006E,B13002H_006M,B13002H_007E,B13002H_007M,NAME,B13002H_001EA,B13002H_001MA,B13002H_002EA,B13002H_002MA,B13002H_003MA,B13002H_003EA,B13002H_004EA,B13002H_004MA,B13002H_005EA,B13002H_005MA,B13002H_006MA,B13002H_006EA,B13002H_007EA,B13002H_007MA,state
0400000US01,742737,2812,35473,3123,25669,2564,9804,1814,707264,4129,377832,7936,329432,7698,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,110864,967,6628,1369,5500,1316,1128,564,104236,1481,57988,2463,46248,2778,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,801860,2935,37459,2945,25765,2476,11694,2117,764401,4238,364608,7006,399793,7525,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,497882,2174,24738,2294,17483,1976,7255,1531,473144,3360,253162,5688,219982,6151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3393277,6328,147693,6729,115170,5689,32523,3470,3245584,9867,1466846,14341,1778738,14090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,854838,3050,40732,3449,31453,2994,9279,1502,814106,4432,405208,7461,408898,8181,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,576335,2492,23605,2144,18802,1978,4803,1159,552730,2943,261746,5495,290984,5768,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,135675,837,5576,1108,3970,962,1606,545,130099,1449,59466,2496,70633,2774,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,73550,402,2406,725,2218,678,188,175,71144,866,17937,1789,53207,1877,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2251676,5402,90784,5925,62439,4341,28345,2891,2160892,8424,991995,12661,1168897,14290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
