GEO_ID,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,NAME,B19049_001MA,B19049_001EA,B19049_002EA,B19049_002MA,B19049_003MA,B19049_003EA,B19049_004EA,B19049_004MA,B19049_005MA,B19049_005EA,state
0400000US01,40474,472,19230,2256,44455,1582,48604,1232,30763,699,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,64576,2085,33777,3962,69573,3235,76223,3622,43987,4164,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46789,531,25455,1216,50309,696,55978,1295,37134,763,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38307,643,20293,1458,42777,1734,45374,950,29452,742,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,57708,354,29073,1295,61067,334,69142,654,40255,401,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,54046,729,26584,1426,57655,1249,66776,1333,37684,1028,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,64032,1092,30400,2549,68650,1962,81004,1403,39235,1148,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,55847,1499,24360,6352,58895,3102,70845,2144,40301,1656,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60903,1540,27398,6844,75573,3012,63722,2894,41128,3914,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,44409,324,23640,1357,47993,750,52102,404,35024,371,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46430,470,22025,1033,49526,981,55187,902,32183,676,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,63030,1556,30599,4395,68592,3057,70418,2441,51293,2870,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,43490,1005,23046,3414,46437,1418,53080,1667,33725,1040,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,52972,439,23336,1565,56990,587,65752,601,34673,464,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,44613,452,20579,1216,49337,941,55184,771,32172,515,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,47961,647,24281,1982,54373,1255,60100,946,32487,854,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,48257,870,23231,1683,51616,926,60540,1105,34653,1020,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,40062,502,20716,1157,45021,1389,47731,1132,27920,756,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,42505,707,23452,1879,47691,1403,50552,921,29788,803,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,45815,953,27212,4158,50705,1696,56359,1917,30644,993,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,68854,922,35746,2993,71666,1231,83583,1522,44712,1168,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,62072,408,25235,2854,70691,928,76886,967,35683,747,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,45413,306,19370,940,49989,601,54639,566,33381,474,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,55459,457,26076,1301,61707,611,68538,1181,34397,738,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,36851,635,21021,1262,40927,942,42578,1177,27529,872,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,44301,507,22396,1034,49138,993,54685,827,31324,575,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,42666,1130,26788,3067,47474,2269,50887,1268,32423,1251,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,48408,904,23945,2255,52620,1559,60027,1473,32745,957,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,51001,792,29942,2455,54189,2370,58557,1951,38951,1794,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,61042,1147,32512,4283,70623,1750,71180,2328,37119,1446,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,67681,763,31182,2765,73858,1766,82348,930,41452,767,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,42090,734,22198,2170,44010,1747,51365,1440,33447,1219,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,54148,376,26195,1111,60897,441,65271,494,34518,469,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,43326,370,22511,1257,47257,667,50983,594,31694,444,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,48670,1575,23866,2894,57499,3006,62093,2331,30669,1839,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,45090,294,20177,903,50225,532,55069,671,31798,410,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,42072,407,23486,1708,44948,921,51486,659,31486,793,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,46560,542,21354,1394,50030,1197,56216,1117,34901,833,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,49288,433,22689,1246,55726,707,61185,547,31364,337,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,52254,1244,23872,2957,58307,3326,63553,3085,33192,2309,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,42018,424,19333,1281,45210,947,50017,964,31691,841,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,45904,1215,26085,2891,51484,1820,57708,2699,29950,1626,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,41461,403,20607,1140,45243,772,50190,864,30160,559,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,48615,347,23656,1032,50837,348,59538,713,34178,389,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,54744,625,28386,2057,55753,832,69727,1758,40784,1580,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,49406,1483,22487,4731,54442,2489,58213,2576,33474,1639,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,60674,457,31582,1131,65517,842,73224,1105,39274,772,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,55631,550,26352,1357,60397,809,67322,1000,39207,619,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,38218,896,18460,3054,44014,2069,46696,1095,26796,755,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,49001,500,24734,1400,53001,906,61067,599,32315,492,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,53512,1894,31186,3954,57509,3210,67056,3809,33777,1883,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,18862,324,6667,938,22215,811,21658,550,14852,357,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
