GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001MA,C18107_001EA,C18107_002EA,C18107_002MA,C18107_003EA,C18107_003MA,C18107_004MA,C18107_004EA,C18107_005MA,C18107_005EA,C18107_006MA,C18107_006EA,C18107_007MA,C18107_007EA,C18107_008EA,C18107_008MA,C18107_009MA,C18107_009EA,C18107_010MA,C18107_010EA,C18107_011EA,C18107_011MA,C18107_012EA,C18107_012MA,C18107_013EA,C18107_013MA,C18107_014EA,C18107_014MA,C18107_015MA,C18107_015EA,state
0400000US01,3569131,2998,1683873,4182,1411696,4278,72625,4467,1339071,6095,272177,2147,42382,2802,229795,3460,1885258,3840,1519840,3855,77420,4414,1442420,6364,365418,2200,90714,4536,274704,4843,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,501265,1968,253053,1895,228051,1873,4508,1117,223543,2043,25002,744,2210,586,22792,923,248212,1052,221384,1182,7836,1670,213548,1973,26828,631,4520,766,22308,1003,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4680243,2323,2270036,3416,1869504,3564,58721,4533,1810783,6590,400532,1319,37951,2953,362581,3114,2410207,2761,1935179,2604,64503,4657,1870676,5474,475028,1801,71083,3036,403945,3292,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2158237,3062,1035466,5594,855780,5332,40392,2792,815388,5720,179686,1735,22995,2138,156691,2739,1122771,5241,897653,5403,48638,2658,849015,5595,225118,1959,45368,2830,179750,3474,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27526878,5929,13403279,8858,11577968,9176,305492,12060,11272476,15090,1825311,3391,241190,6801,1584121,7280,14123599,7214,11771939,6474,355524,9876,11416415,10822,2351660,4990,528662,12771,1822998,13299,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3730665,3105,1832401,5230,1592801,5038,35830,3517,1556971,6296,239600,1431,25453,2048,214147,2339,1898264,4671,1601729,4414,48345,3686,1553384,5277,296535,1791,52354,2898,244181,3312,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2704903,1035,1287972,2115,1080650,1981,28563,3472,1052087,3950,207322,1165,22362,2150,184960,2316,1416931,1939,1139428,1712,32428,2372,1107000,2838,277503,1289,47419,2995,230084,3058,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,679186,1049,320722,1318,265250,1178,8818,1518,256432,1830,55472,575,5970,1188,49502,1200,358464,1089,288519,1142,9133,1540,279386,1940,69945,566,10946,1498,58999,1661,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,493292,614,227151,1166,200415,1083,5258,1285,195157,1675,26736,414,2894,791,23842,897,266141,1040,225760,797,5584,1115,220176,1264,40381,1099,8098,1370,32283,1590,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14543834,6379,6939085,7401,5503186,7114,187624,9484,5315562,11418,1435899,3228,158659,6083,1277240,6792,7604749,5339,5832093,4854,215669,8117,5616424,9636,1772656,3805,315677,8610,1456979,8493,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7027555,4541,3320120,5743,2892009,5853,92571,5303,2799438,8147,428111,2684,57853,3279,370258,4384,3707435,5443,3132018,4795,118950,6188,3013068,7564,575417,2855,123820,4888,451597,5226,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1012016,2386,487517,2562,401038,2613,9377,1751,391661,2994,86479,787,11248,1413,75231,1410,524499,1570,417143,1667,11658,2032,405485,2493,107356,775,19189,1725,88167,1881,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1123339,1757,551630,2482,462624,2563,14337,1860,448287,3003,89006,994,9541,1428,79465,1609,571709,2251,467688,2234,17356,1857,450332,3028,104021,1142,18007,1698,86014,1878,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9551526,3901,4593226,6002,3934540,6093,107609,5507,3826931,8181,658686,2796,75374,3516,583312,4054,4958300,4773,4067203,4614,126609,6902,3940594,7637,891097,3005,168993,5258,722104,5468,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4789150,2810,2310655,3587,1962643,3642,70442,5078,1892201,6011,348012,1760,38112,2305,309900,3091,2478495,3526,2019723,3300,79790,4574,1939933,5718,458772,2609,79785,3853,378987,3780,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2283123,2206,1116366,2814,930050,2621,26278,3043,903772,3774,186316,1087,15712,1323,170604,1643,1166757,2143,924766,2161,28625,2433,896141,3315,241991,1285,35668,2424,206323,2562,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
