GEO_ID,B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,NAME,B10051A_001EA,B10051A_001MA,B10051A_002EA,B10051A_002MA,B10051A_003EA,B10051A_003MA,B10051A_004EA,B10051A_004MA,B10051A_005MA,B10051A_005EA,B10051A_006MA,B10051A_006EA,B10051A_007EA,B10051A_007MA,state
0400000US01,72483,5556,40030,4336,25685,3565,14345,2086,32453,3302,15788,2609,16665,2084,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6542,1606,1767,685,1058,552,709,364,4775,1440,2807,1192,1968,811,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,111613,7431,46337,4320,31301,3972,15036,2303,65276,5479,34707,3986,30569,3584,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,52138,4307,29757,3316,19847,2867,9910,1675,22381,3094,13184,2187,9197,2004,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,586610,15688,175316,9031,106696,7568,68620,4362,411294,12646,203196,8868,208098,8859,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66488,5280,27904,3075,17476,2408,10428,2152,38584,4222,19218,3320,19366,2748,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,45988,4130,15549,2474,9510,2030,6039,1383,30439,3252,12080,2204,18359,2508,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10761,1707,4913,1214,2961,1027,1952,699,5848,1277,2626,861,3222,1024,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1378,787,592,428,325,287,267,282,786,488,224,271,562,394,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,307875,12982,110878,7061,68113,5594,42765,4359,196997,11209,85109,6517,111888,8567,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,129696,8037,57045,5349,35321,3892,21724,2713,72651,5717,34619,4088,38032,3661,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5497,1231,1252,506,679,355,573,340,4245,1108,1928,852,2317,706,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26459,3339,11561,2209,6936,1786,4625,1340,14898,2315,8590,1987,6308,1372,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,150682,8657,57512,5082,41392,3725,16120,2806,93170,6241,42361,4747,50809,4595,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,98631,5470,49397,3798,35077,3265,14320,2042,49234,4186,26064,2746,23170,2802,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,32101,3189,16072,2262,10469,1911,5603,1076,16029,2167,9895,1816,6134,1177,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,35597,3052,16005,1977,10283,1634,5722,1288,19592,2484,10657,1931,8935,1692,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,81059,5917,45416,4691,31783,3801,13633,2154,35643,3567,21412,2642,14231,2338,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,65276,4999,34304,3924,23616,3162,10688,1897,30972,3583,17067,2466,13905,2181,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17801,2237,7707,1641,5526,1355,2181,823,10094,1579,4951,1219,5143,987,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
