GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001MA,B10059_001EA,B10059_002EA,B10059_002MA,B10059_003EA,B10059_003MA,B10059_004MA,B10059_004EA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007EA,B10059_007MA,B10059_008EA,B10059_008MA,B10059_009MA,B10059_009EA,B10059_010EA,B10059_010MA,B10059_011EA,B10059_011MA,state
0400000US01,123935,7326,30301,3394,19810,2500,14088,2207,5722,1262,10491,1847,93634,6267,48594,4609,30936,3768,17658,2224,45040,4342,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14048,2038,1325,424,878,379,724,367,154,122,447,250,12723,1996,4132,795,2407,653,1725,459,8591,1802,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,158383,7778,31728,3972,14651,2499,10775,2137,3876,1045,17077,2709,126655,7594,52466,4769,34215,4164,18251,2872,74189,5734,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,71629,5050,14391,2192,9166,1931,6878,1640,2288,659,5225,1313,57238,4595,31184,3167,20933,2777,10251,1797,26054,3513,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1110809,21607,147329,7761,50295,4167,32443,3292,17852,2240,97034,6468,963480,19586,250564,9526,150859,8986,99705,6012,712916,16393,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88655,6045,12233,2086,4640,1069,3337,947,1303,533,7593,1815,76422,5433,30845,3433,19347,2554,11498,2347,45577,4344,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,72372,5579,9201,2002,4180,1135,2755,887,1425,666,5021,1680,63171,5116,18916,2798,12028,2231,6888,1445,44255,4169,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18454,2599,1993,820,1150,585,787,519,363,286,843,494,16461,2473,6684,1552,4037,1272,2647,783,9777,1741,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10495,1984,2476,753,1642,536,1212,487,430,334,834,431,8019,1860,3050,862,1537,583,1513,590,4969,1428,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,469274,13859,85105,6460,40198,4275,27019,3318,13179,2596,44907,4836,384169,14463,131024,7490,81481,5821,49543,4713,253145,12085,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252342,10270,51505,4627,27023,3465,19505,3054,7518,1742,24482,3327,200837,8458,88606,6519,60504,5233,28102,2989,112231,6243,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,52495,4528,2644,1003,1905,910,822,490,1083,680,739,368,49851,4590,10164,1922,6056,1346,4108,1279,39687,4144,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29140,3560,5202,1851,2503,1057,2049,971,454,288,2699,1578,23938,2789,10040,1986,5438,1477,4602,1347,13898,2006,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
