GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001EA,B12002D_001MA,B12002D_002MA,B12002D_002EA,B12002D_003MA,B12002D_003EA,B12002D_004EA,B12002D_004MA,B12002D_005EA,B12002D_005MA,B12002D_006EA,B12002D_006MA,B12002D_007MA,B12002D_007EA,B12002D_008MA,B12002D_008EA,B12002D_009EA,B12002D_009MA,B12002D_010EA,B12002D_010MA,B12002D_011MA,B12002D_011EA,B12002D_012EA,B12002D_012MA,B12002D_013MA,B12002D_013EA,state
0400000US01,41780,2123,18695,1263,6019,1102,11039,1271,411,414,191,169,1035,506,23085,1678,6122,1426,13660,1376,119,153,1405,452,1779,667,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30728,2180,14137,1404,4251,944,8422,1177,199,181,120,142,1145,507,16591,1160,3489,831,8570,1094,734,458,2251,597,1547,599,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,143333,3425,66285,2369,25250,2362,36408,2121,886,518,618,305,3123,868,77048,2087,18185,1885,48461,2547,451,424,4087,1110,5864,1448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26636,1667,12175,1221,5272,1349,6394,877,189,216,0,273,320,265,14461,1237,4004,1221,8756,977,49,93,424,261,1228,618,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4074501,11395,1896234,6604,697485,9672,1063960,9219,23528,2720,33702,3074,77559,4505,2178267,7854,617370,9070,1199333,12091,35796,2973,175106,5665,150662,6524,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107567,3115,47776,2144,17190,1909,25173,1667,371,259,932,521,4110,1174,59791,1991,14817,1989,35021,2252,1131,577,4341,1002,4481,862,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104907,1972,50233,1222,17256,1977,29451,1679,275,344,1060,527,2191,1006,54674,1342,15748,1760,32144,2156,496,321,2129,762,4157,1236,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22307,1006,10579,722,2706,618,7296,595,0,265,171,185,406,301,11728,617,2359,454,8614,717,45,71,518,343,192,153,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20143,979,8421,526,5363,811,2668,703,57,101,116,179,217,195,11722,683,7432,809,3527,671,390,376,290,208,83,140,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,372319,5143,170066,3413,60740,2719,96971,3613,2888,945,1667,608,7800,1552,202253,3140,50944,3055,118280,3535,2680,782,15451,1757,14898,1960,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,250859,3778,119811,2863,39461,2446,75070,2589,700,382,1358,596,3222,992,131048,2262,32156,2793,82712,3445,1519,709,7514,1449,7147,1558,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,466035,7159,213250,4191,72523,3823,117522,3266,1914,693,7274,1206,14017,1852,252785,4202,60149,3303,132788,4175,3366,1111,33827,1865,22655,2592,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14505,1336,6048,775,1648,696,4203,743,0,267,69,79,128,147,8457,1012,1985,678,5214,890,0,267,469,452,789,420,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,479724,4365,227054,3840,76685,3621,138896,3882,1264,504,3283,922,6926,1324,252670,4170,68224,4248,154387,3617,2787,907,14769,1480,12503,1960,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,81141,2700,38901,1908,16291,1770,21153,1577,180,199,348,249,929,453,42240,2001,11656,1170,26219,1659,139,179,2098,831,2128,703,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39464,1685,19269,1289,8655,1281,9815,973,58,93,52,87,689,505,20195,1204,6453,1054,11735,1102,207,259,923,404,877,401,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,54097,1847,25545,1230,10990,1598,13255,1292,98,165,532,419,670,460,28552,1328,7700,1268,17786,1638,189,206,1044,480,1833,522,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
