GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002MA,B20004_002EA,B20004_003EA,B20004_003MA,B20004_004EA,B20004_004MA,B20004_005MA,B20004_005EA,B20004_006MA,B20004_006EA,B20004_007MA,B20004_007EA,B20004_008MA,B20004_008EA,B20004_009MA,B20004_009EA,B20004_010MA,B20004_010EA,B20004_011MA,B20004_011EA,B20004_012EA,B20004_012MA,B20004_013EA,B20004_013MA,B20004_014MA,B20004_014EA,B20004_015EA,B20004_015MA,B20004_016EA,B20004_016MA,B20004_017MA,B20004_017EA,B20004_018MA,B20004_018EA,state
0400000US01,30406,253,17366,546,24849,669,30064,530,45502,1185,52476,1060,36307,525,20549,562,30622,523,37724,1472,60017,2752,71600,3285,24736,479,13299,875,19165,584,24624,583,36873,842,48801,1090,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40575,704,20087,1945,30617,976,40159,1262,51137,1919,67634,6814,49686,2691,21458,2894,36552,2490,49215,3402,62488,5893,72452,6227,31950,875,18387,2070,22157,1848,32102,1982,41816,2390,60365,4214,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32106,238,17638,752,25607,506,31751,332,46091,919,60051,2024,37027,447,20865,604,29339,1534,38294,1288,55139,2368,72807,3561,28172,658,14358,927,21971,429,27216,467,39411,1359,51047,902,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27498,544,18373,926,22895,712,27175,443,41102,607,54036,3592,32735,1289,20821,881,30035,1134,35666,642,48518,3143,69442,5629,22966,575,15848,818,18415,698,23312,842,36184,939,47987,1845,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35645,130,17937,220,27122,204,35735,193,52248,219,74423,1260,40498,151,20942,208,31211,226,41538,208,61989,358,90564,588,30800,157,14234,264,22848,438,30686,212,45699,493,61956,345,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35764,304,19543,1223,26852,481,32651,955,45655,892,61536,753,41476,342,23122,1652,31662,565,40093,846,55842,1818,79911,3997,30280,314,14518,1675,21972,570,27734,879,36750,656,50243,1171,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41993,362,21807,649,31553,579,39035,1340,56329,1254,74050,1883,50781,408,25273,2408,39273,1882,46219,1050,69222,2657,92756,3913,35378,604,18974,1641,24743,1146,32370,929,45965,1634,61455,1339,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36707,637,20888,1308,29043,1675,36140,1502,48943,2831,67628,4088,41943,938,23061,2677,33045,2604,41586,1631,55705,4987,88085,7259,31966,639,17509,3027,24707,2511,31019,1350,41992,1419,53107,3186,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,49512,2198,22249,2133,31309,812,35530,2993,56869,2716,77482,2737,50562,1358,23223,2459,31429,1161,35649,4662,61407,3259,85011,7830,47567,2552,21056,3885,31172,1320,35360,4225,54340,3635,71327,2405,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30108,128,16904,254,23936,400,30092,223,41992,294,55005,1168,32428,182,19127,541,26588,323,34314,1036,50583,493,67948,3479,26448,199,14443,483,21260,265,26256,296,37964,699,46985,633,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
