GEO_ID,C17020D_001E,C17020D_001M,C17020D_002E,C17020D_002M,C17020D_003E,C17020D_003M,C17020D_004E,C17020D_004M,C17020D_005E,C17020D_005M,C17020D_006E,C17020D_006M,C17020D_007E,C17020D_007M,C17020D_008E,C17020D_008M,C17020D_009E,C17020D_009M,NAME,C17020D_001EA,C17020D_001MA,C17020D_002EA,C17020D_002MA,C17020D_003EA,C17020D_003MA,C17020D_004MA,C17020D_004EA,C17020D_005MA,C17020D_005EA,C17020D_006EA,C17020D_006MA,C17020D_007EA,C17020D_007MA,C17020D_008EA,C17020D_008MA,C17020D_009MA,C17020D_009EA,state
0400000US01,52045,2785,7516,2429,2080,1247,5113,1545,323,314,44529,3218,10915,1800,30634,2154,2980,657,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38773,3271,4941,1906,2360,1255,2515,875,66,112,33832,3725,7875,2123,23091,1862,2866,808,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,170460,4870,20311,4491,4564,1914,13728,3041,2019,733,150149,6211,31324,3467,106032,4368,12793,1414,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32663,2173,3493,1389,770,625,2668,1130,55,72,29170,2078,7435,1206,20479,1573,1256,737,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4833377,15813,561821,20361,124387,8463,361295,14074,76139,4899,4271556,23791,876301,12146,2908462,15962,486793,5837,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,131414,4194,13982,2852,2697,1128,9864,1999,1421,546,117432,4537,27217,2393,81596,3076,8619,1205,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,129913,2842,11225,2750,1580,738,8351,2007,1294,656,118688,3597,31658,1671,80514,2607,6516,1125,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27425,1360,2423,1020,99,126,2220,1009,104,135,25002,1665,5964,709,16899,1332,2139,385,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19905,1087,3998,1008,343,355,3510,900,145,117,15907,1330,1473,463,13270,1160,1164,460,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,447390,7805,59226,5580,13537,2493,41174,4006,4515,1091,388164,7951,82408,4260,268396,5692,37360,2091,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
