GEO_ID,C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,NAME,C17003_001MA,C17003_001EA,C17003_002EA,C17003_002MA,C17003_003MA,C17003_003EA,C17003_004EA,C17003_004MA,C17003_005EA,C17003_005MA,C17003_006MA,C17003_006EA,C17003_007EA,C17003_007MA,C17003_008MA,C17003_008EA,C17003_009MA,C17003_009EA,C17003_010EA,C17003_010MA,C17003_011MA,C17003_011EA,state
0400000US01,3101696,5321,446773,11534,161154,6035,151652,6596,105847,5873,28120,2697,2654923,12242,375973,10069,816602,13396,800279,11556,662069,12008,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,445152,1918,32896,3052,6949,1287,10988,1562,11388,1770,3571,1003,412256,3645,32271,2845,100714,4185,157505,5364,121766,5595,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4076842,3281,537880,16909,172920,10821,162690,8734,153434,7912,48836,4153,3538962,17379,401035,12307,854441,16489,1263302,16934,1020184,14547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1878347,5452,260678,8745,83088,4926,99945,5583,63117,4270,14528,2047,1617669,9462,227754,6484,550337,10180,481668,9821,357910,10167,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23748694,6998,2920138,34460,1144721,23138,720246,15026,700129,15970,355042,10621,20828556,34831,3388638,38077,4186085,31420,6387548,43805,6866285,40770,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3272742,4382,328599,10733,82210,5989,95366,6082,95438,5662,55585,4202,2944143,11327,243073,9411,644390,11748,906154,14988,1150526,14128,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2388444,2215,198421,9097,55509,4467,70573,5480,43371,3382,28968,3899,2190023,9270,207760,7743,597673,12101,552525,11338,832065,13917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,590062,1390,51461,4172,15603,2161,20129,2447,11106,1796,4623,1201,538601,4426,55039,4391,171680,6007,150610,6024,161272,5413,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,408792,1264,56836,3839,14721,2022,19389,2388,9034,1513,13692,2242,351956,3641,35326,2821,62612,4071,60524,4145,193494,4769,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12858712,8204,1707756,25104,511258,14717,596805,16515,411651,12381,188042,9619,11150956,27509,1306513,20956,3238908,27389,3437924,27294,3167611,26819,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
