GEO_ID,B21001I_001E,B21001I_001M,B21001I_002E,B21001I_002M,B21001I_003E,B21001I_003M,B21001I_004E,B21001I_004M,B21001I_005E,B21001I_005M,B21001I_006E,B21001I_006M,B21001I_007E,B21001I_007M,B21001I_008E,B21001I_008M,B21001I_009E,B21001I_009M,B21001I_010E,B21001I_010M,B21001I_011E,B21001I_011M,B21001I_012E,B21001I_012M,B21001I_013E,B21001I_013M,B21001I_014E,B21001I_014M,B21001I_015E,B21001I_015M,B21001I_016E,B21001I_016M,B21001I_017E,B21001I_017M,B21001I_018E,B21001I_018M,B21001I_019E,B21001I_019M,B21001I_020E,B21001I_020M,B21001I_021E,B21001I_021M,B21001I_022E,B21001I_022M,B21001I_023E,B21001I_023M,B21001I_024E,B21001I_024M,B21001I_025E,B21001I_025M,B21001I_026E,B21001I_026M,B21001I_027E,B21001I_027M,B21001I_028E,B21001I_028M,B21001I_029E,B21001I_029M,B21001I_030E,B21001I_030M,B21001I_031E,B21001I_031M,B21001I_032E,B21001I_032M,B21001I_033E,B21001I_033M,NAME,B21001I_001EA,B21001I_001MA,B21001I_002MA,B21001I_002EA,B21001I_003MA,B21001I_003EA,B21001I_004EA,B21001I_004MA,B21001I_005EA,B21001I_005MA,B21001I_006EA,B21001I_006MA,B21001I_007EA,B21001I_007MA,B21001I_008MA,B21001I_008EA,B21001I_009EA,B21001I_009MA,B21001I_010EA,B21001I_010MA,B21001I_011MA,B21001I_011EA,B21001I_012EA,B21001I_012MA,B21001I_013MA,B21001I_013EA,B21001I_014MA,B21001I_014EA,B21001I_015EA,B21001I_015MA,B21001I_016EA,B21001I_016MA,B21001I_017MA,B21001I_017EA,B21001I_018MA,B21001I_018EA,B21001I_019MA,B21001I_019EA,B21001I_020EA,B21001I_020MA,B21001I_021EA,B21001I_021MA,B21001I_022MA,B21001I_022EA,B21001I_023MA,B21001I_023EA,B21001I_024MA,B21001I_024EA,B21001I_025MA,B21001I_025EA,B21001I_026EA,B21001I_026MA,B21001I_027MA,B21001I_027EA,B21001I_028MA,B21001I_028EA,B21001I_029MA,B21001I_029EA,B21001I_030EA,B21001I_030MA,B21001I_031EA,B21001I_031MA,B21001I_032EA,B21001I_032MA,B21001I_033MA,B21001I_033EA,state
0400000US01,114544,1835,64887,1777,38428,1907,839,564,37589,1920,21569,1998,878,365,20691,1961,2981,832,925,457,2056,747,1184,505,895,478,289,253,725,479,162,195,563,442,49657,1531,28412,2012,651,517,27761,1967,16814,1918,520,369,16294,1934,2112,633,84,100,2028,628,815,350,0,273,815,350,1504,696,139,173,1365,677,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23955,1749,12358,1770,5658,1640,219,180,5439,1620,4941,695,767,411,4174,726,1362,455,521,278,841,455,283,241,93,148,190,200,114,139,31,60,83,127,11597,467,5105,469,231,197,4874,456,4835,577,34,58,4801,572,1055,366,0,246,1055,366,372,296,0,246,372,296,230,193,0,246,230,193,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1196649,1157,594514,1107,270531,1155,7059,1809,263472,1947,225202,1201,17425,2100,207777,2549,55928,396,11807,1468,44121,1495,27619,1014,7103,1446,20516,1481,15234,858,6272,1148,8962,878,602135,572,257072,956,1681,706,255391,1135,229118,939,1725,779,227393,1208,60968,346,345,260,60623,435,33030,786,0,305,33030,786,21947,673,43,68,21904,669,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,109522,1966,59400,2077,32450,2250,371,392,32079,2425,21832,1456,867,571,20965,1465,3817,727,551,348,3266,759,772,396,147,165,625,374,529,366,423,334,106,136,50122,1898,25128,1747,0,273,25128,1747,19246,1614,122,140,19124,1595,3562,804,0,273,3562,804,1277,526,61,103,1216,512,909,509,0,273,909,509,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9288621,2377,4660039,2346,2091436,2231,48135,4545,2043301,5137,1819494,1488,71514,4554,1747980,4706,429279,1334,49677,3291,379602,3422,194926,1038,38662,2720,156264,2854,124904,1007,35336,2549,89568,2691,4628582,1581,1935429,1641,8630,1488,1926799,2412,1785028,1418,7153,1418,1777875,1907,470225,1036,1798,558,468427,1167,247695,1296,533,316,247162,1301,190205,1199,986,373,189219,1269,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,667217,1147,337165,1654,150799,1647,3268,1077,147531,2025,129706,1718,9872,1400,119834,2419,31992,981,9195,1061,22797,1325,15869,975,4830,969,11039,1050,8799,948,4474,953,4325,833,330052,1420,142374,1864,1168,579,141206,1897,124170,1642,1392,469,122778,1700,33761,855,392,272,33369,838,17202,918,109,122,17093,914,12545,889,0,279,12545,889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,319998,344,157108,801,72280,922,1198,615,71082,1103,61930,709,2721,892,59209,962,13962,380,2020,747,11942,806,6984,574,678,374,6306,728,1952,636,322,200,1630,636,162890,714,69077,902,137,158,68940,905,65432,824,147,149,65285,848,15577,418,43,72,15534,421,8079,564,0,281,8079,564,4725,563,115,188,4610,546,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,46349,162,23847,389,12917,462,79,104,12838,469,8542,441,527,339,8015,460,1298,423,142,175,1156,368,958,367,84,134,874,341,132,157,62,103,70,117,22502,325,10824,134,74,134,10750,5,8383,134,274,341,8109,376,1887,522,0,265,1887,522,576,334,60,95,516,316,832,354,0,265,832,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42770,100,22101,122,11311,122,141,172,11170,186,8108,2,703,595,7405,595,1633,2,83,143,1550,143,908,168,112,141,796,225,141,167,0,292,141,167,20669,60,10238,60,0,292,10238,60,6815,4,151,126,6664,126,1896,2,0,292,1896,2,1096,293,0,292,1096,293,624,293,0,292,624,293,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3134899,3986,1526771,4772,566467,3292,15895,2139,550572,3937,610267,3115,36998,3445,573269,4268,166632,1597,21004,2665,145628,2946,105592,1180,13769,1730,91823,2071,77813,1389,11614,1775,66199,1792,1608128,1789,525500,2180,4905,1407,520595,2884,625821,1951,4435,1083,621386,2301,198352,1109,791,547,197561,1262,138285,1364,331,250,137954,1349,120170,1181,343,236,119827,1226,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
